NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:24:41	226559.52274590
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.036469	-0.006866	0.015411	0.004120	
-0.009308	-0.002899	0.016327	-0.001984	
0.023651	0.008698	0.014801	-0.004425	
0.013275	0.008087	0.008392	0.001068	
0.008087	0.016632	0.008392	-0.004120	
0.004120	0.027008	0.007172	-0.011749	
-0.009613	0.017853	0.002289	-0.015717	
-0.019989	0.014191	0.010834	-0.010223	
-0.024872	0.005646	0.007782	-0.036469	
-0.006256	0.010529	0.005951	-0.046540	
-0.004425	0.009003	0.002594	-0.023346	
-0.006866	0.008698	0.012665	0.008087	
-0.005646	0.000763	0.009003	0.010834	
-0.014191	0.002594	0.009003	0.008087	
-0.087434	0.008087	0.020599	-0.007172	
-0.053559	0.007782	0.026093	0.030975	
0.052339	0.001068	0.018768	0.045320	
0.059358	0.001984	0.004425	-0.022125	
0.033723	0.003204	-0.000153	0.006561	
0.029755	0.012360	0.001984	0.047456	
0.023651	0.014191	-0.000763	0.041047	
-0.008392	0.022125	-0.007172	0.020905	
-0.033418	0.020905	-0.003204	0.034638	
-0.033418	-0.006866	-0.006866	0.037690	
0.025177	-0.015717	0.002899	0.016632	
0.034333	-0.029449	0.003815	-0.034944	
-0.015411	-0.026398	0.003204	-0.078889	
-0.021820	-0.023346	-0.003510	-0.086823	
-0.000153	-0.005646	0.000153	-0.047761	
0.024872	0.008087	0.001068	-0.007477	
0.037080	0.028839	0.013275	0.070039	
0.018463	0.029755	0.014801	0.030365	
0.000153	0.004425	0.015411	-0.111238	
-0.023956	0.004425	0.012665	-0.099337	
-0.038301	0.008392	0.012970	-0.047151	
-0.047456	-0.004120	0.011749	-0.117342	
-0.001373	0.006256	0.019379	0.026093	
0.036469	0.009308	0.020599	0.120089	
0.025787	0.005951	0.020294	0.000458	
0.000153	-0.002289	0.010529	0.103914	
-0.029755	0.000458	0.003204	0.112459	
-0.033418	0.014801	0.012054	0.078279	
-0.042878	0.012970	0.001678	0.115816	
-0.037080	0.011749	-0.001678	0.039826	
-0.023651	0.000153	-0.007172	-0.005646	
0.020599	0.000763	0.008698	0.008698	
0.064240	-0.012360	0.002289	0.011444	
0.025787	-0.011139	0.003815	-0.046540	
0.020599	-0.004425	0.003204	-0.083467	
0.117037	-0.001068	0.002594	-0.078889	
0.058747	-0.012054	-0.000153	-0.080415	
-0.056306	-0.015717	0.001984	-0.119478	
-0.116732	-0.019073	0.002899	-0.233006	
-0.113985	0.007782	0.012970	-0.221714	
-0.106050	0.012970	0.016022	-0.072785	
-0.078584	0.012970	0.016327	-0.046540	
-0.041657	-0.001984	0.015106	0.023651	
-0.015411	-0.014191	0.021210	0.189059	
-0.016022	-0.012054	0.027924	0.199740	
-0.015106	-0.015717	0.007782	0.066072	
0.008698	-0.011444	0.002289	0.080110	
0.006866	-0.009918	-0.014496	0.161593	
0.014191	0.010529	-0.002289	0.210116	
0.006561	0.005035	0.005341	0.022736	
0.020599	0.005035	0.028839	-0.027924	
0.035249	0.017242	0.031281	-0.000153	
0.056306	0.040742	0.012970	-0.034638	
0.034028	0.062715	0.012970	0.009003	
-0.014801	0.064240	0.012665	-0.006866	
-0.117647	0.057527	0.007782	-0.083467	
-0.124361	0.060884	0.002594	-0.091096	
-0.003204	0.045014	0.016937	0.019989	
0.042268	0.002899	0.010834	0.065461	
0.072785	-0.035554	0.005951	-0.053254	
0.063325	-0.075532	0.005035	-0.061799	
0.067903	-0.071870	-0.000153	-0.074922	
0.063325	-0.046235	-0.008392	-0.116732	
0.052949	-0.019379	0.000458	-0.192416	
0.021210	-0.012054	0.005951	-0.233006	
-0.001068	-0.004120	0.014191	-0.090486	
0.004730	-0.004425	0.014191	0.017242	
0.014801	-0.003204	0.007782	0.092317	
-0.009003	-0.004120	0.004425	0.243382	
-0.001068	-0.002289	0.011749	0.128328	
0.068208	0.001678	0.007172	0.049287	
0.078279	0.021820	0.009308	0.083467	
0.051728	0.029755	0.013275	0.078279	
0.032197	0.028229	0.012665	0.019989	
-0.052949	0.011749	-0.000153	-0.006256	
-0.101778	0.008392	-0.007477	-0.015717	
-0.149385	-0.001373	0.002289	-0.015411	
-0.162814	-0.021820	0.012054	-0.017853	
-0.095369	-0.012970	0.013885	-0.021515	
-0.041352	-0.023956	0.004730	-0.034028	
-0.039216	-0.009003	0.006561	-0.036775	
-0.071259	-0.008392	0.006866	-0.036775	
-0.020294	-0.020905	0.005341	-0.037385	
0.029755	-0.016937	0.003815	-0.039521	
0.042268	0.003204	0.012665	-0.029755	
0.017853	0.003815	0.006866	-0.034028	
0.007782	0.015106	0.016022	-0.024567	
0.004120	0.016632	0.006866	-0.029755	
0.015106	0.026703	0.004120	-0.031892	
0.005951	0.020599	0.010529	-0.034638	
0.008392	0.021820	0.013275	-0.022125	
