NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:16:07	226045.84438660
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Lateral Gastroc	Tibialis Anterior
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Lateral Gastroc	Tibialis Anterior	
-0.053254	0.048982	-0.110933	-0.000763	
-0.102694	-0.009003	-0.030365	0.008392	
-0.091706	-0.053254	0.005341	-0.017548	
-0.034944	-0.094454	-0.083772	-0.032807	
-0.017242	-0.129549	-0.142672	-0.010529	
0.013275	-0.061189	-0.197299	0.002289	
0.050202	0.005951	-0.235447	-0.005035	
0.042268	0.003815	-0.034638	0.004120	
0.049287	-0.006256	0.254673	0.011444	
0.119478	-0.008087	0.179904	-0.001373	
0.136568	0.012665	0.112459	0.001678	
0.085298	0.086518	0.314488	-0.004120	
0.010834	0.095064	0.338292	-0.015411	
-0.048066	0.066072	0.191806	-0.010529	
-0.043183	0.014496	0.134432	-0.022125	
-0.215915	-0.073701	0.109407	-0.020294	
-0.381323	-0.115816	0.195773	-0.005951	
-0.306249	-0.078584	0.034944	0.013885	
-0.159457	-0.008087	-0.033113	0.015106	
-0.140230	-0.015717	-0.160678	0.002289	
-0.053254	0.073396	-0.467078	-0.005035	
0.081025	0.126497	-0.694133	-0.007172	
0.185092	0.070954	-0.435035	-0.005951	
0.262608	-0.003815	0.404516	-0.012970	
0.135958	-0.036469	-0.145418	-0.007477	
-0.101778	-0.025177	-0.178073	-0.020599	
-0.164645	-0.018463	0.319066	-0.019684	
-0.217746	-0.028229	0.087434	-0.013275	
-0.116121	0.040437	0.225681	-0.006256	
0.120089	0.140841	0.511940	0.000458	
0.054170	0.106356	0.352026	-0.002289	
-0.097506	-0.000763	0.180209	-0.008087	
-0.081330	-0.158237	-0.015411	-0.023346	
0.018463	-0.241550	-0.284276	-0.009003	
-0.075227	-0.169833	-0.161593	-0.009308	
-0.041352	-0.047456	0.213473	-0.016632	
0.079194	0.059052	-0.253452	0.000763	
0.195163	0.129854	-0.150606	0.014191	
0.247349	0.143282	-0.033113	0.002899	
0.126802	0.109407	-0.026093	-0.001678	
-0.055390	0.016022	-0.063020	-0.027618	
-0.088655	-0.029144	-0.015411	-0.013885	
0.017853	0.010223	0.005035	-0.016327	
0.117037	0.045014	0.053864	-0.025787	
0.198825	-0.011444	-0.127413	-0.001373	
0.181430	0.045014	-0.222630	0.009918	
0.026398	0.120699	-0.186313	-0.002289	
-0.081025	0.035249	-0.022125	-0.000763	
-0.093537	-0.092011	0.297704	0.025177	
-0.070039	-0.116732	0.234837	-0.014191	
-0.020294	-0.132296	0.053254	-0.031892	
0.105440	-0.146029	-0.182040	0.000153	
0.154573	-0.065461	-0.002899	0.018463	
0.186923	-0.008392	0.057221	-0.004425	
0.170138	0.111238	0.300145	-0.001984	
-0.067903	0.220798	0.028229	0.015411	
-0.369116	0.272678	0.379797	0.007172	
-0.463416	0.227512	-0.005341	0.008087	
-0.055696	0.283360	-0.195773	0.008698	
0.016022	0.120394	-0.019684	-0.013580	
-0.196689	-0.135042	-0.017242	-0.034638	
-0.244297	-0.257420	-0.087129	-0.032502	
-0.138094	-0.401159	-0.188754	-0.035859	
0.044099	-0.446021	-0.243687	-0.039826	
0.052644	-0.381018	-0.180820	-0.013580	
0.023041	-0.178683	0.087129	0.004425	
-0.019989	-0.006866	0.348974	-0.008087	
-0.007782	0.100252	0.717631	0.000153	
0.004120	0.151522	0.257725	-0.004425	
0.024567	0.161593	0.021210	-0.014191	
0.000458	0.064851	-0.307469	-0.020599	
0.015717	0.071565	-0.720074	-0.003510	
0.014496	0.073396	-0.648355	0.025482	
-0.002289	0.092622	0.139315	0.032807	
0.006256	0.105135	0.595560	0.014191	
0.063020	0.115816	-0.056001	-0.001373	
0.170444	0.108187	0.081941	-0.011444	
0.242466	0.091096	0.083161	-0.006866	
0.255589	0.072175	0.123751	0.001678	
0.147249	0.095369	0.079499	-0.004425	
0.020599	0.143282	0.196994	0.005341	
-0.049897	0.092622	0.252537	-0.000763	
-0.057221	0.030060	-0.118868	-0.022736	
-0.141146	-0.061189	-0.011444	-0.021515	
-0.182651	-0.132906	-0.015411	-0.006256	
-0.177768	-0.186313	-0.073701	-0.015106	
-0.117647	-0.184482	-0.023956	-0.006866	
-0.070039	-0.117647	-0.006256	-0.010223	
0.023651	-0.056001	-0.016937	-0.016022	
0.074311	-0.016022	-0.035554	-0.013885	
0.065766	-0.047456	-0.054475	-0.008087	
0.023956	-0.043794	-0.055696	-0.008392	
0.021210	0.016937	-0.067597	-0.002899	
0.023956	0.064546	-0.068513	-0.004425	
0.060578	0.097811	-0.031587	-0.009003	
0.095064	0.151217	-0.032502	-0.015106	
0.048066	0.227207	-0.029144	-0.011749	
0.061189	0.160068	-0.019684	-0.010223	
0.097200	0.019379	-0.021820	-0.019989	
0.067292	-0.091706	0.008392	0.002899	
-0.090180	-0.133516	0.030975	0.014801	
-0.207675	-0.059052	0.022430	0.000763	
