NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:45:40	227818.57981040
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.001068	0.019379	0.011139	-0.013275	
0.002899	0.024261	0.013275	-0.006256	
0.005646	0.012970	0.008392	-0.002899	
0.028534	0.019379	0.012970	0.001678	
0.046540	0.030975	0.009308	-0.008087	
0.063020	0.042573	0.010529	-0.007172	
0.058442	0.059358	0.006866	-0.005035	
0.030975	0.066377	0.003204	-0.004425	
-0.009613	0.050813	0.010529	-0.007172	
-0.056306	0.020294	0.012054	-0.005951	
-0.092317	-0.016937	0.022736	-0.001984	
-0.091096	-0.070039	0.027008	-0.008392	
-0.059358	-0.083467	0.019073	-0.001373	
-0.056001	-0.079804	-0.007782	-0.012054	
-0.045625	-0.059358	0.009308	-0.004425	
-0.040437	-0.054170	0.002899	-0.015411	
-0.001984	-0.021210	0.010529	-0.005646	
0.008698	-0.010223	0.004120	-0.013885	
0.018463	0.000153	0.012665	-0.009918	
0.004730	0.002289	0.013275	-0.012054	
-0.011139	0.006561	0.003815	-0.017548	
-0.011749	-0.001373	0.004120	-0.017853	
-0.014801	-0.003510	0.004730	-0.012054	
-0.001984	-0.008392	0.010529	-0.003204	
0.019989	0.006561	0.004425	-0.005035	
0.020599	0.030975	0.006561	-0.001373	
0.031281	0.030975	0.007172	-0.005646	
0.040742	0.034028	0.012665	-0.009003	
0.030060	0.036469	0.014191	-0.003815	
0.004730	0.035249	0.016327	0.002289	
-0.020294	0.026398	0.004730	-0.000763	
-0.016022	0.022430	0.004730	0.005341	
-0.037690	0.010529	0.001678	-0.005035	
-0.036164	0.004730	0.005951	-0.003204	
-0.037080	-0.008392	-0.000153	-0.010223	
-0.021210	-0.004120	-0.001678	-0.003510	
-0.009918	-0.004425	-0.000153	-0.005951	
0.011139	-0.007172	0.019989	-0.005035	
0.023041	-0.014191	0.039216	-0.006866	
0.030670	-0.015106	0.027008	-0.006866	
0.030060	-0.006866	0.019073	-0.003510	
0.015717	-0.006866	0.016022	-0.009003	
0.005646	-0.009308	-0.003204	-0.011749	
-0.004425	-0.013885	-0.012360	-0.017548	
0.004425	-0.005951	0.025177	-0.009003	
-0.009613	-0.009308	0.061494	-0.007477	
-0.002899	-0.008392	0.036775	-0.003204	
-0.002899	0.001678	-0.028229	-0.007782	
0.010223	0.024567	-0.024567	0.000153	
0.014191	0.046540	-0.021820	-0.001373	
0.019989	0.048371	-0.015106	0.000763	
0.008698	0.027008	-0.014496	-0.004425	
-0.004425	0.012360	-0.024261	-0.001373	
-0.039216	-0.006256	-0.021820	-0.003510	
-0.055390	-0.010223	0.044404	0.001068	
-0.057221	-0.024261	0.032197	-0.003510	
-0.077973	-0.057832	-0.047761	-0.009308	
-0.066377	-0.048066	0.005951	-0.011749	
-0.037690	-0.028534	0.016022	-0.016022	
-0.014801	-0.015106	0.027924	-0.012054	
-0.013275	-0.004120	0.023041	-0.014496	
-0.006256	-0.002899	0.028534	-0.011749	
-0.006866	0.005035	0.034944	-0.009613	
0.004730	0.010223	0.047761	-0.003510	
0.005951	-0.003204	0.012054	-0.013275	
0.012665	0.013885	-0.019989	-0.009613	
0.012054	0.018463	-0.020599	-0.019379	
0.019989	0.028534	0.002594	-0.010223	
0.016327	0.025787	0.027924	-0.015106	
0.027008	0.039216	0.080720	-0.008087	
0.030975	0.040132	0.040132	-0.011139	
0.050508	0.048066	-0.021515	-0.003510	
0.042878	0.040742	-0.011749	-0.009613	
0.015106	0.034638	-0.009003	-0.009308	
-0.006866	0.027924	-0.004120	-0.002899	
-0.028229	0.001678	-0.015717	-0.006866	
-0.043489	-0.012970	-0.011444	-0.008392	
-0.044099	-0.039826	-0.012360	-0.011444	
-0.043183	-0.055390	-0.004425	-0.005035	
-0.051423	-0.045625	0.002594	-0.006866	
-0.023346	-0.019989	0.016937	-0.001984	
-0.002289	-0.008392	0.031587	-0.003510	
-0.002289	-0.004120	0.036469	0.003204	
-0.002899	0.000153	-0.004425	-0.005646	
0.013275	0.007172	-0.033113	-0.005646	
0.017242	0.009003	-0.009003	-0.003510	
0.028839	0.020294	0.011139	0.000458	
0.027924	0.016022	0.030365	-0.003510	
0.032807	0.016022	0.024567	-0.004425	
0.019073	0.026703	-0.009308	-0.003510	
-0.006256	0.031281	0.003815	-0.007172	
-0.026093	0.020599	0.006256	-0.006256	
-0.033113	0.010223	0.003204	-0.005646	
-0.035249	0.001068	0.008698	-0.001984	
-0.037080	-0.016327	0.008698	-0.002899	
-0.039216	-0.020905	0.016022	0.003204	
-0.048371	-0.017548	0.009003	-0.004120	
-0.034333	-0.012970	0.010834	-0.007172	
-0.025482	-0.023651	0.000763	-0.012054	
-0.009918	-0.023651	-0.000153	-0.005951	
-0.010223	-0.023956	-0.005646	-0.012970	
0.004730	-0.010834	0.013275	-0.006256	
