NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:22:49	226447.36453350
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.019379	-0.004120	-0.144503	-0.019073	
-0.027008	-0.004120	-0.103914	-0.012054	
-0.027008	-0.001068	-0.047761	-0.010529	
-0.013885	-0.006866	-0.034333	-0.016022	
0.013275	0.008087	-0.023346	-0.001373	
0.001678	0.013275	0.019073	-0.009003	
-0.006256	0.022125	-0.007477	-0.001678	
0.012360	0.014496	-0.080720	-0.009918	
0.059358	0.012360	-0.055696	-0.004425	
0.134432	-0.002899	-0.065461	-0.001984	
0.182345	-0.002899	-0.006866	0.008087	
0.115206	0.010223	0.141146	0.003204	
0.039216	0.011139	0.074006	-0.004120	
-0.003510	0.006561	0.139925	0.005341	
-0.029755	0.006256	0.083161	-0.004120	
-0.045320	0.010529	-0.204928	-0.001678	
-0.032502	0.012360	0.056916	0.000763	
0.010529	0.012970	0.222019	0.008087	
-0.037080	0.010223	-0.482643	0.000153	
-0.092011	0.012360	-0.161899	0.005035	
-0.116121	0.008087	-0.175326	-0.007477	
-0.116121	-0.000763	-0.168612	0.000763	
-0.092622	-0.008087	0.218967	-0.003510	
-0.056916	-0.013885	0.415198	-0.003510	
-0.064240	-0.017853	0.327916	-0.008087	
-0.080415	-0.000763	0.437476	-0.001984	
-0.078584	0.006256	0.226902	-0.008392	
-0.054170	0.005035	0.143282	-0.005951	
-0.019684	-0.016937	0.091096	-0.013275	
-0.001984	-0.016937	0.011139	-0.010223	
0.008392	-0.012360	0.012054	-0.012054	
0.022430	-0.005341	0.015411	-0.012054	
0.021210	-0.001678	-0.021820	-0.004425	
0.015717	0.004730	-0.036775	-0.015106	
0.010223	0.016022	0.040437	-0.006866	
-0.019684	0.016937	0.089570	-0.003204	
-0.027618	0.015717	0.021210	-0.006866	
0.016327	0.018768	-0.248569	-0.001678	
0.032502	0.010223	-0.391394	-0.001373	
0.030365	0.002289	-0.243687	-0.005951	
0.039216	0.003815	-0.164035	-0.012360	
0.027924	-0.010834	0.013885	-0.020294	
0.039216	-0.003510	0.266880	-0.012970	
0.034638	-0.005035	0.041352	-0.016327	
0.036469	0.000763	-0.128939	-0.007477	
0.041047	0.002289	0.201266	-0.013275	
0.001984	0.014496	0.111544	-0.005646	
-0.028839	0.018768	-0.236057	-0.001373	
-0.041963	0.023956	-0.533914	0.001068	
-0.054475	0.020294	-0.366674	0.009308	
-0.049287	0.017242	-0.130465	0.016022	
-0.041047	0.017242	0.149996	0.013885	
-0.045014	0.004425	0.305028	-0.002899	
-0.029449	0.007782	-0.059663	-0.007782	
-0.026093	-0.000763	0.139925	-0.016632	
-0.023041	-0.005341	0.111238	-0.011444	
-0.043794	-0.021820	-0.048676	-0.017242	
-0.037995	-0.017548	0.264744	-0.007477	
-0.019989	-0.003204	0.237278	-0.004120	
0.001068	0.005951	-0.129549	-0.007477	
0.001678	-0.005035	0.028534	-0.003510	
0.016022	-0.003510	0.226292	0.002594	
0.040742	0.001678	0.205234	-0.011444	
0.052339	0.002289	0.259861	-0.017548	
0.037995	0.006561	0.247044	-0.004120	
0.029144	0.000763	0.078584	0.000153	
0.044099	0.012665	-0.048066	0.001068	
0.030365	0.008698	-0.166476	-0.005951	
0.017242	0.009918	-0.173495	-0.007172	
-0.001678	0.003204	-0.148775	-0.014191	
-0.042268	0.002289	-0.082856	-0.011444	
-0.057527	0.004425	-0.003204	-0.000763	
-0.063630	0.009308	0.182956	0.002289	
-0.082246	-0.003815	0.041047	-0.016327	
-0.052339	0.000763	0.034944	-0.003204	
-0.025787	-0.009003	-0.004425	-0.009308	
0.008392	0.001678	-0.070039	-0.009918	
0.026703	-0.000763	0.019989	-0.013275	
0.041352	0.009003	-0.194858	-0.013885	
0.030060	0.008087	-0.241550	-0.012970	
0.017242	-0.005341	-0.446631	-0.007172	
0.010834	0.004425	-0.242161	-0.002289	
0.004120	-0.000153	-0.075837	-0.013580	
0.002594	-0.008087	-0.010223	-0.017853	
0.000458	-0.001373	-0.025177	0.001068	
0.012970	0.004730	0.542153	-0.009003	
0.040742	-0.009918	0.868086	-0.024261	
0.056611	-0.013580	0.401464	-0.015106	
0.024872	-0.016937	0.150606	-0.009308	
0.008087	0.014801	-0.274509	0.003815	
-0.000763	0.010223	-0.539407	0.000763	
0.007172	0.003204	-0.308385	0.011139	
-0.010834	0.004730	-0.143587	0.008698	
-0.020294	0.020905	0.202792	0.010223	
-0.053864	0.013885	0.373999	-0.001984	
-0.059968	0.003204	0.183871	-0.015106	
-0.047761	0.001984	0.174411	-0.005951	
-0.023346	0.002289	0.050813	-0.003204	
-0.005646	0.017242	0.001984	-0.007172	
0.017853	0.008698	-0.207980	-0.001984	
0.028534	0.002289	-0.354162	-0.001373	
0.014191	-0.005035	0.275425	0.002899	
-0.019989	-0.011139	0.193332	-0.009003	
