NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:27:47	226745.10205250
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	0.000	0.000	0.000	-3978.555	616.343	509.443	-3979.270	516.674	518.984	0.000	0.000	0.000	0.000	0.000	0.000	-3822.164	549.583	109.940	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3973.854	616.885	507.498	-3988.098	513.016	516.577	0.000	0.000	0.000	0.000	0.000	0.000	-3852.022	545.136	103.387	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3971.688	616.354	510.656	-3982.416	512.922	515.700	0.000	0.000	0.000	0.000	0.000	0.000	-3848.782	545.415	101.150	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3969.715	617.129	507.536	-3966.042	515.914	516.534	0.000	0.000	0.000	0.000	0.000	0.000	-3838.827	544.055	97.186	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3958.273	616.722	504.975	-3958.447	516.582	515.680	0.000	0.000	0.000	0.000	0.000	0.000	-3836.207	543.819	94.162	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3955.818	616.205	507.561	-3953.314	516.934	514.656	0.000	0.000	0.000	0.000	0.000	0.000	-3835.171	544.520	91.881	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3948.714	616.026	506.081	-3948.070	517.259	512.997	0.000	0.000	0.000	0.000	0.000	0.000	-3833.349	545.062	89.455	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3946.021	616.228	504.117	-3942.679	516.692	512.752	0.000	0.000	0.000	0.000	0.000	0.000	-3831.660	545.436	86.732	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3942.847	616.636	503.320	-3940.278	516.767	509.862	0.000	0.000	0.000	0.000	0.000	0.000	-3831.023	545.632	83.559	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3938.218	617.344	500.103	-3932.017	517.362	509.437	0.000	0.000	0.000	0.000	0.000	0.000	-3830.893	545.960	79.848	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3928.861	617.005	496.685	-3928.607	517.703	506.779	0.000	0.000	0.000	0.000	0.000	0.000	-3830.524	546.478	76.832	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3925.554	616.946	497.625	-3923.335	518.321	504.667	0.000	0.000	0.000	0.000	0.000	0.000	-3830.183	547.161	73.928	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3920.436	616.981	497.222	-3918.653	518.279	502.564	0.000	0.000	0.000	0.000	0.000	0.000	-3830.136	547.980	70.550	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3914.680	617.983	491.150	-3915.857	518.104	500.561	0.000	0.000	0.000	0.000	0.000	0.000	-3829.541	549.113	67.922	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3926.307	619.178	489.138	-3909.938	518.725	498.265	0.000	0.000	0.000	0.000	0.000	0.000	-3828.666	550.345	65.935	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3924.653	621.287	487.286	-3918.390	515.017	498.936	0.000	0.000	0.000	0.000	0.000	0.000	-3827.777	551.460	64.483	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3920.221	622.073	485.245	-3913.382	516.499	492.850	0.000	0.000	0.000	0.000	0.000	0.000	-3827.138	552.242	63.460	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3915.169	622.874	482.860	-3908.274	517.350	488.763	0.000	0.000	0.000	0.000	0.000	0.000	-3827.018	552.476	62.760	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	-3908.598	622.178	481.246	-3902.154	518.442	485.920	0.000	0.000	0.000	0.000	0.000	0.000	-3825.822	552.528	61.400	0.000	0.000	0.000
