NO_OF_SAMPLES	4800
FREQUENCY	960
TIME_STAMP	2020-02-08, 11:27:47	226745.10205250
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded Force Plate
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-3.988757	-10.068686	-69.000202	30.241314	1.616749	-0.141157	19.400162	-447.278944	0.000000	
10.450308	-7.227978	-51.243011	2.604510	-2.604004	2.212478	-40.161587	-59.553720	0.000000	
11.787808	-6.993390	-50.382117	0.193425	-3.006534	2.589199	-47.334396	-12.440223	0.000000	
10.765683	-7.221697	-52.283021	1.871342	-2.787422	2.298885	-42.548073	-44.355460	0.000000	
6.372099	-7.933567	-55.896757	10.612544	-1.544564	1.507845	-22.023592	-198.636185	0.000000	
5.181938	-8.119534	-57.966627	12.505595	-1.144116	1.396627	-15.509061	-224.409917	0.000000	
11.383470	-7.348818	-51.076497	0.622717	-3.094933	2.336258	-48.876488	-21.077484	0.000000	
4.917870	-8.474967	-58.659385	13.020948	-1.020752	1.341162	-13.484731	-230.894763	0.000000	
11.211611	-7.129472	-51.591798	1.010564	-2.942421	2.443276	-45.626948	-28.154131	0.000000	
9.792085	-7.319578	-53.142714	3.507287	-2.479156	2.172560	-37.099731	-74.538392	0.000000	
12.088974	-7.122908	-50.041331	-0.237259	-3.188756	2.428175	-50.955151	-4.058072	0.000000	
-0.050635	-8.922161	-64.172335	22.321022	0.466921	0.438983	6.444369	-356.443180	0.000000	
2.032811	-8.683113	-61.240054	18.748358	-0.091665	0.837756	-0.421742	-314.913683	0.000000	
8.197386	-7.866226	-55.040861	6.563324	-2.104246	1.882908	-30.661614	-128.076204	0.000000	
3.138942	-8.450551	-60.380585	16.811071	-0.370742	0.982023	-4.010627	-287.083962	0.000000	
-0.575493	-9.238907	-64.688001	23.569351	0.592212	0.492030	7.868324	-373.180663	0.000000	
7.924193	-7.825074	-55.733410	7.596809	-1.766358	1.703320	-24.502843	-144.996747	0.000000	
8.992389	-7.464084	-53.138410	5.360070	-2.412104	2.048299	-36.685230	-109.564074	0.000000	
6.775606	-7.970150	-55.552449	9.190089	-1.399344	1.633038	-19.133562	-174.293601	0.000000	
7.395283	-7.921847	-55.036674	8.458989	-1.825129	1.723220	-26.410128	-162.586259	0.000000	
2.215989	-8.811476	-61.240915	17.714059	-0.489358	0.925807	-6.747826	-298.137849	0.000000	
10.094652	-7.229158	-52.799847	3.335688	-2.509214	2.083951	-37.583280	-71.671070	0.000000	
