NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:54:14	228332.83923580
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.022125	-0.019684	-0.013275	0.366369	
-0.027313	-0.025787	-0.018463	0.085298	
-0.038301	-0.043183	0.021210	-0.001984	
-0.019989	-0.023346	0.055696	-0.124056	
-0.016022	-0.023041	0.049592	-0.129549	
-0.002289	-0.011444	0.058747	-0.010223	
-0.005951	-0.011139	0.047151	0.028839	
-0.005341	-0.008392	0.010529	-0.081025	
-0.003204	-0.015411	-0.017853	-0.222630	
-0.002289	-0.022125	-0.017548	-0.214694	
-0.009613	-0.027313	-0.008392	-0.247044	
-0.003815	-0.024261	-0.009308	-0.440833	
0.001678	-0.027008	0.004730	0.035249	
-0.005951	-0.037385	-0.011749	0.418555	
-0.000763	-0.035554	-0.010223	0.144808	
-0.000153	-0.039826	0.004730	0.352942	
0.007782	-0.030060	0.037690	0.782636	
0.000153	-0.035554	0.009918	0.371557	
0.002899	-0.024872	-0.033113	-0.027924	
-0.005951	-0.026093	-0.053559	-0.009003	
-0.000763	-0.011444	-0.021820	-0.076142	
-0.004120	-0.004120	-0.000763	-0.159762	
0.000458	0.012054	-0.001068	-0.405127	
0.000153	0.016937	0.024872	-0.684062	
0.005035	0.018463	0.065461	-0.410010	
-0.001068	0.016022	0.056611	0.015106	
0.000763	0.030975	0.021210	-0.150301	
0.003815	0.044099	0.014801	0.075837	
-0.009613	0.038911	0.006561	0.387732	
-0.009613	0.037385	-0.000153	0.189670	
-0.005646	0.034638	0.010529	-0.033723	
0.002289	0.041047	0.037080	0.052644	
-0.004425	0.031281	0.023956	0.195773	
-0.003815	0.034944	0.004425	0.008698	
-0.007477	0.021820	-0.009613	-0.274815	
0.003204	0.027924	0.004120	-0.242466	
-0.001678	0.026093	-0.009613	-0.129854	
-0.004120	0.016022	-0.003510	0.084077	
-0.001373	0.005646	0.028229	0.027313	
0.005035	0.009308	0.027008	0.043183	
0.002289	0.007782	0.023346	0.323949	
0.009918	0.014496	0.002899	0.344091	
0.000153	0.006866	-0.017548	-0.164035	
0.001678	0.012054	-0.001678	-0.391088	
-0.003510	0.014801	0.030670	-0.455787	
-0.006256	0.008087	0.019073	-0.401770	
-0.001678	0.002594	0.021515	-0.120089	
-0.001678	0.000153	0.028839	0.330358	
-0.001984	0.000763	0.021210	0.591592	
-0.007172	-0.007172	0.011749	0.364843	
-0.010223	-0.010223	-0.000763	0.134737	
-0.021820	-0.017548	-0.016327	0.058747	
-0.009613	-0.008087	-0.019684	-0.009308	
-0.012360	-0.007172	-0.013885	-0.040742	
-0.001373	0.004425	0.009003	-0.063325	
-0.003815	-0.002899	0.004730	-0.081025	
-0.003204	0.000763	0.021210	-0.078279	
-0.011444	-0.011444	0.010223	-0.092317	
-0.006866	-0.004120	0.008698	-0.084687	
-0.008392	-0.009003	0.000153	-0.083161	
-0.010834	-0.015717	0.000153	-0.087129	
-0.011444	-0.012360	0.020599	-0.069428	
-0.009003	-0.008392	0.011139	-0.067292	
-0.008392	-0.004425	0.001678	-0.067292	
-0.009308	-0.007172	-0.003510	-0.064546	
-0.001678	0.000763	0.005035	-0.052033	
-0.007172	0.002594	0.002594	-0.046845	
0.002289	0.007172	0.005341	-0.034638	
-0.003204	0.003815	-0.005646	-0.039521	
0.001984	0.017853	0.008698	-0.019684	
-0.005646	0.010529	0.017853	-0.016632	
-0.009308	0.017242	0.013275	-0.012054	
-0.007477	0.018158	0.005951	-0.013275	
-0.001678	0.018768	0.005341	-0.003204	
-0.003204	0.016022	0.010223	-0.000153	
0.000458	0.021210	0.012665	0.006561	
0.001984	0.016022	0.014801	0.003204	
-0.002289	0.012360	0.017853	0.006561	
-0.002899	0.012665	0.020599	0.008087	
-0.002289	0.012360	0.029144	0.008698	
-0.002289	0.014191	0.018768	0.010834	
-0.005951	0.004425	0.002594	0.010223	
-0.003815	0.007172	-0.005646	0.014801	
-0.009613	-0.001373	-0.024261	0.007782	
-0.005646	0.005035	-0.063935	0.009308	
-0.012054	0.005646	-0.088349	-0.002899	
-0.006256	0.002289	-0.066987	0.012054	
-0.013275	-0.007477	0.080110	0.012360	
-0.006866	-0.001678	0.093537	0.018158	
-0.000763	0.002594	0.090180	0.012360	
-0.001678	0.000458	0.099031	0.009918	
-0.005341	-0.003204	0.045625	0.000153	
0.002289	0.005035	0.009308	-0.003204	
0.000153	0.007782	0.003204	-0.005341	
0.002594	0.009308	0.030975	0.004425	
-0.003815	0.002594	0.067292	0.001068	
-0.009613	0.001678	0.064546	0.003204	
-0.011749	-0.005035	0.070039	0.004120	
-0.017853	-0.012360	-0.008392	-0.004425	
-0.012360	-0.007172	-0.147554	0.001068	
-0.020294	-0.016937	-0.054780	-0.007477	
-0.018463	-0.013580	0.082856	0.000763	
-0.016327	-0.007782	0.033113	0.000153	
