NO_OF_FRAMES	7200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:29:21	226839.36048560
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	111.859	608.655	548.075	445.807	579.154	421.229	402.918	478.677	431.887	162.294	575.213	82.410	214.055	518.133	106.578	415.355	456.888	56.070	-61.938	720.097	581.621
0.000	0.000	0.000	111.825	608.713	548.039	445.812	579.172	421.301	402.872	478.698	431.927	162.285	575.247	82.347	214.063	518.144	106.561	415.371	456.851	56.047	-61.877	720.175	581.655
0.000	0.000	0.000	111.817	608.740	548.048	445.766	579.177	421.283	402.857	478.721	431.946	162.307	575.260	82.352	214.081	518.098	106.577	415.373	456.863	56.039	-61.913	720.201	581.658
0.000	0.000	0.000	111.805	608.787	548.058	445.718	579.175	421.287	402.952	478.695	432.050	162.269	575.168	82.324	215.074	518.456	105.787	415.343	456.868	56.022	-61.937	720.244	581.671
0.000	0.000	0.000	111.782	608.838	548.056	445.743	579.170	421.307	402.934	478.692	432.080	162.386	575.284	82.342	215.039	518.404	105.829	415.347	456.853	56.039	-61.965	720.256	581.708
0.000	0.000	0.000	111.759	608.841	548.089	445.672	579.175	421.304	402.901	478.714	432.113	162.328	575.232	82.375	215.096	518.439	105.802	415.332	456.866	56.029	-61.955	720.297	581.725
0.000	0.000	0.000	111.743	608.833	548.111	445.632	579.226	421.353	402.851	478.740	432.125	162.344	575.220	82.344	215.110	518.477	105.789	415.395	456.870	56.074	-61.979	720.366	581.764
0.000	0.000	0.000	111.659	608.978	548.302	445.586	579.216	421.367	402.778	478.790	432.143	162.169	575.197	82.503	215.623	518.570	105.720	415.307	456.932	56.103	-62.320	720.428	582.057
0.000	0.000	0.000	111.608	609.038	547.962	445.547	579.352	421.222	402.744	478.758	432.098	162.464	575.744	82.464	215.945	518.800	105.695	415.473	457.066	55.955	-62.144	720.389	581.963
0.000	0.000	0.000	111.557	609.054	547.963	445.545	579.389	421.254	402.722	478.765	432.112	162.452	575.796	82.413	215.943	518.824	105.639	415.510	457.070	55.990	-62.158	720.396	581.979
0.000	0.000	0.000	111.566	609.071	547.989	445.483	579.378	421.247	402.657	478.783	432.135	162.058	575.327	82.421	214.953	517.958	106.001	415.416	456.766	55.955	-62.141	720.444	582.014
0.000	0.000	0.000	111.492	609.131	547.975	445.478	579.385	421.311	402.641	478.764	432.158	162.051	575.265	82.456	214.953	517.883	105.938	415.403	456.751	55.949	-62.168	720.465	581.994
0.000	0.000	0.000	111.452	609.196	547.957	445.455	579.378	421.333	402.605	478.720	432.182	162.005	575.243	82.375	214.878	517.849	105.936	415.432	456.752	55.965	-62.133	720.534	582.060
0.000	0.000	0.000	111.484	609.170	547.993	445.435	579.270	421.468	402.574	478.715	432.207	162.039	575.283	82.390	214.886	517.836	105.964	415.424	456.600	56.089	-62.129	720.549	582.074
0.000	0.000	0.000	111.410	609.219	547.968	445.458	579.255	421.600	402.528	478.695	432.239	162.028	575.265	82.427	214.906	517.804	105.978	415.388	456.603	56.104	-62.135	720.672	582.123
0.000	0.000	0.000	111.363	609.290	547.981	445.359	579.213	421.584	402.406	478.719	432.245	162.039	575.288	82.435	214.890	517.845	105.948	415.405	456.611	56.124	-62.156	720.739	582.110
0.000	0.000	0.000	111.358	609.252	548.019	445.362	579.189	421.666	402.377	478.665	432.274	162.009	575.336	82.411	214.806	517.837	105.995	415.395	456.622	56.102	-62.179	720.815	582.129
0.000	0.000	0.000	111.283	609.327	548.010	445.282	579.126	421.676	402.317	478.648	432.287	162.056	575.369	82.407	214.878	517.844	106.015	415.371	456.558	56.122	-62.194	720.896	582.144
0.000	0.000	0.000	111.261	609.324	548.011	445.260	579.052	421.736	402.201	478.587	432.292	162.079	575.378	82.396	214.813	517.836	105.968	415.420	456.595	56.130	-62.178	720.965	582.164
0.000	0.000	0.000	111.252	609.313	548.026	445.214	578.972	421.790	402.147	478.526	432.315	162.014	575.311	82.435	214.811	517.801	105.983	415.383	456.560	56.118	-62.176	720.980	582.183
0.000	0.000	0.000	111.231	609.254	548.048	445.125	578.869	421.880	402.076	478.421	432.358	162.015	575.285	82.401	214.804	517.775	105.963	415.397	456.538	56.134	-62.211	721.017	582.182
0.000	0.000	0.000	111.193	609.261	548.051	445.098	578.776	421.937	402.032	478.331	432.376	162.004	575.296	82.407	214.835	517.739	105.969	415.374	456.533	56.109	-62.202	721.043	582.154
0.000	0.000	0.000	111.182	609.201	548.072	445.049	578.699	421.980	401.997	478.229	432.410	162.007	575.298	82.470	214.777	517.712	106.007	415.392	456.513	56.125	-62.215	721.100	582.179
0.000	0.000	0.000	111.139	609.261	548.071	445.019	578.628	422.042	401.873	478.200	432.404	161.993	575.304	82.414	214.801	517.782	105.991	415.389	456.494	56.158	-62.192	721.178	582.189
0.000	0.000	0.000	111.081	609.277	548.061	444.992	578.507	422.069	401.802	478.124	432.441	162.028	575.331	82.449	214.763	517.749	106.001	415.369	456.525	56.133	-62.226	721.188	582.193
0.000	0.000	0.000	111.075	609.310	548.068	444.982	578.460	422.198	401.746	478.073	432.434	162.051	575.337	82.461	214.747	517.754	105.968	415.345	456.521	56.097	-62.222	721.263	582.198
0.000	0.000	0.000	111.040	609.302	548.059	444.934	578.349	422.187	401.698	477.985	432.492	162.055	575.370	82.469	214.752	517.722	106.012	415.355	456.482	56.080	-62.252	721.265	582.227
0.000	0.000	0.000	111.024	609.321	548.039	444.975	578.265	422.255	401.657	477.898	432.488	162.047	575.331	82.480	214.741	517.683	105.998	415.368	456.480	56.092	-62.232	721.294	582.187
0.000	0.000	0.000	111.007	609.340	548.050	444.948	578.192	422.333	401.593	477.805	432.508	162.037	575.284	82.448	214.706	517.617	105.979	415.353	456.444	56.073	-62.256	721.318	582.190
0.000	0.000	0.000	111.025	609.297	548.032	444.868	578.096	422.298	401.568	477.689	432.561	162.059	575.303	82.457	214.717	517.631	105.948	415.329	456.430	56.076	-62.281	721.312	582.205
0.000	0.000	0.000	111.044	609.293	548.046	444.796	577.994	422.270	401.494	477.636	432.557	161.984	575.304	82.394	214.734	517.562	105.954	415.317	456.421	56.050	-62.270	721.354	582.218
0.000	0.000	0.000	111.051	609.270	548.053	444.789	577.964	422.362	401.456	477.606	432.569	161.977	575.258	82.417	214.660	517.588	106.004	415.308	456.399	56.068	-62.244	721.382	582.230
0.000	0.000	0.000	111.000	609.338	548.038	444.758	577.905	422.288	401.359	477.600	432.601	161.983	575.305	82.440	214.732	517.572	105.953	415.309	456.392	56.038	-62.224	721.462	582.252
0.000	0.000	0.000	111.016	609.372	548.044	444.733	577.827	422.331	401.321	477.541	432.601	161.980	575.311	82.422	214.667	517.590	105.979	415.306	456.390	56.035	-62.275	721.516	582.248
0.000	0.000	0.000	110.986	609.359	548.026	444.736	577.799	422.357	401.311	477.499	432.625	161.956	575.268	82.490	214.618	517.585	106.013	415.312	456.359	56.017	-62.253	721.515	582.237
0.000	0.000	0.000	111.049	609.328	548.053	444.725	577.762	422.360	401.291	477.453	432.647	162.002	575.261	82.494	214.669	517.528	105.955	415.321	456.341	56.021	-62.235	721.561	582.209
0.000	0.000	0.000	110.978	609.388	548.024	444.733	577.754	422.385	401.317	477.410	432.677	161.979	575.212	82.476	214.651	517.498	105.970	415.315	456.303	55.985	-62.232	721.549	582.235
0.000	0.000	0.000	110.960	609.417	548.009	444.761	577.798	422.436	401.289	477.419	432.700	162.004	575.173	82.521	214.635	517.469	105.973	415.328	456.317	55.963	-62.222	721.556	582.204
0.000	0.000	0.000	110.986	609.405	548.009	444.766	577.796	422.448	401.301	477.423	432.706	161.943	575.153	82.457	214.682	517.484	105.975	415.329	456.313	55.975	-62.217	721.612	582.195
0.000	0.000	0.000	111.022	609.357	548.034	444.729	577.772	422.344	401.256	477.456	432.710	161.906	575.178	82.473	214.612	517.475	105.976	415.316	456.300	55.985	-62.186	721.642	582.181
