NO_OF_FRAMES	7200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:55:03	228381.22308140
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	heel	toe	sacral
ASISL X	ASISL Y	ASISL Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	heel X	heel Y	heel Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	547.891	272.523	498.108	426.911	180.794	515.883	338.903	294.801	129.369	266.272	239.979	134.044	205.619	328.155	28.971	466.073	120.022	61.815	100.204	598.824	683.195
0.000	0.000	0.000	547.937	272.448	498.056	426.951	180.765	515.848	338.897	294.782	129.376	265.587	240.995	133.963	205.666	328.223	28.949	466.083	120.028	61.854	100.341	598.859	682.848
0.000	0.000	0.000	547.981	272.361	497.993	426.974	180.718	515.840	338.940	294.763	129.410	266.266	239.954	134.030	205.676	328.237	28.960	466.066	120.040	61.848	100.510	598.966	682.673
0.000	0.000	0.000	548.068	272.265	497.950	426.933	180.698	515.820	339.179	295.100	129.293	266.256	239.967	134.005	205.644	328.224	28.947	466.059	120.045	61.839	100.692	599.079	682.395
0.000	0.000	0.000	548.066	272.167	497.897	426.926	180.675	515.820	339.154	295.053	129.294	266.175	240.028	133.984	205.687	328.271	28.930	466.056	120.046	61.818	100.863	599.192	682.156
0.000	0.000	0.000	548.107	272.093	497.816	426.931	180.633	515.818	339.137	295.056	129.289	266.177	240.035	134.032	205.635	328.234	28.933	466.020	120.057	61.815	101.029	599.286	681.957
0.000	0.000	0.000	548.139	271.993	497.685	426.939	180.592	515.789	339.115	294.995	129.304	266.197	239.971	133.893	205.653	328.261	28.934	466.025	120.041	61.799	101.156	599.384	681.806
0.000	0.000	0.000	548.186	271.903	497.724	427.008	180.674	515.918	339.245	295.154	129.221	266.110	240.304	134.050	205.964	328.603	29.001	466.018	120.166	61.920	101.398	599.496	681.683
0.000	0.000	0.000	548.326	271.697	497.733	426.958	180.368	515.916	339.033	294.816	129.322	266.128	240.240	134.074	205.617	327.997	28.992	465.966	119.915	61.997	101.582	599.565	681.584
0.000	0.000	0.000	548.362	271.606	497.693	426.967	180.322	515.893	339.033	294.722	129.343	266.144	240.221	134.047	205.591	327.947	28.990	465.962	119.868	62.002	101.704	599.647	681.496
0.000	0.000	0.000	548.401	271.509	497.573	427.084	180.245	515.710	339.016	294.741	129.324	266.197	240.244	134.063	205.614	327.987	28.992	466.042	119.806	61.762	101.894	599.714	681.414
0.000	0.000	0.000	548.450	271.400	497.547	427.126	180.215	515.712	339.037	294.744	129.348	266.145	240.292	134.094	205.620	327.996	29.015	466.047	119.812	61.755	102.014	599.822	681.379
0.000	0.000	0.000	548.461	271.327	497.516	427.176	180.189	515.717	339.021	294.729	129.373	266.151	240.347	134.054	205.621	328.010	29.039	466.054	119.824	61.758	102.133	599.877	681.349
0.000	0.000	0.000	548.535	271.234	497.468	427.116	180.199	515.739	339.048	294.710	129.397	266.124	240.335	134.123	205.646	328.026	29.082	466.034	119.815	61.730	102.276	599.981	681.357
0.000	0.000	0.000	548.623	271.159	497.501	427.148	180.182	515.752	339.048	294.685	129.439	266.114	240.444	134.097	205.615	328.021	29.067	466.040	119.798	61.709	102.388	600.027	681.362
0.000	0.000	0.000	548.671	271.057	497.470	427.238	180.079	515.752	339.062	294.680	129.421	266.122	240.399	134.121	205.650	328.009	29.098	466.046	119.756	61.712	102.570	600.082	681.389
0.000	0.000	0.000	548.746	270.977	497.460	427.227	180.078	515.805	339.079	294.635	129.462	266.095	240.383	134.060	205.649	327.979	29.119	466.079	119.748	61.709	102.659	600.096	681.462
0.000	0.000	0.000	548.796	270.954	497.454	427.281	180.010	515.837	339.060	294.629	129.453	266.157	240.314	134.139	205.658	327.988	29.122	466.089	119.705	61.696	102.785	600.116	681.532
0.000	0.000	0.000	548.833	270.867	497.475	427.280	180.000	515.872	339.079	294.612	129.478	266.154	240.333	134.151	205.639	327.954	29.133	466.084	119.696	61.714	102.927	600.166	681.603
0.000	0.000	0.000	548.866	270.812	497.457	427.327	179.998	515.896	339.084	294.595	129.497	266.206	240.326	134.161	205.642	327.968	29.163	466.076	119.702	61.717	103.019	600.172	681.767
0.000	0.000	0.000	548.928	270.772	497.501	427.336	180.017	515.900	339.086	294.576	129.537	266.144	240.421	134.193	205.665	328.017	29.176	466.062	119.708	61.698	103.137	600.242	681.874
0.000	0.000	0.000	548.979	270.749	497.490	427.336	180.018	515.941	339.097	294.541	129.518	266.182	240.384	134.137	205.674	328.031	29.200	466.058	119.717	61.708	103.295	600.297	682.012
0.000	0.000	0.000	549.046	270.680	497.490	427.345	180.028	515.963	339.109	294.562	129.531	266.198	240.389	134.171	205.649	328.020	29.211	466.064	119.714	61.682	103.391	600.308	682.164
0.000	0.000	0.000	549.087	270.656	497.503	427.425	180.021	515.972	339.126	294.509	129.579	266.181	240.413	134.177	205.663	328.014	29.195	466.072	119.717	61.685	103.583	600.388	682.396
