NO_OF_SAMPLES	28800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:55:03	228381.22308140
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
0.054475	0.012360	0.000458	-0.002899	
0.045014	0.029755	-0.013580	-0.002289	
0.030365	0.028839	-0.005951	-0.005646	
0.022736	0.022125	0.008087	-0.005646	
0.012970	0.010529	0.014496	-0.003815	
-0.001678	-0.009918	0.013275	-0.008392	
-0.002899	-0.004120	0.012665	-0.001678	
-0.011749	-0.000153	0.001678	-0.005951	
-0.009003	0.012360	0.004120	-0.002289	
-0.016937	0.010223	0.005951	-0.006256	
-0.016937	0.018158	-0.002899	-0.003510	
-0.021210	0.017853	0.002289	-0.009003	
-0.013580	0.020905	0.010529	0.001068	
-0.016327	-0.007172	-0.005951	-0.008392	
-0.013885	-0.012360	-0.009613	-0.005035	
-0.016327	-0.014191	-0.008392	-0.006256	
-0.017548	-0.002899	0.002899	-0.004120	
-0.016022	-0.004120	0.042573	-0.005341	
-0.005951	-0.010223	-0.034028	-0.000763	
-0.004425	-0.018158	-0.024567	-0.004120	
-0.008087	-0.023651	0.095980	-0.003510	
-0.016937	-0.009003	0.098116	-0.005035	
-0.029144	0.009003	0.033113	-0.007172	
-0.037385	0.017853	0.018768	-0.009003	
-0.048982	0.011749	0.008392	-0.004120	
-0.043183	0.017853	-0.109407	-0.001373	
-0.034333	0.012360	-0.056306	-0.012054	
0.001984	0.032197	0.018768	-0.002899	
-0.001678	0.036469	0.036469	-0.010529	
0.012665	0.034028	0.038606	-0.007172	
0.024872	0.026093	0.027924	-0.010223	
0.066682	0.026093	0.016632	-0.001678	
0.078279	0.008087	-0.001373	-0.011749	
0.066072	-0.012970	-0.033723	-0.008392	
0.043183	-0.061494	-0.141756	-0.009003	
0.000763	-0.064546	-0.178073	-0.004425	
-0.023956	-0.035249	0.053559	-0.007782	
-0.005035	0.016022	0.305333	-0.003204	
0.022125	0.059968	0.214999	-0.003510	
0.028534	0.069123	-0.014191	-0.007172	
-0.017548	0.046235	-0.058747	-0.010223	
-0.048371	0.023346	-0.020599	-0.007477	
-0.065156	0.016632	-0.007477	-0.003204	
-0.081635	-0.008087	0.027008	-0.009308	
-0.077973	-0.016327	0.035554	-0.005341	
-0.065766	-0.034333	-0.003815	-0.007172	
-0.034333	-0.041657	0.021515	-0.003510	
-0.020905	-0.045625	0.012970	-0.014496	
-0.011139	-0.023651	0.004730	-0.009613	
-0.012360	-0.006866	0.001678	-0.009613	
-0.011749	0.000153	0.001068	-0.009003	
0.003815	0.001068	0.001984	-0.009918	
0.016327	-0.001068	0.001984	-0.006256	
0.021210	-0.016327	-0.005951	-0.014191	
0.046845	-0.006256	-0.002289	-0.011444	
0.057832	0.014496	-0.001678	-0.015106	
0.052033	0.026093	-0.005341	-0.016022	
0.042573	0.016632	-0.003815	-0.012054	
0.030975	0.023346	-0.013580	-0.011749	
0.013275	0.006866	-0.011444	-0.008392	
-0.000153	-0.052339	-0.008087	-0.009308	
-0.000153	-0.039826	0.003815	-0.000763	
-0.013275	-0.020905	0.024261	-0.006256	
-0.020905	-0.004120	0.056611	-0.005646	
-0.035249	-0.003510	0.030975	-0.015106	
-0.023041	0.018768	0.055696	-0.001373	
-0.012360	0.007782	0.006866	-0.003510	
-0.022125	0.002289	-0.052949	-0.002289	
-0.038301	-0.017548	0.011139	-0.011749	
-0.027924	-0.013580	0.050202	-0.009613	
-0.024261	-0.001373	0.027924	-0.009308	
-0.019073	0.012970	-0.029144	-0.002289	
-0.019073	0.010223	-0.046235	-0.002899	
-0.019684	-0.008392	-0.023651	-0.003510	
-0.013275	0.005035	-0.032502	0.004120	
-0.009918	0.010529	-0.050508	-0.003510	
0.003204	0.039216	0.002289	0.001678	
0.000763	0.062104	-0.048066	-0.002899	
0.010223	0.068513	0.027008	0.000153	
-0.005951	0.050508	0.037080	-0.011749	
-0.001068	0.042268	0.031587	-0.004120	
-0.006866	0.026093	0.018768	-0.008392	
-0.000763	0.014801	0.015411	-0.004425	
0.013275	0.005035	0.018463	-0.005646	
0.000458	0.008698	0.024261	-0.001678	
-0.039216	-0.014191	0.019989	-0.007172	
-0.042878	-0.014191	0.012665	-0.011749	
-0.001068	-0.001068	0.013275	-0.008392	
0.059968	-0.002899	0.009308	-0.009003	
0.073091	-0.001984	0.007172	-0.008087	
0.049287	0.008392	0.004730	-0.006256	
0.004730	-0.001068	0.005341	-0.010529	
-0.037080	-0.019073	0.006256	-0.011444	
-0.054170	-0.020905	0.018463	-0.004425	
-0.067597	-0.027313	0.019989	-0.010529	
-0.062409	-0.016937	0.021515	-0.004425	
-0.066987	-0.006256	0.019989	-0.010529	
-0.051118	0.002289	0.011749	-0.005035	
-0.019379	-0.005951	-0.003510	-0.011444	
0.016327	-0.013580	0.007782	-0.006866	
0.027008	-0.014191	0.015411	-0.008392	
