NO_OF_SAMPLES	28800
FREQUENCY	960
TIME_STAMP	2020-02-08, 11:55:03	228381.22308140
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded Force Plate
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-3.616117	-4.565650	1106.961443	-40.716655	113.183856	2.336296	-102.851444	-37.363741	0.000000	
-8.655502	-5.366984	1101.451758	-31.848444	114.395987	1.737362	-104.205764	-29.454372	0.000000	
-8.258690	-5.314304	1100.236072	-32.668042	114.364406	1.680242	-104.311566	-30.233635	0.000000	
-4.272510	-4.700676	1105.754439	-40.373831	113.245008	2.333164	-102.984850	-37.086751	0.000000	
-6.701826	-5.210557	1102.479337	-35.854237	113.957938	2.059433	-103.811470	-33.069078	0.000000	
-12.688661	-6.552141	1095.755455	-24.619002	115.665156	0.921586	-105.695126	-22.944901	0.000000	
-3.820416	-4.916428	1105.579530	-41.150179	113.242059	2.546945	-103.021294	-37.783749	0.000000	
-6.164835	-5.422895	1103.687514	-37.922644	113.827666	2.203487	-103.607958	-34.897061	0.000000	
-12.812982	-6.686340	1095.931223	-24.576461	115.815413	1.083148	-105.809040	-22.895664	0.000000	
-3.368715	-5.176082	1108.001312	-43.389922	112.897691	2.782923	-102.509913	-39.711219	0.000000	
-6.206835	-5.820704	1103.859008	-38.053066	113.857111	2.203172	-103.616524	-34.989696	0.000000	
-12.939864	-6.731254	1096.799316	-24.964414	116.054074	1.210327	-105.937025	-23.229601	0.000000	
-5.443575	-5.766007	1104.549372	-40.250079	113.545195	2.489547	-103.308633	-36.960171	0.000000	
-4.429371	-5.494176	1107.314253	-41.927593	113.567886	2.656835	-103.124527	-38.398628	0.000000	
-11.377788	-6.225731	1099.738625	-29.442287	115.610476	1.715855	-105.332318	-27.267240	0.000000	
-5.255077	-5.496936	1106.284434	-41.929313	113.626252	2.797171	-103.230672	-38.435030	0.000000	
-6.053199	-5.373903	1106.117368	-40.507288	113.751842	2.708368	-103.319201	-37.161353	0.000000	
-13.272902	-6.415698	1098.712732	-28.023117	115.854892	1.570142	-105.555612	-25.990575	0.000000	
-7.912301	-5.479938	1105.783022	-38.096100	114.363507	2.494175	-103.809020	-34.986437	0.000000	
-5.467637	-5.056554	1109.408043	-43.391954	113.827157	3.072582	-103.112578	-39.669772	0.000000	
-12.152227	-6.536275	1101.305689	-31.081402	115.779921	2.021661	-105.297962	-28.702115	0.000000	
-11.887429	-6.006405	1103.558591	-31.853623	115.623511	2.170377	-104.956336	-29.371874	0.000000	
-6.653918	-5.020233	1109.418276	-42.919168	114.098057	3.090493	-103.295820	-39.245094	0.000000	
-10.018378	-5.455184	1107.188051	-36.761318	114.966569	2.677175	-104.116235	-33.738765	0.000000	
-11.832725	-5.739548	1106.160092	-33.661396	115.551759	2.461755	-104.649257	-30.952522	0.000000	
-7.882364	-4.945115	1109.776917	-41.540643	114.402383	3.217684	-103.474807	-37.994308	0.000000	
-8.772313	-5.090795	1110.647210	-39.817025	114.649472	3.077566	-103.571856	-36.405909	0.000000	
-15.592563	-6.572409	1103.064508	-27.333897	116.783923	1.974405	-105.866518	-25.258449	0.000000	
-7.891914	-4.902695	1112.718449	-42.271515	114.639172	3.116775	-103.415668	-38.554991	0.000000	
-8.194435	-4.996872	1112.722609	-41.409989	114.792791	3.260766	-103.538087	-37.775850	0.000000	
-17.325891	-6.635190	1102.381623	-24.276220	117.429813	1.652732	-106.429293	-22.496697	0.000000	
-10.497514	-5.108572	1111.698323	-37.921749	115.287955	2.955983	-103.961932	-34.666511	0.000000	
-9.562858	-5.364611	1113.250268	-39.860390	115.158807	3.172860	-103.749197	-36.347837	0.000000	
-15.150936	-5.863375	1106.529283	-29.009914	116.653007	2.179268	-105.441575	-26.732519	0.000000	
-12.401090	-5.615267	1111.708385	-35.037476	115.992185	2.724633	-104.498390	-32.046181	0.000000	
-7.794595	-4.816566	1116.011467	-43.432662	114.690800	3.428247	-103.163997	-39.488399	0.000000	
-13.471116	-5.450899	1110.329683	-32.366904	116.517462	2.473261	-105.046178	-29.688063	0.000000	
-14.659995	-5.992662	1109.989727	-30.947375	116.702553	2.400749	-105.184764	-28.390655	0.000000	
-7.931226	-4.775771	1117.051466	-43.130477	114.963308	3.395449	-103.305772	-39.183919	0.000000	
-10.099033	-4.930449	1114.640972	-39.169163	115.431682	3.123672	-103.838555	-35.705221	0.000000	
-15.727237	-6.224522	1108.262604	-28.579536	117.015144	2.129512	-105.575480	-26.285361	0.000000	
-9.745952	-4.750306	1115.505207	-39.986641	115.337347	3.179076	-103.691908	-36.420082	0.000000	
-8.590787	-4.869992	1116.536425	-42.398751	114.904713	3.376364	-103.267439	-38.541531	0.000000	
-16.748838	-6.057287	1107.230703	-26.770772	117.445382	1.949701	-106.009941	-24.683983	0.000000	
-13.468076	-5.453467	1113.101447	-33.226891	116.480543	2.622268	-104.753547	-30.388635	0.000000	
-8.325493	-4.690896	1117.748384	-43.216179	114.900518	3.450542	-103.165885	-39.240930	0.000000	
-14.667687	-5.684577	1111.028665	-30.988946	116.792612	2.314158	-105.167811	-28.417842	0.000000	
-17.054669	-6.369879	1107.751523	-26.599408	117.656473	1.986480	-106.135537	-24.502230	0.000000	
-9.302837	-4.566981	1116.542019	-41.536740	115.179285	3.252076	-103.477056	-37.784533	0.000000	
-10.627479	-5.285145	1114.296052	-39.257403	115.551479	3.032414	-103.951353	-35.777350	0.000000	
-18.512579	-6.735590	1105.681552	-24.448014	117.785564	1.767280	-106.375531	-22.582260	0.000000	
-10.399336	-5.191539	1114.123460	-40.205564	115.547407	3.174675	-103.975170	-36.638519	0.000000	
-9.741042	-5.230470	1116.195085	-41.668928	115.329341	3.178319	-103.621382	-37.881100	0.000000	
-14.305486	-5.586590	1110.508695	-32.626992	116.725623	2.454941	-105.174662	-29.910759	0.000000	
-16.293761	-6.222892	1107.402122	-29.141614	117.223307	2.162560	-105.816173	-26.812801	0.000000	
-9.998491	-5.142786	1114.467875	-41.152787	115.241169	3.264151	-103.688677	-37.479835	0.000000	
-11.016371	-5.063250	1113.436283	-39.602802	115.579296	3.137599	-104.036400	-36.125741	0.000000	
-17.216962	-6.758928	1105.328326	-27.895634	117.379672	2.050092	-106.107828	-25.707123	0.000000	
-10.799725	-5.634544	1111.871155	-39.260439	115.492769	2.954280	-104.114851	-35.838705	0.000000	
-9.590650	-5.398285	1113.253144	-42.490402	115.085573	3.385074	-103.681747	-38.708504	0.000000	
-17.127764	-7.197782	1104.112619	-27.897738	117.350990	1.974918	-106.202349	-25.714137	0.000000	
-15.223498	-6.733735	1104.448499	-31.256350	116.704867	2.206617	-105.682013	-28.771125	0.000000	
-9.505282	-5.880213	1112.035917	-42.579123	115.208122	3.220334	-103.908884	-38.805451	0.000000	
-11.453160	-5.987208	1108.065658	-38.488862	115.437189	2.891205	-104.386467	-35.244810	0.000000	
-18.142560	-7.294496	1101.868637	-25.918126	117.722204	1.863599	-106.702249	-23.963329	0.000000	
-13.489649	-6.804081	1105.477181	-34.314315	116.179626	2.546958	-105.197280	-31.507732	0.000000	
-9.412003	-5.920776	1109.957940	-42.537126	114.847195	3.232967	-103.781483	-38.836691	0.000000	
-15.609628	-6.996137	1101.854497	-31.259416	116.614895	2.253426	-105.827640	-28.826365	0.000000	
-17.201114	-7.586725	1099.264968	-27.945506	117.082037	2.016166	-106.418808	-25.847551	0.000000	
-11.922273	-6.339771	1105.646580	-38.405824	115.316525	3.045775	-104.480194	-35.227150	0.000000	
-14.004475	-6.709888	1100.635783	-34.102739	116.091944	2.606997	-105.550642	-31.455322	0.000000	
-17.378316	-7.321329	1097.362781	-27.256635	117.086345	1.958862	-106.596777	-25.276766	0.000000	
-13.290848	-6.524833	1102.364890	-36.341338	115.627924	2.824139	-105.001707	-33.447401	0.000000	
-9.439590	-6.130318	1104.591689	-42.929534	114.486413	3.290756	-103.953820	-39.366023	0.000000	
-14.568226	-7.107564	1098.042115	-33.675263	116.033805	2.618112	-105.716346	-31.118074	0.000000	
-20.060598	-8.177326	1091.145375	-23.516466	117.555321	1.694315	-107.491559	-21.944400	0.000000	
-9.387248	-6.257482	1101.994704	-42.974955	114.427729	3.338064	-104.146357	-39.491622	0.000000	
-14.166866	-6.921186	1097.174576	-35.140420	115.696200	2.650622	-105.512136	-32.486959	0.000000	
-17.407497	-7.437237	1091.649394	-28.597513	116.661485	1.925380	-106.759863	-26.627150	0.000000	
-14.831261	-6.968584	1094.927112	-33.893102	115.944374	2.485014	-105.919706	-31.410366	0.000000	
-10.218378	-6.032926	1099.232045	-43.451548	114.365187	3.276957	-104.306806	-40.033863	0.000000	
-14.738583	-6.831454	1093.715749	-34.410542	115.670903	2.517425	-105.790863	-31.924392	0.000000	
-22.257027	-8.450774	1084.927478	-21.110260	117.807700	1.483167	-108.222129	-19.833517	0.000000	
-13.442757	-6.544718	1093.191213	-38.029587	115.082793	2.817841	-105.369780	-35.264570	0.000000	
-12.645001	-6.581877	1093.878607	-39.192288	114.897284	2.944032	-105.175392	-36.303930	0.000000	
-16.806066	-7.549219	1088.878982	-31.875387	116.074544	2.273450	-106.521445	-29.697379	0.000000	
-22.615444	-8.271321	1082.331320	-20.724111	117.750983	1.244445	-108.408847	-19.531670	0.000000	
-11.748280	-6.390044	1093.529588	-41.820401	114.433481	3.209730	-104.830586	-38.728431	0.000000	
-12.409936	-6.744892	1090.934149	-41.004899	114.377640	3.024165	-104.992898	-38.052859	0.000000	
-17.073120	-7.549562	1086.282567	-30.842818	115.960107	2.124675	-106.655027	-28.815848	0.000000	
-23.096483	-8.707687	1076.790043	-19.953831	117.486243	1.015784	-108.691752	-18.889912	0.000000	
-12.013571	-6.737198	1089.544947	-41.652015	114.165560	2.948626	-104.951525	-38.694670	0.000000	
-11.879721	-6.559249	1088.679885	-41.264427	114.410100	3.001324	-105.265812	-38.377926	0.000000	
-18.173793	-7.548928	1080.401840	-29.382501	115.878570	1.860476	-107.098644	-27.616662	0.000000	
