NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:26:38	226676.59644540
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
-2434.461	791.950	979.025	-2464.597	545.316	967.259	-2670.226	657.120	479.929	-2700.268	564.437	498.962	-2964.957	651.516	152.533	-2944.177	611.943	172.038	-2779.010	585.517	39.925	-2629.883	684.535	976.128
-2428.745	792.380	979.509	-2459.020	546.088	967.364	-2664.210	656.725	479.784	-2694.476	563.930	499.141	-2961.816	651.252	155.849	-2941.114	611.399	173.977	-2778.788	585.401	39.794	-2624.437	685.338	976.499
-2423.886	793.244	980.611	-2454.090	546.640	968.189	-2658.265	656.330	479.434	-2688.606	563.538	499.215	-2958.563	650.945	159.058	-2937.825	610.686	175.925	-2778.335	585.201	39.655	-2619.107	686.093	976.763
-2420.941	790.547	982.426	-2449.387	546.756	969.032	-2647.219	655.372	479.619	-2681.820	563.084	499.566	-2954.872	650.169	162.215	-2924.757	608.094	177.377	-2778.183	585.136	39.569	-2613.838	686.799	977.126
-2415.284	791.131	982.804	-2442.997	548.316	968.884	-2640.773	654.915	478.972	-2675.525	562.567	499.656	-2951.330	649.808	165.734	-2921.542	607.617	179.749	-2777.883	584.972	39.449	-2608.537	687.567	977.407
-2408.052	795.385	981.937	-2438.049	549.046	969.395	-2634.202	654.413	478.481	-2669.031	561.930	499.699	-2947.260	649.358	168.826	-2918.312	607.189	182.224	-2777.674	584.878	39.256	-2603.241	688.251	977.741
-2405.233	792.498	984.752	-2432.596	549.946	969.938	-2627.580	653.991	477.913	-2660.962	561.399	499.830	-2943.292	649.059	172.376	-2914.433	606.490	184.147	-2777.510	584.760	38.919	-2598.063	688.902	978.139
-2399.805	793.207	985.178	-2427.138	550.831	970.257	-2620.561	653.395	476.993	-2655.183	560.776	499.355	-2939.129	648.912	175.953	-2910.202	605.701	186.134	-2776.952	584.581	38.624	-2592.890	689.491	978.446
-2394.908	794.418	985.801	-2421.809	551.719	970.837	-2618.476	652.151	475.869	-2648.578	560.135	498.836	-2948.183	661.650	197.826	-2914.522	606.737	188.578	-2776.335	584.153	37.853	-2589.563	689.160	978.717
-2387.534	798.638	984.865	-2416.854	552.537	971.494	-2607.386	651.760	475.086	-2636.474	560.956	497.430	-2943.266	661.304	201.031	-2910.432	605.809	190.764	-2776.134	584.446	37.264	-2584.467	689.703	979.062
-2382.455	799.780	985.151	-2410.876	553.537	971.844	-2599.994	650.994	474.430	-2627.930	559.706	497.636	-2938.231	661.002	204.359	-2906.428	605.586	193.347	-2764.060	582.234	41.361	-2579.501	690.363	979.206
-2377.502	800.256	986.624	-2406.038	554.220	972.725	-2592.263	650.197	473.482	-2619.768	558.866	497.137	-2933.070	660.890	208.117	-2901.790	605.013	196.045	-2763.704	582.089	40.773	-2574.426	690.994	979.541
-2372.332	801.496	986.820	-2401.369	555.313	973.486	-2584.263	649.259	472.499	-2616.963	557.101	497.076	-2927.687	660.541	211.867	-2896.718	604.592	198.348	-2764.627	581.983	39.725	-2569.566	691.551	979.884
