NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:50:02	228080.26681630
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	ASISR	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	heel	toe	sacral
ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	heel X	heel Y	heel Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
-2921.547	822.284	1050.213	-2932.850	542.744	1049.858	-2957.363	659.181	546.600	0.000	0.000	0.000	-3055.815	650.186	135.681	0.000	0.000	0.000	0.000	0.000	0.000	-2834.224	607.633	73.717	-3139.429	692.505	1078.152
-2921.177	822.413	1050.306	-2928.089	544.670	1048.050	-2965.025	662.266	546.945	0.000	0.000	0.000	-3055.782	650.297	135.699	0.000	0.000	0.000	0.000	0.000	0.000	-2834.189	607.648	73.682	-3144.783	690.241	1079.064
-2920.844	822.582	1050.216	-2932.068	543.089	1049.866	-2957.202	659.502	546.541	0.000	0.000	0.000	-3055.742	650.239	135.734	0.000	0.000	0.000	0.000	0.000	0.000	-2834.146	607.673	73.677	-3144.410	690.395	1079.159
-2920.438	822.744	1050.256	-2931.571	543.289	1049.925	-2957.117	659.659	546.511	0.000	0.000	0.000	-3052.813	648.743	134.298	0.000	0.000	0.000	0.000	0.000	0.000	-2834.192	607.645	73.644	-3139.560	691.603	1078.476
-2920.135	822.996	1050.234	-2931.148	543.474	1049.986	-2957.082	659.828	546.483	0.000	0.000	0.000	-3052.736	648.736	134.445	0.000	0.000	0.000	0.000	0.000	0.000	-2834.160	607.662	73.683	-3139.200	691.729	1078.528
-2919.790	823.137	1050.266	-2930.702	543.706	1050.059	-2956.998	659.983	546.483	0.000	0.000	0.000	-3052.741	648.809	134.394	0.000	0.000	0.000	0.000	0.000	0.000	-2834.153	607.694	73.659	-3138.834	691.874	1078.638
-2919.371	823.313	1050.246	-2930.385	543.873	1050.056	-2956.820	660.140	546.501	0.000	0.000	0.000	-3052.799	648.826	134.432	0.000	0.000	0.000	0.000	0.000	0.000	-2834.199	607.717	73.613	-3138.490	692.032	1078.759
-2919.055	823.470	1050.288	-2930.069	544.088	1050.065	-2956.758	660.251	546.455	0.000	0.000	0.000	-3052.778	648.818	134.484	0.000	0.000	0.000	0.000	0.000	0.000	-2834.149	607.720	73.687	-3138.162	692.232	1078.863
-2919.658	822.874	1053.983	-2930.079	543.142	1053.756	-2960.195	661.344	547.404	0.000	0.000	0.000	-3055.651	650.420	135.886	0.000	0.000	0.000	0.000	0.000	0.000	-2836.789	608.496	73.716	-3137.845	692.348	1078.973
-2919.365	823.071	1053.957	-2929.473	543.217	1053.847	-2960.379	661.631	547.322	0.000	0.000	0.000	-3050.107	648.471	131.170	0.000	0.000	0.000	0.000	0.000	0.000	-2836.785	608.517	73.716	-3137.466	692.485	1079.034
