NO_OF_SAMPLES	4800
TOT_NO_OF_CHAN	4
FREQUENCY	960.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2020-02-08, 11:50:02	228080.26681630
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc
CHANNEL_GAIN	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
Vastus Lateralis	Vastus Medialis	Tibialis Anterior	Lateral Gastroc	
-0.010223	0.006561	0.007172	-0.009918	
-0.009308	0.008087	0.009918	-0.011139	
-0.011444	0.003815	0.006561	-0.012970	
-0.006866	0.008087	0.011139	-0.007782	
-0.005035	0.006866	0.010529	-0.010529	
0.001068	0.010834	0.008698	-0.009003	
0.006866	0.007172	0.009308	-0.009003	
0.011749	0.004120	0.005951	-0.009918	
0.012360	0.004425	0.007782	-0.009918	
0.004425	0.001984	0.006866	-0.008087	
-0.002899	0.004120	0.010223	0.000153	
-0.008087	0.002594	0.005035	-0.009003	
-0.000153	0.004730	0.012054	-0.004425	
-0.003204	0.004730	0.009918	-0.005035	
-0.005341	0.004120	0.010223	-0.001678	
-0.009003	-0.000763	0.005035	-0.005951	
-0.006866	-0.002289	0.008392	-0.001678	
-0.014191	-0.004120	0.004120	-0.009003	
-0.009003	0.005951	0.010529	-0.001984	
-0.010223	0.001068	0.006866	-0.004425	
-0.010834	0.000763	0.009003	-0.004425	
-0.013275	-0.005341	0.005341	-0.007477	
-0.005646	0.000763	0.009918	-0.000763	
-0.011139	-0.003815	0.005035	-0.005646	
-0.003510	0.003815	0.009918	-0.001984	
-0.012054	-0.003204	0.005951	-0.009918	
-0.009918	0.004425	0.007782	-0.005646	
-0.005035	0.004425	0.005341	-0.006866	
-0.006866	0.005951	0.005341	-0.009308	
-0.004425	0.012360	0.009918	-0.003510	
-0.012054	0.009003	0.002899	-0.012970	
-0.009613	0.009308	0.009003	-0.009003	
-0.005646	0.010529	0.006866	-0.007477	
-0.000763	0.008698	0.010834	-0.003510	
-0.001984	0.002289	0.011749	-0.006866	
0.000458	0.010834	0.019989	-0.002899	
-0.005035	0.009918	0.017853	-0.011139	
-0.003204	0.004730	0.014191	-0.009613	
-0.005646	0.000153	0.010223	-0.007477	
-0.000763	0.002899	0.010223	-0.005035	
-0.006256	0.002289	0.006866	-0.006256	
-0.005646	0.003204	0.004120	-0.006866	
-0.011139	-0.001068	0.002899	-0.009308	
-0.008087	0.001678	0.009003	-0.007782	
-0.006256	0.002289	0.011139	-0.009308	
-0.008087	0.002594	0.005951	-0.009003	
-0.008087	0.006256	0.008698	-0.005341	
-0.010834	0.001678	-0.000153	-0.009918	
-0.003204	0.012665	0.009003	-0.001678	
-0.011139	0.000153	0.003204	-0.012970	
-0.007477	0.006256	0.011139	-0.002289	
-0.009003	-0.005341	0.004120	-0.006256	
-0.004425	0.003204	0.009003	-0.003204	
-0.009003	-0.003815	0.004730	-0.009918	
-0.001373	0.003204	0.009918	0.002899	
-0.005646	-0.000763	0.005951	-0.003204	
-0.003510	-0.001068	0.005341	-0.005646	
-0.005646	-0.002289	0.002594	-0.011444	
-0.001984	0.000458	0.006256	-0.004425	
-0.003815	-0.001678	0.004120	-0.012054	
0.002289	0.004425	0.005951	-0.007172	
-0.003204	0.002899	0.003204	-0.007172	
-0.001984	0.001984	0.005951	-0.007782	
-0.006256	0.005035	0.010223	-0.011139	
-0.005646	0.002899	0.008698	-0.005951	
-0.010834	0.006866	0.009003	-0.006256	
-0.016022	0.002899	0.006256	-0.013885	
-0.011139	0.005035	0.008698	-0.005646	
-0.009308	0.006561	0.006866	-0.008087	
0.001984	0.013885	0.013275	0.000153	
-0.004120	-0.001678	0.002594	-0.011444	
0.006866	0.002899	0.008698	-0.006256	
0.004425	0.000458	0.006866	-0.005951	
0.003815	0.002289	0.008698	-0.003815	
0.002289	0.000153	0.007782	-0.003510	
-0.002289	-0.006256	0.007782	-0.003204	
-0.004425	-0.014191	0.006866	-0.005646	
-0.005341	-0.012970	0.008698	-0.003204	
-0.007477	-0.007782	0.011139	-0.004425	
-0.011139	-0.007172	0.005035	-0.014191	
-0.001984	0.004730	0.010529	-0.007172	
-0.005035	0.003815	0.009003	-0.009613	
-0.002289	0.004730	0.012054	-0.005646	
-0.011444	-0.000763	0.004730	-0.013580	
-0.001373	0.012360	0.012970	-0.003204	
-0.005951	0.002899	0.007172	-0.006866	
-0.003204	0.009308	0.014191	-0.001068	
-0.008087	0.005951	0.011139	-0.001373	
-0.009918	0.007172	0.009308	-0.000763	
-0.013275	0.006561	0.011139	-0.005646	
-0.008087	0.009308	0.014801	0.000153	
-0.005951	0.002899	0.008392	-0.007477	
-0.002289	0.001068	0.005951	-0.007477	
-0.007477	0.009308	0.006561	-0.007782	
-0.009308	0.010223	0.008392	-0.003204	
-0.007172	0.003815	0.007782	-0.003510	
-0.005035	0.003204	0.009308	-0.007172	
0.002594	0.004120	0.008698	-0.007782	
-0.000763	-0.000153	0.002289	-0.011749	
-0.002289	0.001984	0.010529	-0.006256	
-0.013275	-0.001373	0.005035	-0.011444	
-0.006866	0.008392	0.012360	-0.004425	
-0.009308	0.004425	0.009003	-0.007172	
