NO_OF_SAMPLES	4800
FREQUENCY	960
TIME_STAMP	2020-02-08, 11:50:02	228080.26681630
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded Force Plate
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
3.429666	1.451169	5.444143	-2.209321	0.551110	0.902717	-137.364291	-421.584908	0.000000	
3.511350	1.580035	7.174745	-2.035019	0.550871	0.871426	-105.026412	-296.805574	0.000000	
3.339434	1.715233	6.311733	-2.466600	0.518739	0.904819	-112.659983	-406.856561	0.000000	
3.427818	1.715741	5.791693	-2.251309	0.490119	0.903830	-118.619851	-406.148017	0.000000	
3.645455	1.758729	7.521672	-2.422419	0.730406	0.944080	-125.087936	-335.990782	0.000000	
3.469620	1.494501	6.482125	-2.294896	0.761893	0.869591	-148.357543	-367.783628	0.000000	
3.511498	1.845304	7.522769	-2.249507	0.519210	0.908232	-95.996350	-313.602476	0.000000	
3.601687	1.625892	7.174918	-2.250661	0.731417	0.925283	-130.893719	-327.212005	0.000000	
3.472097	1.448157	7.175430	-2.337175	0.518868	0.942525	-100.249343	-337.855883	0.000000	
3.646031	1.800628	7.695588	-2.120053	0.549973	0.980491	-98.836689	-289.430637	0.000000	
3.514728	1.272561	6.827175	-2.251985	0.701382	0.888003	-132.406716	-341.127280	0.000000	
3.294143	1.492014	7.003230	-2.337373	0.518729	0.888311	-101.249419	-346.522968	0.000000	
3.338134	1.582254	6.310584	-2.337688	0.549725	0.868949	-117.578961	-385.320233	0.000000	
3.288479	1.800589	7.350003	-2.249958	0.488857	0.817990	-92.402148	-320.674744	0.000000	
