NO_OF_SAMPLES	5000
FREQUENCY	1000
TIME_STAMP	2020-01-25, 14:18:55	93672.00918460
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-5.356536	-0.355372	993.657133	5.262280	-54.645045	1.865101	54.508930	4.503138	0.000000	
-0.252738	0.450891	1000.383434	-5.888930	-56.474638	2.840246	55.679768	-6.724762	0.000000	
0.591363	0.902428	1001.939611	-8.083917	-56.786740	3.057676	55.856293	-8.931604	0.000000	
0.863086	0.685280	1002.630502	-9.204289	-57.034029	3.183206	56.048695	-10.031290	0.000000	
-1.537647	0.214706	999.524976	-3.305020	-56.162780	2.660699	55.488387	-4.131444	0.000000	
-1.450801	0.483072	998.140095	-3.090120	-55.918350	2.622519	55.316701	-3.935833	0.000000	
3.089446	1.108546	1005.738008	-14.543745	-57.661518	3.760086	56.372788	-15.335413	0.000000	
4.104930	1.514939	1007.464681	-16.350481	-58.001476	3.906674	56.555706	-17.126506	0.000000	
3.928467	1.465976	1008.505156	-16.048038	-58.062105	3.945012	56.566481	-16.807058	0.000000	
3.883216	1.469384	1006.426832	-15.619207	-57.695292	3.851295	56.322971	-16.414185	0.000000	
4.149474	1.648244	1006.772747	-16.049105	-57.818051	3.923672	56.410443	-16.845798	0.000000	
4.102861	1.824133	1007.812421	-16.435606	-57.971920	3.907909	56.506709	-17.222555	0.000000	
1.660293	1.135187	1004.186529	-10.925457	-57.102012	3.365505	55.983781	-11.756136	0.000000	
-5.587291	-0.273298	994.522834	6.082529	-54.793287	1.706544	54.622873	5.318646	0.000000	
-7.587198	-0.738132	990.376102	11.507262	-54.103905	1.234931	54.272099	10.848101	0.000000	
-7.762082	-0.783019	990.031121	11.592964	-54.133983	1.233972	54.331577	10.941273	0.000000	
-6.916095	-0.684875	991.758666	9.224754	-54.507455	1.451042	54.564279	8.527357	0.000000	
-8.739560	-0.883298	988.651196	14.004732	-53.942532	1.035392	54.270336	13.402823	0.000000	
-8.695888	-0.927958	989.689521	13.660572	-53.944851	1.055394	54.212440	13.042695	0.000000	
-6.478181	-0.640537	992.621109	9.269222	-54.567288	1.471365	54.551711	8.561534	0.000000	
-6.377249	-0.901104	992.967957	7.889505	-54.755749	1.667354	54.716473	7.183495	0.000000	
-5.149096	-0.182230	995.385190	5.566677	-54.885795	1.708429	54.643105	4.789957	0.000000	
-1.992696	0.736619	999.874810	-1.794999	-55.975321	2.466633	55.306751	-2.649360	0.000000	
2.636826	1.230232	1006.086442	-12.560533	-57.502305	3.601689	56.219985	-13.365955	0.000000	
3.520307	1.547110	1008.679321	-14.711773	-57.905357	3.749697	56.423883	-15.484042	0.000000	
2.229294	1.532032	1006.262222	-11.223353	-57.436470	3.442439	56.167324	-12.051733	0.000000	
2.631272	1.845284	1007.474684	-12.342142	-57.472345	3.624069	56.112003	-13.166141	0.000000	
2.946640	1.539321	1007.645210	-13.032094	-57.656591	3.730843	56.267662	-13.831730	0.000000	
3.876519	1.947926	1008.853428	-15.098357	-57.785875	3.894024	56.275765	-15.886995	0.000000	
3.435252	1.902087	1007.470739	-14.582525	-57.874065	3.801200	56.466191	-15.393122	0.000000	
2.638650	1.579130	1008.514083	-12.902078	-57.748480	3.768608	56.326755	-13.693811	0.000000	
3.746674	1.683584	1009.372506	-15.745393	-57.880267	3.894024	56.347152	-16.505575	0.000000	
3.651788	1.899014	1010.066115	-14.839001	-57.816340	3.843155	56.249899	-15.609408	0.000000	
3.345972	1.633753	1008.508816	-14.367296	-57.662431	3.803645	56.202378	-15.149773	0.000000	
-2.157232	0.557591	1001.090645	-2.312019	-55.980131	2.719421	55.252650	-3.153552	0.000000	
-9.714703	-0.896508	990.389606	15.254984	-53.547651	0.986736	53.830226	14.641003	0.000000	
-7.404502	-0.516303	994.014261	9.528100	-54.327898	1.474719	54.285607	8.801820	0.000000	
-8.775571	-0.838367	991.424436	12.325568	-53.923034	1.255350	54.098698	11.666828	0.000000	
-5.445510	-0.408201	997.121538	5.179227	-55.011881	1.980202	54.689710	4.404348	0.000000	
-2.559817	0.509167	1001.265069	-1.709109	-55.796688	2.594873	55.082237	-2.548283	0.000000	
-0.199841	0.976034	1005.065172	-7.176985	-56.485736	3.245023	55.424824	-8.008104	0.000000	
2.553955	1.715512	1007.996485	-13.506192	-57.509183	3.803007	56.123398	-14.307338	0.000000	
1.755001	1.264052	1007.479310	-11.741522	-57.078948	3.641522	55.770067	-12.537553	0.000000	
-1.264160	0.479825	1001.951854	-4.336980	-56.109397	2.970636	55.283485	-5.168202	0.000000	
-6.019702	-0.411887	995.913455	6.125797	-54.675275	1.906563	54.451368	5.361338	0.000000	
-9.354507	-1.022140	990.041398	14.305745	-53.278791	1.110724	53.557458	13.694771	0.000000	
-8.860982	-0.926482	991.425191	12.152684	-53.863698	1.290880	54.043641	11.497426	0.000000	
-4.327475	-0.034730	996.598787	2.033594	-55.023681	2.281719	54.667704	1.229689	0.000000	
-1.087650	0.574007	1001.950449	-5.328391	-55.992261	2.952125	55.156772	-6.162963	0.000000	
2.425153	1.497006	1007.130814	-13.680538	-57.237380	3.800650	55.909612	-14.479875	0.000000	
3.315517	1.728113	1007.993127	-15.704010	-57.669000	4.016175	56.239746	-16.488474	0.000000	
3.357461	1.862681	1008.339080	-16.177679	-57.610636	3.980992	56.159965	-16.960335	0.000000	
3.315581	1.953147	1007.474507	-16.221521	-57.459101	3.997076	56.060757	-17.022747	0.000000	
2.646625	1.589546	1006.956495	-14.240793	-57.178704	3.817953	55.848816	-15.043783	0.000000	
2.021227	1.492756	1006.266289	-12.474984	-56.899028	3.638635	55.644600	-13.293334	0.000000	
