NO_OF_SAMPLES	5000
FREQUENCY	1000
TIME_STAMP	2020-01-25, 14:01:13	92609.29099600
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-11.068147	-1.610287	-10.456229	21.453150	3.309335	-1.716617	256.314517	-2061.163764	0.000000	
-6.036203	-0.476119	-4.160786	11.594920	2.090737	-0.775913	420.299904	-2793.947218	0.000000	
2.381270	1.180762	7.055045	-6.271675	-0.568449	1.065883	60.847803	-899.166605	0.000000	
5.707421	1.720913	11.972980	-12.814912	-1.547824	1.718106	101.742523	-1079.196744	0.000000	
5.667448	1.743814	11.368421	-12.815390	-1.532601	1.779391	106.053151	-1136.699038	0.000000	
4.508473	1.731740	10.248408	-10.575751	-1.342148	1.464816	105.490920	-1042.234749	0.000000	
1.957688	1.195419	7.317394	-5.172385	-0.579768	0.995651	63.432893	-716.840721	0.000000	
-0.061708	0.667894	4.382536	-1.148087	0.132474	0.552286	-30.224966	-271.332316	0.000000	
2.442267	1.290938	7.400176	-6.249334	-0.658861	0.986222	69.728374	-855.085302	0.000000	
-7.519791	-0.533994	-5.969613	14.049052	2.296566	-1.011608	313.243083	-2359.259343	0.000000	
0.339977	0.718825	4.294072	-2.225530	0.113358	0.640918	-31.628516	-528.484972	0.000000	
-5.606346	-0.404240	-3.208479	10.023073	1.780649	-0.533289	456.153401	-3131.815349	0.000000	
-12.932215	-2.091948	-13.911125	25.563372	4.128565	-2.133938	243.833806	-1846.871106	0.000000	
-4.680195	-0.241456	-1.223359	8.129579	1.409801	-0.440378	936.960146	-6657.180576	0.000000	
-3.260689	0.082856	-0.104644	5.610870	1.188756	-0.170249	9610.914761	-53575.215791	0.000000	
4.844303	1.559474	10.851996	-11.588631	-1.376859	1.563716	101.041994	-1076.755944	0.000000	
1.377386	0.923731	6.539215	-3.687495	-0.210350	0.806727	19.561717	-572.643585	0.000000	
-0.929183	0.614924	3.088263	0.746388	0.458008	0.344732	-132.211644	229.700555	0.000000	
1.110988	1.077911	6.021844	-3.644415	-0.346317	0.733777	46.371088	-616.055378	0.000000	
-8.273245	-1.073645	-5.967863	15.469198	2.573628	-1.145595	352.677154	-2602.990416	0.000000	
1.957967	1.197670	6.797726	-5.302490	-0.368119	0.976603	37.204761	-790.737157	0.000000	
2.801317	1.358850	8.785211	-7.045236	-0.723859	1.186068	63.716538	-811.434088	0.000000	
3.064033	1.273608	8.781942	-7.411662	-0.754797	1.140936	65.584970	-852.916146	0.000000	
1.180220	0.990803	6.541025	-4.140036	-0.318764	0.797167	37.821744	-642.245659	0.000000	
-8.560027	-0.965081	-7.263758	16.222612	2.622737	-1.183744	294.162659	-2241.631083	0.000000	
4.263287	1.551836	10.681531	-10.167052	-1.038639	1.412392	74.055078	-960.799079	0.000000	
2.203243	1.177242	7.575744	-5.905033	-0.522323	1.058446	51.841422	-788.997519	0.000000	
4.303413	1.659995	10.854384	-9.627658	-1.020989	1.377720	71.029753	-896.377006	0.000000	
1.981050	1.241869	6.884711	-5.388351	-0.459370	1.003581	49.790730	-793.588342	0.000000	
-1.860739	0.383801	2.140396	2.662209	0.783040	0.173538	-317.848604	1232.918895	0.000000	
-4.858091	-0.111478	-1.307925	8.646817	1.578065	-0.448772	997.346001	-6616.689094	0.000000	
-10.779488	-1.452796	-10.283651	21.087356	3.429011	-1.635386	273.841602	-2059.310375	0.000000	
-0.017507	0.735006	4.209395	-1.234102	0.056728	0.551839	-14.030564	-303.788029	0.000000	
0.756049	0.985493	4.811554	-2.374631	-0.022763	0.660463	-4.872993	-505.831672	0.000000	
1.026427	1.009570	6.283155	-3.429107	-0.210068	0.824168	23.480126	-555.590222	0.000000	
