NO_OF_SAMPLES	5000
FREQUENCY	1000
TIME_STAMP	2020-01-25, 14:15:12	93448.79407990
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-1.672005	0.473292	996.932778	99.951140	-52.854262	2.152005	52.323579	99.419218	0.000000	
-5.572147	-0.452303	992.277492	108.001552	-51.612775	1.483289	51.542136	108.054862	0.000000	
-2.734617	0.109211	995.379309	102.145925	-52.391703	1.970548	52.001660	101.801145	0.000000	
-6.104459	-0.369566	991.242445	109.250607	-51.516753	1.392347	51.530039	109.423947	0.000000	
-2.023873	0.250006	995.895391	100.724854	-52.518070	2.114258	52.061149	100.313109	0.000000	
-4.638021	-0.131389	992.620475	106.106862	-51.771057	1.698168	51.630711	106.090328	0.000000	
-5.314351	-0.494353	992.100197	108.130571	-51.429299	1.357913	51.351971	108.206741	0.000000	
-4.593927	-0.087930	993.486385	105.892160	-51.772744	1.735936	51.584231	105.778589	0.000000	
4.851150	1.599045	1005.904254	86.992869	-54.449389	3.490720	53.071800	85.580263	0.000000	
7.636578	2.158262	1009.177600	81.697748	-55.195237	3.835625	53.481303	80.021982	0.000000	
7.069378	1.889211	1007.623332	82.471446	-55.313183	3.849680	53.713651	80.929497	0.000000	
6.978916	1.887204	1007.796878	82.945171	-54.948413	3.832975	53.347353	81.385592	0.000000	
7.640685	2.115032	1008.832108	81.654003	-55.044208	3.906519	53.349953	80.008707	0.000000	
7.955499	2.076414	1008.484343	80.705839	-55.319882	3.994190	53.624461	79.098540	0.000000	
7.333393	2.111969	1008.142266	82.256846	-55.102327	3.905192	53.461750	80.662155	0.000000	
5.742668	1.743745	1006.419826	84.795936	-54.669759	3.705347	53.213470	83.345018	0.000000	
-1.535037	0.520210	997.452826	99.390619	-52.403619	2.278739	51.836389	98.802368	0.000000	
-1.621059	0.565133	997.627331	99.045791	-52.345203	2.314708	51.773468	98.436768	0.000000	
-5.211559	-0.181627	993.663811	106.580348	-51.196766	1.719169	51.030105	106.457424	0.000000	
-2.237507	0.516010	996.939297	99.777396	-52.312721	2.277494	51.811856	99.241882	0.000000	
-4.410231	0.137311	994.700358	104.600002	-51.447106	1.935414	51.182580	104.336752	0.000000	
1.091124	1.166273	1001.252573	93.707885	-52.972205	3.000920	52.057391	92.712500	0.000000	
-0.505251	0.664016	999.874233	96.548608	-52.507862	2.694536	51.755419	95.710690	0.000000	
2.859164	1.494811	1003.665685	90.005220	-53.440358	3.201278	52.297941	88.780129	0.000000	
2.110321	1.310002	1002.285661	91.726962	-53.131033	3.163405	52.104334	90.631648	0.000000	
0.341896	0.895210	1001.256669	94.309555	-52.699155	2.947140	51.826453	93.328222	0.000000	
-1.883108	0.429306	997.629561	99.605024	-51.950446	2.369049	51.392394	99.004748	0.000000	
-3.649679	0.545385	995.565524	102.533168	-51.486390	2.223156	51.134013	102.146337	0.000000	
3.089973	1.719673	1003.841243	89.100894	-53.475150	3.434147	52.310415	87.851026	0.000000	
5.791656	1.879529	1006.767875	84.192082	-54.068188	3.831862	52.594544	82.708562	0.000000	
5.219278	2.097230	1005.907887	84.751791	-53.975816	3.812478	52.580280	83.324246	0.000000	
5.835453	2.233709	1007.289102	83.805763	-54.221632	3.868942	52.716815	82.262091	0.000000	
6.643976	2.067944	1007.978186	81.694000	-54.200369	4.173375	52.614138	80.119478	0.000000	
7.080766	2.113254	1008.666995	81.652043	-54.230051	4.157403	52.582799	80.020093	0.000000	
7.795818	2.343324	1009.530979	79.714388	-54.510622	4.391024	52.775305	78.018765	0.000000	
2.297944	1.624511	1003.327968	90.176486	-52.957860	3.433848	51.866296	88.973730	0.000000	
-6.225864	-0.101049	992.979743	108.043188	-50.103562	1.701661	50.022183	107.999951	0.000000	
-9.454074	-0.663333	988.323935	114.285170	-49.292749	1.264589	49.624415	114.860194	0.000000	
-5.333639	0.440764	994.017623	105.675586	-50.385950	1.989546	50.202856	105.473903	0.000000	
-6.313431	0.076587	992.461989	108.000071	-50.103602	1.700591	50.053681	108.003230	0.000000	
-3.336821	0.461679	996.948964	101.369304	-50.978129	2.351333	50.534538	100.840749	0.000000	
2.696483	1.586723	1002.978386	89.443285	-52.808559	3.450590	51.713495	88.276115	0.000000	
5.130128	2.093629	1006.947956	85.226020	-53.400308	3.869717	51.958587	83.708499	0.000000	
