NO_OF_SAMPLES	5000
FREQUENCY	1000
TIME_STAMP	2020-01-25, 13:52:44	92100.56753290
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
3.816237	1.189459	9.123436	-7.734258	-0.739753	1.258297	56.825724	-855.863202	0.000000	
1.952362	1.194030	6.190783	-4.031431	-0.165017	0.895991	8.173164	-662.833522	0.000000	
-1.071998	0.103055	1.351942	2.553859	0.710286	0.064133	-481.678952	1883.940727	0.000000	
-1.783299	0.379608	0.925504	4.557934	1.035447	-0.006287	-1011.468515	4900.988603	0.000000	
-1.428209	0.254669	1.268068	2.984866	0.802307	-0.007223	-570.293784	2341.788494	0.000000	
2.262608	1.130046	6.448212	-4.418911	-0.302378	0.941009	26.418066	-695.938133	0.000000	
3.437100	1.320276	8.259606	-7.217720	-0.661680	1.131366	55.974227	-883.639247	0.000000	
3.661131	1.300370	8.085573	-7.497740	-0.783453	1.202330	70.701977	-937.135041	0.000000	
-1.895566	0.090855	0.491121	5.030860	1.068209	-0.087941	-1959.269416	10232.432216	0.000000	
-3.313372	-0.274692	-1.233804	7.289905	1.515449	-0.359585	1076.807134	-5921.782285	0.000000	
-0.314916	0.706389	2.823875	0.855038	0.324356	0.335684	-109.392268	287.940464	0.000000	
2.200002	0.932644	5.582326	-4.463297	-0.332327	0.947491	36.632059	-809.727541	0.000000	
3.840507	1.458090	8.605284	-8.294241	-0.832651	1.283699	70.931920	-974.174352	0.000000	
4.634907	1.552985	10.504989	-9.865053	-1.020860	1.385686	71.635531	-948.190119	0.000000	
-7.587009	-1.273583	-8.143047	18.075240	3.028980	-1.478910	318.906589	-2229.302828	0.000000	
0.971387	0.631838	4.719953	-1.901400	0.116640	0.553003	-37.046815	-411.166794	0.000000	
0.929316	0.898103	4.116326	-1.901291	0.192410	0.596805	-60.197742	-474.944974	0.000000	
-1.517650	0.294288	1.442467	3.804224	0.805491	0.011920	-500.166459	2625.044502	0.000000	
4.842828	1.557274	10.159450	-10.640991	-1.130056	1.554317	83.698674	-1056.811647	0.000000	
3.506233	1.343044	8.086933	-7.282341	-0.692153	1.193642	60.474760	-910.638156	0.000000	
-12.208096	-2.226365	-15.395332	28.041248	4.326245	-2.573378	235.730114	-1830.339120	0.000000	
2.818381	1.315166	7.830957	-6.528835	-0.629454	1.058961	59.399139	-843.957215	0.000000	
-1.141474	0.387325	1.786702	3.050504	0.878295	0.066217	-456.514287	1694.362305	0.000000	
-2.031165	0.203441	-0.893911	5.180780	1.085260	-0.216395	1085.779073	-5783.675647	0.000000	
5.573268	1.719488	10.934660	-12.018584	-1.346973	1.662805	93.798552	-1108.763370	0.000000	
4.215743	1.260591	9.640780	-8.724641	-0.895013	1.330423	67.513457	-913.121870	0.000000	
-11.778839	-2.133678	-14.356222	26.749725	4.092916	-2.321198	238.274218	-1872.436293	0.000000	
1.947460	1.083647	5.842294	-3.816379	-0.223739	0.769744	18.805899	-664.453041	0.000000	
-2.667920	-0.070008	-0.716370	6.149602	1.102674	-0.188982	1329.504572	-8590.692382	0.000000	
-2.049543	-0.107901	0.404318	4.922160	1.143150	-0.124411	-2543.720270	12188.152806	0.000000	
5.972443	1.788691	11.365722	-12.491853	-1.378942	1.753285	91.053378	-1108.724268	0.000000	
3.507924	1.055552	8.345317	-7.412190	-0.753444	1.202589	65.910959	-896.095201	0.000000	
-10.333286	-1.828868	-12.371502	23.025082	3.487540	-1.996892	234.249033	-1870.246068	0.000000	
2.345683	0.999554	6.531496	-4.742397	-0.378685	0.806281	37.040460	-735.480646	0.000000	
-2.028263	0.047004	-0.287752	5.180942	1.023992	-0.143594	3162.315141	-17996.527410	0.000000	
-0.890850	-0.005937	1.351297	2.338144	0.724546	0.162427	-499.983182	1729.729349	0.000000	
5.268249	1.761242	10.159085	-11.545044	-1.390667	1.706017	107.005058	-1146.965632	0.000000	
3.393221	0.968735	7.737852	-7.434768	-0.662014	1.057694	60.163031	-968.668321	0.000000	
-9.022989	-1.594991	-10.472817	20.463504	3.325719	-1.689273	268.428738	-1963.321626	0.000000	
1.398750	0.812629	4.806796	-2.633049	-0.098123	0.758841	3.298688	-558.074777	0.000000	
-1.715715	0.073971	-0.289243	4.340759	0.914950	-0.072631	2829.651864	-14993.795577	0.000000	
-1.021979	0.059094	1.266446	2.424560	0.603555	0.180099	-432.083869	1911.029442	0.000000	
5.323238	1.715896	10.847940	-11.372038	-1.449900	1.501718	105.336042	-1058.001009	0.000000	
3.773256	1.325911	8.604417	-8.445520	-0.878644	1.229508	76.723061	-990.992072	0.000000	
-8.471598	-1.545342	-10.130471	19.688398	3.278013	-1.652985	275.871347	-1952.854801	0.000000	
0.286359	0.624710	3.166553	-0.265179	0.244592	0.469963	-83.103702	-95.625928	0.000000	
-1.781292	0.182295	0.837939	4.212458	0.988627	-0.007183	-1061.344048	5014.147936	0.000000	
-0.401138	0.440528	1.957722	1.392122	0.523840	0.333915	-256.866932	697.654094	0.000000	
4.702942	1.709516	10.159472	-10.101828	-1.097234	1.420659	81.240383	-1004.580176	0.000000	
4.859400	1.733915	9.725924	-10.360327	-1.294326	1.446178	104.258883	-1076.043803	0.000000	
-6.891857	-1.198039	-6.759933	15.728180	2.609891	-1.218042	328.091392	-2337.433729	0.000000	
-0.824316	0.280661	2.738179	1.844339	0.675673	0.246271	-230.656236	667.000276	0.000000	
-0.553463	0.397137	2.218526	0.874754	0.475485	0.342752	-201.114339	383.438540	0.000000	
-0.383116	0.595375	2.909756	1.026764	0.582170	0.291337	-193.474863	340.576185	0.000000	
3.506044	1.122911	8.171880	-7.498453	-0.708137	1.157454	61.795191	-926.114864	0.000000	
5.152164	1.604470	10.590380	-11.222176	-1.223024	1.590783	87.400446	-1068.970903	0.000000	
-2.466223	0.176499	-0.888746	5.697467	1.221950	-0.099628	1218.428287	-6400.347981	0.000000	
-6.183605	-1.146445	-5.898777	14.307252	2.362487	-1.127521	340.899392	-2437.178515	0.000000	
0.551618	0.626288	4.376978	-0.889192	0.301811	0.535173	-76.812722	-211.993268	0.000000	
0.242244	0.668899	3.773128	-0.609501	0.227277	0.480036	-64.625337	-172.297004	0.000000	
1.794485	0.861523	6.015489	-3.903029	-0.360754	0.760523	42.445710	-657.678376	0.000000	
4.971928	1.557063	9.984641	-10.274658	-1.052104	1.509655	76.645156	-1038.608989	0.000000	
2.904323	1.269551	7.483545	-5.796622	-0.368476	1.041224	26.675327	-784.913763	0.000000	
-8.026516	-1.277149	-8.572265	18.505751	2.939299	-1.488875	289.560843	-2167.965707	0.000000	
-0.802993	0.283001	1.871664	1.800540	0.676464	0.190444	-338.139387	952.702713	0.000000	
2.237618	1.151986	6.620849	-4.397307	-0.226643	0.887766	14.481528	-674.735954	0.000000	
1.306382	0.811000	4.892981	-2.331306	-0.081636	0.678681	0.916512	-486.571982	0.000000	
3.418620	1.254563	8.260207	-7.476458	-0.753855	1.184643	67.254644	-914.452140	0.000000	
4.391675	1.505916	10.419967	-9.369939	-0.852825	1.368000	57.409976	-908.150991	0.000000	
-1.294555	0.385882	0.922549	3.653045	1.017322	0.073759	-1024.783707	3935.449686	0.000000	
-7.541218	-1.205692	-8.489049	17.838311	2.877007	-1.462084	288.276801	-2110.113881	0.000000	
1.655283	0.725405	6.273866	-3.170746	-0.145802	0.636394	7.648587	-512.689670	0.000000	
2.707283	1.003606	6.098289	-5.259539	-0.501384	0.984040	56.520876	-872.508231	0.000000	
2.837052	1.159500	6.703578	-5.624963	-0.503072	0.967525	50.511865	-849.616487	0.000000	
2.949568	1.184077	6.963016	-6.206621	-0.505752	1.012463	48.078805	-901.723894	0.000000	
3.241420	1.185513	7.481984	-6.593826	-0.568183	1.156770	50.844868	-890.996983	0.000000	
-3.410160	-0.234316	-1.754321	8.389035	1.445568	-0.521043	714.149509	-4790.233830	0.000000	
-6.758415	-1.106170	-6.587384	14.931306	2.425039	-1.209434	309.781127	-2276.886638	0.000000	
2.418927	1.000496	7.312165	-5.409874	-0.428148	0.968731	39.204291	-748.335618	0.000000	
3.459562	1.277536	7.653042	-7.196829	-0.615583	1.112032	54.285068	-950.567084	0.000000	
2.771454	1.048795	7.222901	-5.926653	-0.550382	0.968196	53.883167	-829.496326	0.000000	
2.374278	1.000849	7.398808	-5.539268	-0.383473	0.950910	33.036379	-757.072997	0.000000	
3.260050	1.076470	7.220188	-6.659159	-0.522408	1.057452	46.232261	-931.475420	0.000000	
-5.485770	-0.891260	-6.505385	12.368296	2.188716	-0.852499	288.344862	-1909.739341	0.000000	
-5.314343	-0.671216	-5.034531	12.111657	2.141559	-0.866771	365.359636	-2414.010359	0.000000	
2.241883	1.087462	6.274936	-4.806961	-0.470351	0.930966	54.123373	-776.593992	0.000000	
3.926667	1.192252	9.122348	-8.208437	-0.726394	1.248963	54.688963	-907.962194	0.000000	
2.793533	1.114527	6.963628	-5.603484	-0.427761	0.986062	38.131913	-814.471767	0.000000	
2.221351	1.001983	5.322131	-4.980583	-0.394676	0.901596	49.951415	-947.201115	0.000000	
2.218735	0.978704	5.581198	-4.764994	-0.318153	0.866643	33.911822	-864.410085	0.000000	
-4.310197	-0.703887	-3.740921	9.592163	1.616749	-0.597386	366.745131	-2575.487729	0.000000	
-5.716679	-0.787326	-5.033467	12.994801	2.129787	-0.991792	358.613445	-2591.269286	0.000000	
2.841263	1.027163	7.223358	-6.012911	-0.520667	1.048775	49.223611	-841.217383	0.000000	
4.041074	1.172442	9.208867	-8.768576	-0.865062	1.320171	68.528690	-960.144774	0.000000	
2.329910	1.001323	6.013682	-5.023034	-0.395114	0.903274	43.176611	-845.422940	0.000000	
1.573306	0.749165	5.410339	-3.279377	-0.055468	0.723880	-6.851404	-614.713594	0.000000	
2.501916	1.088055	7.657130	-5.215235	-0.442146	0.898234	38.622581	-689.880947	0.000000	
-3.782277	-0.457589	-2.444798	8.882939	1.674201	-0.522546	597.210157	-3644.718751	0.000000	
-4.423146	-0.596497	-3.220250	10.023636	1.799454	-0.604399	480.938310	-3123.894709	0.000000	
2.595857	0.716080	6.702879	-5.540352	-0.427562	0.930996	41.270973	-833.370022	0.000000	
3.708338	1.392060	8.605647	-8.488579	-0.833771	1.256441	71.920778	-996.285447	0.000000	
2.398053	1.045723	6.533557	-5.302609	-0.427107	0.967040	43.990042	-821.389335	0.000000	
1.041128	0.699899	4.287816	-2.095424	0.070671	0.614586	-30.892979	-498.664055	0.000000	
1.555059	0.924228	5.932400	-3.342884	-0.207977	0.841586	19.562624	-573.050273	0.000000	
-1.112196	0.168375	1.267346	2.661789	0.680084	0.153648	-488.168028	2092.018886	0.000000	
-5.218656	-0.824857	-4.168359	11.357748	2.001014	-0.713503	409.014650	-2736.668339	0.000000	
1.528959	0.989503	5.932030	-2.998059	-0.055009	0.779471	-5.976034	-515.574034	0.000000	
3.659884	1.366630	8.431977	-7.605160	-0.723686	1.194252	60.685185	-911.849337	0.000000	
2.416887	1.000182	6.878772	-5.065412	-0.365581	0.923294	32.644812	-745.354250	0.000000	
1.172283	0.633790	4.632512	-2.159805	0.025150	0.606329	-20.415003	-474.716825	0.000000	
2.056538	1.128361	6.880381	-4.311055	-0.271887	0.780770	21.958005	-636.586566	0.000000	
0.415108	0.690819	4.290734	-0.501288	0.364061	0.454805	-91.063878	-126.676673	0.000000	
-3.670547	-0.323650	-2.530996	8.710928	1.658491	-0.477873	573.113644	-3449.687003	0.000000	
0.131022	0.689595	3.773909	-0.394026	0.258246	0.462322	-71.164780	-115.473340	0.000000	
2.730531	1.180151	7.225264	-5.667977	-0.322921	1.067401	22.701706	-794.443864	0.000000	
2.463540	1.067450	7.225806	-5.452896	-0.382856	0.986578	33.067690	-763.743548	0.000000	
1.530610	0.947197	5.239236	-3.149473	-0.160949	0.768540	13.540667	-612.088662	0.000000	
2.372125	1.043139	6.965927	-4.871269	-0.349791	0.923744	30.320306	-708.514482	0.000000	
1.550542	0.771178	5.410393	-3.300800	-0.116048	0.705895	4.581845	-618.895401	0.000000	
-3.264742	-0.141380	-1.838126	7.311633	1.379658	-0.271340	650.135174	-3982.893779	0.000000	
-0.961321	0.477548	1.094362	3.093528	0.864074	0.145477	-741.068173	2801.488442	0.000000	
