NO_OF_SAMPLES	5000
FREQUENCY	1000
TIME_STAMP	2020-01-25, 13:45:25	91661.91283870
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
5.843847	1.832699	11.108125	-12.599645	-1.500806	1.806151	104.803388	-1144.342869	0.000000	
3.358549	1.254124	8.002712	-7.455124	-0.769347	1.300435	71.800898	-941.180457	0.000000	
5.215187	1.514884	11.021586	-11.049541	-1.237345	1.547089	84.928776	-1011.061153	0.000000	
2.183502	0.889690	6.882187	-5.518560	-0.414243	1.065811	41.601645	-809.927658	0.000000	
-1.258375	0.323631	2.050701	1.800501	0.598833	0.324881	-258.371382	868.325465	0.000000	
3.467029	1.432473	7.569603	-7.347373	-0.586663	1.282140	51.016253	-982.072658	0.000000	
-0.460344	0.243869	2.910805	0.249795	0.487117	0.442155	-159.261760	80.302858	0.000000	
-5.006400	-0.510235	-2.606202	9.290985	1.732655	-0.398010	556.250238	-3576.749603	0.000000	
-4.436573	-0.437397	-1.745626	8.128400	1.683161	-0.432488	820.826590	-4671.309987	0.000000	
0.493523	0.472260	4.984611	-1.578888	0.221859	0.678888	-50.851531	-322.881250	0.000000	
-8.021273	-1.179619	-7.439891	15.273938	2.543798	-1.005985	280.632757	-2062.687711	0.000000	
3.376285	1.277390	7.741571	-7.433835	-0.692951	1.201436	64.252725	-970.319759	0.000000	
0.627697	0.655017	3.599188	-2.139693	0.115042	0.657377	-42.535936	-605.517188	0.000000	
3.266193	1.254827	8.088476	-7.670689	-0.800425	1.192840	75.514223	-957.865224	0.000000	
-2.721695	-0.133098	0.065844	4.791891	1.110003	0.035333	-14539.678175	72889.509836	0.000000	
-0.036943	0.601330	4.469525	-1.019287	0.420101	0.624507	-94.316050	-236.414202	0.000000	
0.960150	0.744430	4.723513	-2.655417	-0.023770	0.758287	-7.160391	-571.825494	0.000000	
1.510639	1.013960	5.673230	-3.493961	-0.102632	0.823121	2.362845	-626.708980	0.000000	
-8.071319	-0.917347	-6.746492	15.663142	2.635787	-1.057236	322.775839	-2330.114216	0.000000	
2.002526	0.975172	6.969646	-4.958208	-0.245660	0.995100	18.338594	-720.063579	0.000000	
-3.636402	-0.365375	-1.922417	7.547705	1.379672	-0.253992	610.754427	-3937.631789	0.000000	
-4.016894	-0.301599	-1.747677	7.827517	1.607143	-0.378629	789.840013	-4489.308843	0.000000	
0.734763	0.719548	4.550728	-1.987927	0.236243	0.660093	-61.759924	-446.521562	0.000000	
2.439286	1.044488	6.532714	-4.893132	-0.334265	0.931716	29.429768	-758.803499	0.000000	
3.908204	1.192952	9.383154	-8.553224	-0.683131	1.320932	48.646605	-919.497326	0.000000	
2.949748	1.180849	7.915940	-6.011732	-0.566374	1.068595	49.853120	-768.629191	0.000000	
3.154565	1.361247	8.263350	-6.937540	-0.706952	1.212080	63.345655	-849.611156	0.000000	
1.462064	1.167835	4.807585	-2.847636	-0.053447	0.732383	-6.733732	-606.763860	0.000000	
-5.674737	-0.516605	-4.161331	10.991559	2.058015	-0.588251	417.255068	-2649.134678	0.000000	
-5.056696	-0.555907	-2.954009	9.915453	1.872236	-0.523570	536.960569	-3367.980756	0.000000	
-1.353294	0.521253	2.570249	1.865995	0.629132	0.218955	-216.019528	713.805661	0.000000	
2.110741	0.953926	6.794912	-4.936632	-0.320543	0.949884	28.957307	-735.208733	0.000000	
5.263677	1.317409	10.241864	-11.029046	-1.282037	1.589732	95.552397	-1084.889306	0.000000	
0.581146	0.740027	4.465703	-1.794019	0.206454	0.668930	-54.320209	-411.843394	0.000000	
3.997065	1.348651	8.690651	-8.466684	-0.893724	1.328398	76.244194	-983.748916	0.000000	
-8.853300	-0.968508	-8.302161	17.406700	2.885787	-1.337238	286.973929	-2104.005152	0.000000	
-5.500397	-0.340253	-3.122949	10.713117	1.874851	-0.567955	500.735887	-3437.375254	0.000000	
-5.105564	-0.247481	-2.433524	9.895157	1.856669	-0.575686	644.450866	-4072.703168	0.000000	
-1.860821	0.029606	0.839601	3.479185	0.878737	0.117088	-923.044950	4141.062885	0.000000	
-4.274041	-0.458356	-2.090937	7.934620	1.440312	-0.272450	573.358022	-3807.879833	0.000000	
5.237221	1.713072	11.196008	-10.962538	-1.222082	1.583748	82.119737	-988.544867	0.000000	
3.466039	1.122537	8.000255	-7.455527	-0.693142	1.237690	61.544077	-940.596698	0.000000	
5.082994	1.316093	9.722492	-10.555478	-1.188812	1.481452	92.152953	-1094.084086	0.000000	
2.422705	1.112864	6.967415	-5.647197	-0.277998	1.039665	19.602330	-820.290064	0.000000	
3.574795	1.055439	8.345154	-7.325914	-0.737861	1.229611	63.595367	-885.773478	0.000000	
-5.259461	-0.757763	-2.695046	10.367391	1.994905	-0.621349	629.926769	-3863.421622	0.000000	
-5.455786	-0.670281	-3.731476	10.754816	1.890998	-0.614591	423.945664	-2893.080110	0.000000	
-2.877969	-0.024033	0.240381	4.942892	1.231192	0.009209	-4450.857501	20567.519600	0.000000	
-9.117371	-1.524748	-7.870313	17.857533	3.128854	-1.363393	331.764918	-2280.656548	0.000000	
-2.146847	0.160031	1.362196	3.371914	0.876941	0.136128	-556.129520	2467.947894	0.000000	
1.689047	0.950334	5.412127	-3.795956	-0.118499	0.849087	3.597056	-712.044865	0.000000	
5.065632	1.603562	10.851276	-11.286693	-1.239043	1.627087	87.203883	-1049.230244	0.000000	
3.218324	1.163702	7.827899	-6.852296	-0.630058	1.130347	56.633215	-884.522411	0.000000	
3.202982	0.963305	7.828900	-6.744847	-0.766259	1.255400	74.132943	-869.248535	0.000000	
-0.460930	0.641886	3.519149	-0.136494	0.409094	0.479557	-109.686420	-49.833132	0.000000	
2.956823	0.984984	7.656467	-6.659270	-0.569402	1.156615	51.912999	-877.788580	0.000000	
-8.582401	-1.211377	-7.091501	16.890075	2.776737	-1.173932	322.866286	-2392.132171	0.000000	
1.803038	0.818134	6.710251	-4.484895	-0.183201	0.949858	11.438006	-676.018511	0.000000	
-10.757595	-2.028379	-10.633616	21.559601	3.507363	-1.690253	272.287092	-2039.010313	0.000000	
1.114594	0.723012	5.588067	-3.107160	-0.132025	0.786725	11.647380	-564.107318	0.000000	
3.265646	1.231062	8.001951	-7.196778	-0.662163	1.202176	59.064567	-908.822786	0.000000	
4.129411	1.461609	8.950130	-9.004890	-0.941381	1.337649	78.505926	-1016.093969	0.000000	
2.536438	1.204015	7.314119	-6.400904	-0.372378	1.111513	30.667152	-885.192695	0.000000	
2.068933	0.954123	6.189767	-4.786231	-0.334743	0.975422	34.538420	-782.710627	0.000000	
4.882277	1.556225	10.071443	-10.231471	-1.112576	1.473946	82.481567	-1025.371824	0.000000	
-0.392675	0.576247	3.432311	-0.136896	0.545284	0.524234	-153.236121	-50.117365	0.000000	
-4.828495	-0.419426	-2.779851	8.989547	1.686418	-0.362681	508.411765	-3243.101811	0.000000	
-7.274263	-0.865518	-5.193034	14.005517	2.522945	-0.920311	406.449788	-2707.145728	0.000000	
-4.166571	-0.171713	-1.138075	7.806844	1.514798	-0.251811	1124.812655	-6868.970208	0.000000	
-6.449724	-0.679331	-4.936303	12.455288	2.305477	-0.705610	392.946896	-2531.736241	0.000000	
-0.260635	0.443901	3.257362	0.013715	0.486024	0.514842	-145.505867	-4.248470	0.000000	
-9.714113	-1.444345	-8.730912	19.408500	3.210547	-1.399941	304.507333	-2233.058442	0.000000	
3.598685	1.254685	9.212766	-7.884962	-0.832054	1.302988	67.610835	-864.327726	0.000000	
0.666825	0.717396	4.724075	-1.707419	0.116288	0.633732	-33.323344	-370.762737	0.000000	
5.462515	1.894761	10.936583	-11.802641	-1.331254	1.672182	92.912837	-1089.722779	0.000000	
2.647967	1.158090	7.919819	-6.292440	-0.493322	1.175642	42.742417	-803.535484	0.000000	
3.465159	1.411168	8.607641	-8.036248	-0.711413	1.247926	59.274035	-943.629342	0.000000	
2.781129	0.961051	8.090829	-6.637718	-0.494606	1.175503	41.057655	-827.877808	0.000000	
3.398974	1.211550	8.000842	-7.649339	-0.709214	1.210696	64.018555	-965.375950	0.000000	
4.195669	1.549384	9.383314	-9.025753	-0.956920	1.374649	76.105186	-971.971455	0.000000	
-0.223903	0.684516	4.555577	0.080194	0.455420	0.446690	-97.999531	8.359769	0.000000	
-8.443684	-1.076606	-6.830206	16.330259	2.819127	-1.021249	342.593716	-2400.545246	0.000000	
-2.396016	0.331957	1.450413	4.341939	1.107723	0.048059	-671.827903	2979.932609	0.000000	
-5.898446	-0.587061	-3.467987	11.422768	2.149692	-0.631126	523.648927	-3304.085334	0.000000	
-7.010990	-0.622060	-4.847253	14.006895	2.432499	-0.883176	419.888356	-2897.669514	0.000000	
-3.682626	-0.167086	-0.449635	6.902858	1.269595	-0.250987	2363.278907	-15373.788046	0.000000	
-13.555529	-2.168078	-13.994313	27.286680	4.377012	-2.240199	257.634005	-1959.346030	0.000000	
-2.147202	0.269170	1.622795	3.566359	0.937969	0.164042	-504.543479	2187.545283	0.000000	
1.442289	0.591604	6.623084	-3.408305	-0.057566	0.771089	-4.314323	-520.434729	0.000000	
3.907359	1.412722	9.211321	-8.272272	-0.817915	1.329943	64.206334	-907.472943	0.000000	
1.024149	0.720029	5.588561	-2.417758	0.082608	0.769660	-25.851409	-440.668110	0.000000	
4.373790	1.306722	9.900519	-9.262779	-1.079014	1.411103	83.410874	-943.803496	0.000000	
5.259610	1.581029	11.195034	-11.049214	-1.207231	1.574536	80.688135	-995.711408	0.000000	
5.189178	1.691664	10.675421	-10.812232	-1.190418	1.475141	83.449121	-1022.519492	0.000000	
4.796056	1.511060	10.245572	-10.253044	-1.143454	1.510005	84.552284	-1009.817177	0.000000	
5.703610	1.764640	11.279740	-12.190587	-1.302205	1.645749	86.287633	-1090.341346	0.000000	
2.424291	1.178926	7.141395	-5.818980	-0.490795	1.075608	48.890744	-824.899332	0.000000	
-4.193245	-0.062554	-1.744332	8.496293	1.624537	-0.332919	795.655161	-4873.625488	0.000000	
0.381024	0.759609	4.899872	-1.642908	0.206328	0.643128	-47.259364	-344.807172	0.000000	
-7.647048	-1.198412	-6.923557	14.757192	2.602555	-0.987055	313.139360	-2141.971307	0.000000	
-5.254972	-0.446528	-3.731056	10.302997	1.858973	-0.542938	418.430049	-2768.943526	0.000000	
-9.291231	-1.481048	-8.474250	17.943475	2.977911	-1.347050	289.101759	-2128.030640	0.000000	
-2.817500	0.109143	0.412142	4.814420	1.034490	-0.097967	-2127.249529	11665.793323	0.000000	
-12.663614	-2.026301	-13.131828	25.521362	4.127851	-1.979566	259.443945	-1952.944244	0.000000	
-8.959544	-1.125146	-8.387638	17.600358	2.734925	-1.275021	265.344507	-2106.708254	0.000000	
0.537410	0.428831	4.810677	-1.643663	0.146295	0.660381	-37.465899	-347.484148	0.000000	
-1.641169	0.275482	1.531740	2.812302	0.921060	0.145512	-541.986295	1825.113817	0.000000	
1.604311	1.105549	5.587615	-4.269347	-0.348134	0.911658	45.407390	-775.987573	0.000000	
5.301349	1.735627	10.848836	-10.725761	-1.099422	1.547541	73.134894	-998.444729	0.000000	
4.175212	1.129862	9.034830	-8.984083	-0.986607	1.346315	82.483914	-1002.212681	0.000000	
4.284798	1.596215	9.296319	-9.456803	-0.928317	1.383135	73.209968	-1027.710048	0.000000	
6.037549	1.652627	12.230526	-12.081850	-1.392850	1.782447	85.397908	-996.238182	0.000000	
5.262757	1.670412	11.196239	-11.436618	-1.436049	1.627786	101.100690	-1030.653541	0.000000	
4.332831	1.132410	9.380724	-9.587267	-0.974316	1.418325	77.160374	-1029.603774	0.000000	
0.670857	0.674063	4.897946	-2.073790	0.068849	0.705325	-22.529102	-431.934535	0.000000	
5.661486	1.784669	12.146802	-12.297497	-1.394551	1.719262	87.869083	-1021.462703	0.000000	
2.446922	0.868446	7.485933	-5.733302	-0.505722	1.076047	48.428666	-773.198812	0.000000	
2.929594	1.426324	7.744641	-6.485530	-0.523211	1.103945	45.546045	-848.567963	0.000000	
3.531226	1.343040	8.780291	-7.626735	-0.649150	1.275627	50.579717	-878.015061	0.000000	
-10.425607	-1.339099	-9.419519	20.355704	3.471106	-1.561934	305.612474	-2169.802492	0.000000	
-7.207806	-0.975056	-5.280810	13.897460	2.492522	-0.929734	394.625807	-2642.863806	0.000000	
-7.627559	-0.912121	-6.229847	14.650942	2.510810	-0.985168	333.544701	-2360.761433	0.000000	
-5.881736	-0.675537	-3.816548	11.724085	2.121662	-0.757207	468.654226	-3082.652615	0.000000	
-4.522788	-0.374386	-1.310713	8.409353	1.532222	-0.359647	974.601442	-6432.701688	0.000000	
-8.536446	-1.211199	-7.177806	16.933076	2.837432	-1.129210	327.789806	-2369.368611	0.000000	
0.471396	0.628446	4.206282	-1.536035	0.252924	0.659418	-67.205530	-374.372288	0.000000	
-5.988085	-0.564699	-3.987237	11.551660	2.150660	-0.686005	454.333941	-2905.918179	0.000000	
-12.067996	-1.997687	-12.097510	24.143481	3.895539	-1.942433	265.252510	-2005.817812	0.000000	
1.537796	0.815276	5.932977	-3.752889	-0.149658	0.912724	9.894307	-641.070238	0.000000	
-9.006349	-1.349877	-7.003599	17.859121	2.961754	-1.280556	349.949444	-2561.619287	0.000000	
4.531562	1.309582	9.986723	-9.758555	-0.960166	1.482717	69.897104	-985.323246	0.000000	
2.288532	1.108639	7.141571	-4.935799	-0.275304	1.031731	19.781925	-700.659270	0.000000	
2.840782	1.271899	7.657400	-6.550878	-0.478106	1.058641	40.834278	-865.628958	0.000000	
5.788918	1.565115	10.930865	-11.760114	-1.359933	1.573390	93.910052	-1084.709712	0.000000	
3.418287	1.298842	8.000729	-7.282794	-0.586424	1.184465	48.536731	-920.187770	0.000000	
5.664766	1.765217	10.761996	-12.191100	-1.256914	1.734112	86.470766	-1142.807644	0.000000	
4.924169	1.645088	10.850234	-10.597103	-1.069275	1.457728	72.297333	-985.990324	0.000000	
3.108814	1.271658	8.176233	-6.614673	-0.629789	1.176282	54.905468	-818.551739	0.000000	
5.461805	1.452498	10.673871	-11.567033	-1.299438	1.608463	92.241954	-1092.125479	0.000000	
3.685955	1.366331	9.299102	-8.014008	-0.726595	1.303408	55.108476	-870.861456	0.000000	
0.516477	0.760453	4.640116	-1.621414	0.206708	0.714288	-51.580641	-359.442152	0.000000	
4.553986	1.419902	10.247140	-9.865695	-1.021411	1.510216	73.954747	-971.362987	0.000000	
-13.090905	-2.230696	-13.738042	26.770010	4.239473	-2.186271	254.340705	-1958.527865	0.000000	
-0.220039	0.752261	4.123979	-0.113919	0.424389	0.508242	-100.701211	-38.671305	0.000000	
-12.760324	-2.026940	-13.739704	26.016588	4.115998	-2.177660	246.673094	-1902.623507	0.000000	
-8.519605	-1.033571	-6.658953	16.675139	2.942109	-1.208457	369.253622	-2513.690077	0.000000	
-0.020385	0.622611	3.688797	-0.437492	0.227297	0.497664	-62.095582	-128.883342	0.000000	
-5.901203	-0.454176	-4.333746	11.831999	2.167587	-0.695262	422.975108	-2736.894205	0.000000	
-6.166831	-0.544750	-3.986379	11.831904	2.076014	-0.739645	433.190779	-2976.563162	0.000000	
0.224674	0.558249	3.860443	-0.739043	0.195995	0.560517	-54.822907	-200.366471	0.000000	
-9.808876	-1.179153	-9.163775	19.602924	3.136428	-1.534885	281.417824	-2147.208114	0.000000	
-0.084796	0.512308	3.689008	-0.524265	0.332528	0.515395	-89.637941	-150.720364	0.000000	
-6.120466	-0.588178	-4.332695	11.853061	2.106615	-0.704618	406.165930	-2744.154390	0.000000	
2.508038	1.089208	7.572156	-5.517154	-0.398536	1.014256	33.260232	-737.494444	0.000000	
3.510696	1.366589	8.174685	-7.734845	-0.724826	1.274019	63.783396	-956.387501	0.000000	
-9.649586	-1.421109	-8.905246	19.365317	3.241076	-1.436114	302.365498	-2184.363143	0.000000	
6.083727	1.614632	11.536882	-13.074081	-1.426681	1.743922	93.287589	-1141.907623	0.000000	
0.959028	0.854564	5.589725	-2.977767	-0.025956	0.769144	-5.770492	-542.112269	0.000000	
1.354219	0.591352	5.671347	-2.999549	-0.070234	0.742285	-1.801073	-535.558645	0.000000	
2.995212	1.273088	7.309931	-6.529278	-0.583162	1.057835	55.998995	-903.791087	0.000000	
2.755762	1.137397	7.312035	-6.120485	-0.461243	1.111748	41.146339	-846.583246	0.000000	
3.151816	1.161404	8.261409	-6.700891	-0.766072	1.140288	70.535603	-819.808183	0.000000	
5.553111	1.586159	10.848027	-11.889652	-1.376737	1.689353	97.401834	-1105.036579	0.000000	
3.956491	1.261406	8.344927	-8.596784	-0.773335	1.372203	65.281707	-1039.474967	0.000000	
5.575281	1.541152	11.194106	-11.846408	-1.346584	1.708114	91.561452	-1066.809490	0.000000	
-1.772174	0.139834	2.311729	2.877272	0.814344	0.182848	-310.040594	1240.434255	0.000000	
5.902156	1.723261	11.450954	-12.664639	-1.303894	1.645762	84.160276	-1115.246459	0.000000	
3.064582	1.185272	7.483018	-6.658939	-0.447868	1.129839	36.085201	-899.573460	0.000000	
-5.899766	-0.608121	-3.815056	11.336382	2.028823	-0.685943	444.237531	-2981.241382	0.000000	
3.108959	1.141985	8.088335	-7.197150	-0.647238	1.130495	57.666963	-898.553197	0.000000	
-10.625840	-2.047761	-11.327789	21.472851	3.523185	-1.727736	257.602325	-1906.546407	0.000000	
-5.878218	-0.563163	-3.728606	11.164138	2.028080	-0.694785	454.680766	-3003.472794	0.000000	
-9.094273	-1.502611	-9.082384	18.395698	3.056673	-1.365767	279.580165	-2035.521553	0.000000	
-4.796996	-0.310980	-1.830382	9.249334	1.672654	-0.566012	765.993378	-5063.572200	0.000000	
-8.960479	-1.237316	-7.262741	17.535964	2.930276	-1.254454	333.455015	-2424.882135	0.000000	
-11.997474	-1.773336	-12.269002	23.432830	3.786471	-1.862664	252.966676	-1918.844010	0.000000	
-5.169572	-0.446392	-3.039834	10.066575	1.812386	-0.577348	500.005826	-3320.605797	0.000000	
-2.970298	0.016998	0.846536	5.266911	1.141374	-0.042872	-1152.202354	6219.779857	0.000000	
-5.500099	-0.559958	-3.557351	10.690458	1.950893	-0.605086	460.873524	-3014.818716	0.000000	
0.582702	0.850135	5.159551	-2.073405	0.219499	0.733182	-49.666472	-411.915455	0.000000	
-0.170344	0.554267	4.643324	-0.652786	0.330558	0.607108	-69.918978	-148.096409	0.000000	
1.734355	0.904489	6.451024	-4.031958	-0.347345	0.904781	37.971138	-633.690124	0.000000	
2.623012	1.000894	8.005109	-5.775418	-0.521157	1.122332	45.930669	-729.294693	0.000000	
0.492451	0.738197	4.206677	-1.363170	0.208373	0.659722	-56.889623	-334.707964	0.000000	
4.376069	1.439627	10.075140	-9.456291	-1.065168	1.474242	80.564644	-947.406760	0.000000	
1.603797	1.015461	6.279867	-4.161470	-0.212164	0.931336	18.667967	-672.554178	0.000000	
1.511302	0.861207	5.412293	-3.860845	-0.255130	0.785915	30.684046	-723.088337	0.000000	
3.241377	1.229843	8.434546	-7.110278	-0.631830	1.176432	52.559976	-851.988690	0.000000	
-0.574831	0.682828	4.385371	0.101315	0.424412	0.446021	-90.211694	13.553789	0.000000	
-1.132469	0.367820	3.347015	1.478300	0.672672	0.247262	-182.779564	434.698237	0.000000	
-3.171908	-0.029421	0.414073	5.848127	1.234839	-0.124049	-2553.155792	14126.582828	0.000000	
-7.831411	-0.872157	-5.796288	15.276242	2.588638	-1.064132	370.006514	-2644.776750	0.000000	
-3.326979	-0.030118	-0.623947	6.407427	1.358914	-0.170724	1877.964334	-10272.699326	0.000000	
3.573705	1.277010	9.125609	-7.820454	-0.755880	1.240243	60.070406	-865.643389	0.000000	
3.043142	1.230092	7.050543	-6.702031	-0.614102	1.119684	62.095081	-961.171443	0.000000	
1.355151	0.766724	6.798545	-3.213871	0.033412	0.825741	-16.886111	-479.869913	0.000000	
1.529234	0.991616	6.104854	-3.579824	-0.148410	0.761292	9.467847	-596.316401	0.000000	
-1.240266	0.345321	2.828860	1.650177	0.673437	0.272964	-214.247029	575.674151	0.000000	
-1.840102	0.581857	2.054676	2.899927	0.738839	0.173835	-310.127206	1394.676927	0.000000	
-2.108160	0.180661	1.014503	4.061360	1.001781	0.046608	-871.652186	3992.496112	0.000000	
-0.263635	0.509263	4.036216	-0.157767	0.378905	0.480675	-90.998906	-46.980105	0.000000	
2.464658	1.198171	7.140708	-5.064475	-0.426665	1.040654	39.597472	-719.467343	0.000000	
-2.258748	0.025048	2.141201	3.479668	0.982436	0.120005	-400.423546	1623.632099	0.000000	
-2.816983	-0.026530	0.931482	5.267004	1.141782	-0.051583	-1056.872456	5655.217937	0.000000	
-1.594937	0.210126	1.617996	2.489166	0.738082	0.172005	-401.648990	1530.325171	0.000000	
-4.189272	-0.082266	-1.484066	7.720608	1.484486	-0.279506	841.110474	-5206.257990	0.000000	
-5.234782	-0.537353	-2.779528	10.432852	1.873977	-0.540653	567.748303	-3765.121498	0.000000	
2.992822	1.117934	7.914408	-6.615706	-0.477966	1.014280	38.387132	-844.644880	0.000000	
0.825718	0.586200	4.983059	-2.095300	0.023681	0.723351	-14.837231	-427.898020	0.000000	
0.380610	0.471816	4.032199	-1.126955	0.149087	0.587342	-43.057759	-286.867151	0.000000	
2.464659	1.023281	7.658639	-5.775737	-0.566201	1.004937	55.085833	-762.456176	0.000000	
3.995556	1.150174	8.602251	-8.510323	-0.969185	1.265065	85.817870	-997.628333	0.000000	
3.799552	1.347011	8.605855	-8.273028	-0.832893	1.337269	71.222334	-970.920556	0.000000	
-2.281128	0.291136	1.623341	3.523046	1.013207	0.119232	-546.092608	2159.369049	0.000000	
3.710341	1.344434	8.606516	-7.820340	-0.876458	1.328649	76.860302	-918.230962	0.000000	
0.135478	0.424355	4.899027	-0.975973	0.299769	0.553641	-63.528526	-204.890696	0.000000	
-2.462174	-0.152702	0.668185	4.296908	1.002562	-0.053260	-1294.460545	6442.724570	0.000000	
1.066729	0.766007	4.895210	-2.396576	0.068483	0.714374	-27.003901	-499.168504	0.000000	
1.915352	0.820277	5.930591	-4.528402	-0.258149	0.965878	24.620013	-772.139999	0.000000	
-0.190924	0.422277	3.863732	-0.459771	0.316914	0.596263	-80.037554	-125.941559	0.000000	
1.894444	0.926947	6.884748	-4.247009	-0.303484	1.058094	27.854095	-625.239295	0.000000	
2.447616	0.935498	7.053497	-5.754849	-0.611342	1.074985	66.414660	-824.140406	0.000000	
4.306543	1.240075	9.727115	-9.112399	-1.002614	1.374946	77.445457	-944.769670	0.000000	
2.332017	0.978556	6.880005	-5.367207	-0.458102	0.967619	46.778872	-788.909934	0.000000	
