NO_OF_SAMPLES	5000
FREQUENCY	1000
TIME_STAMP	2020-01-25, 13:56:40	92336.60153250
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-5.551275	-0.648493	-4.252327	11.120880	1.893508	-0.785685	371.252155	-2624.614887	0.000000	
3.993719	1.480678	9.643198	-8.788765	-0.986538	1.294609	78.279320	-920.823364	0.000000	
4.841563	1.358157	10.417530	-10.727438	-1.221187	1.509661	90.360242	-1037.876484	0.000000	
3.864282	1.347922	9.211192	-8.660511	-0.834849	1.320453	66.308064	-949.239538	0.000000	
4.289085	1.552147	9.210583	-9.629100	-1.141044	1.454125	96.968542	-1055.706802	0.000000	
0.110164	0.668396	4.120411	-0.781908	0.286351	0.480658	-71.783216	-199.679064	0.000000	
-6.771023	-0.905274	-6.064187	13.962473	2.268157	-1.011973	310.588889	-2311.636576	0.000000	
-1.506630	0.299319	1.358261	2.596865	0.875052	0.189753	-582.794008	1898.726840	0.000000	
-10.281148	-1.805266	-10.984323	21.926920	3.480863	-1.806520	263.589544	-2006.235480	0.000000	
-5.789289	-0.586374	-5.027474	12.154588	2.139588	-0.678824	360.180927	-2424.990263	0.000000	
1.289420	0.969051	5.068181	-3.236210	-0.040890	0.768038	-6.994181	-650.075769	0.000000	
5.167598	1.692153	11.454809	-11.307557	-1.163145	1.494430	75.442409	-996.246402	0.000000	
4.597672	1.421627	10.073274	-10.124387	-1.082683	1.482642	81.084097	-1013.805413	0.000000	
-1.021048	0.325183	2.220578	1.714727	0.538874	0.235734	-217.660691	763.169031	0.000000	
-1.773910	0.430032	1.013996	2.984550	0.982428	0.126741	-871.496996	2918.745539	0.000000	
-7.901161	-0.984889	-7.182470	16.438842	2.625424	-1.164979	303.021797	-2297.251554	0.000000	
-4.862066	-0.467140	-3.561905	10.346737	1.754469	-0.587143	415.188267	-2913.004112	0.000000	
-4.083098	-0.169729	-1.659776	7.828021	1.531171	-0.369394	783.700309	-4722.862119	0.000000	
3.931851	1.435355	9.038766	-8.358449	-0.878781	1.374219	72.029025	-934.456196	0.000000	
4.308360	1.531128	8.949692	-9.543499	-0.913268	1.391117	74.246663	-1076.761360	0.000000	
4.551641	1.598241	9.381482	-9.822523	-1.186601	1.436631	98.473572	-1057.383413	0.000000	
4.039655	1.639417	8.777796	-9.155694	-0.836164	1.301576	68.649691	-1054.343812	0.000000	
1.261327	0.812671	5.412125	-2.977610	-0.115159	0.643378	7.414220	-559.411810	0.000000	
-5.771433	-0.693385	-4.337575	11.141804	2.029244	-0.803859	392.385499	-2578.452918	0.000000	
-2.418175	0.200720	0.323869	4.513303	0.973496	-0.017506	-2587.686028	13900.008512	0.000000	
-6.485468	-0.727257	-5.026311	13.597358	2.432617	-0.955478	410.792145	-2714.167473	0.000000	
-3.571413	-0.166212	-2.008520	7.591451	1.334730	-0.253857	563.978262	-3785.080148	0.000000	
3.311103	1.367104	7.136612	-7.455888	-0.571765	1.200195	53.297555	-1056.298724	0.000000	
3.599319	1.368019	8.520293	-8.165478	-0.817557	1.283335	71.464174	-968.178105	0.000000	
3.907833	1.437720	8.864509	-8.746705	-0.849887	1.301778	70.352896	-996.623564	0.000000	
1.129025	0.743931	5.066683	-2.353287	0.038776	0.643146	-20.943347	-473.514199	0.000000	
-1.397935	0.519334	1.704974	2.705885	0.739355	0.208861	-388.428990	1569.150012	0.000000	
-6.994227	-1.019126	-5.457646	14.285537	2.419922	-1.055161	370.707154	-2628.817463	0.000000	
-8.662159	-1.058483	-8.046011	18.010311	2.964905	-1.443428	307.301034	-2246.609000	0.000000	
-5.641281	-0.520336	-3.990951	11.897370	1.941793	-0.766197	406.450970	-2989.214292	0.000000	
1.996641	1.106730	6.709193	-4.548330	-0.333932	0.887471	32.287167	-687.993428	0.000000	
4.400511	1.529995	9.383302	-9.585864	-1.095493	1.499460	89.648410	-1031.549080	0.000000	
4.663804	1.688869	9.987678	-10.425561	-1.008253	1.500581	73.962003	-1054.142802	0.000000	
1.462603	0.992569	5.498884	-3.580288	-0.208417	0.714954	22.190463	-662.034220	0.000000	
-0.091629	0.644966	3.601343	-0.308609	0.455059	0.390326	-125.718125	-96.554077	0.000000	
-1.312690	0.521095	1.530033	2.469001	0.542414	0.127446	-307.160530	1593.769847	0.000000	
-0.023494	0.730938	4.901114	-0.436426	0.362425	0.500853	-74.465927	-98.226979	0.000000	
-0.359057	0.550030	3.256285	0.941206	0.278911	0.336483	-80.253583	278.752734	0.000000	
-1.690039	0.336723	1.791605	3.761311	0.834391	0.102251	-413.582454	2088.050437	0.000000	
2.153650	1.196752	7.488462	-5.215391	-0.443313	0.969432	42.275510	-706.236621	0.000000	
3.015787	1.182336	8.348135	-6.464023	-0.568553	1.069220	47.048574	-783.066863	0.000000	
5.170954	1.826289	10.677102	-11.415316	-1.329559	1.537284	96.563333	-1079.549985	0.000000	
-2.603392	-0.024490	-0.370792	5.891086	1.282985	-0.206023	3065.389264	-15892.382114	0.000000	
-17.545374	-3.404830	-22.380451	37.962873	5.771650	-3.497783	213.113715	-1705.600316	0.000000	
4.615927	1.685408	10.766611	-10.058440	-1.052593	1.466881	72.921916	-943.821264	0.000000	
-16.589851	-3.019950	-20.305530	35.660476	5.398285	-3.234528	219.224166	-1765.352880	0.000000	
-8.897919	-1.279357	-9.429518	18.267060	2.951161	-1.393232	259.237636	-1945.646364	0.000000	
6.303430	2.212853	12.577691	-13.803886	-1.672545	1.818115	104.070318	-1108.173918	0.000000	
-6.176465	-0.790053	-5.202395	13.123509	2.159330	-0.965494	347.663198	-2531.923555	0.000000	
0.862325	0.941857	4.463082	-2.094753	0.055036	0.579392	-23.959712	-482.004788	0.000000	
5.020151	1.537215	9.898359	-10.856416	-1.281583	1.562372	100.230262	-1106.315924	0.000000	
2.038065	0.996515	6.447726	-4.311911	-0.196156	0.824397	11.899695	-678.233689	0.000000	
4.505849	1.423639	9.379777	-10.254351	-1.112675	1.355368	90.884119	-1102.569185	0.000000	
-4.217265	-0.392075	-2.353312	8.365600	1.549238	-0.451532	556.985023	-3564.980088	0.000000	
-4.994841	-0.666374	-3.822208	10.410545	1.724589	-0.641866	377.092342	-2734.294229	0.000000	
0.288473	0.603357	4.378933	-1.083312	0.164124	0.525657	-41.964096	-255.935553	0.000000	
-1.511648	0.298865	1.443371	2.661875	0.694233	0.082335	-423.005343	1831.776532	0.000000	
1.777781	0.974352	5.671269	-4.269784	-0.165984	0.858236	10.891633	-763.332335	0.000000	
-0.313526	0.421006	2.649024	0.595151	0.474682	0.316832	-173.338019	214.938076	0.000000	
2.066636	0.998018	6.795399	-5.044071	-0.487477	0.940676	53.884973	-751.330632	0.000000	
0.559282	0.763074	3.253745	-1.492986	0.102994	0.630427	-42.085726	-472.822991	0.000000	
2.354803	1.045241	7.226737	-5.625352	-0.489838	0.995140	48.711159	-787.336445	0.000000	
2.819224	1.138623	7.570293	-6.464874	-0.628902	1.049185	61.392422	-863.231241	0.000000	
-5.195508	-0.557100	-3.301227	10.303116	1.829135	-0.676430	464.985559	-3131.277407	0.000000	
-2.263432	0.201764	0.063171	4.599381	1.034945	0.000053	-14373.596980	72628.186698	0.000000	
2.843410	1.138782	7.570826	-6.443527	-0.477730	1.103131	41.241121	-860.352087	0.000000	
3.530268	1.300996	8.779299	-8.122494	-0.772122	1.221192	64.598627	-934.314626	0.000000	
1.646295	0.796296	5.584816	-4.098051	-0.150341	0.848901	9.592516	-742.597329	0.000000	
3.014571	1.270932	8.088549	-6.399194	-0.643571	1.041846	57.866773	-800.771349	0.000000	
-4.504266	-0.285444	-3.129470	9.291870	1.613756	-0.461388	434.119322	-2975.081748	0.000000	
0.864368	0.788378	4.549078	-2.397084	0.114056	0.597046	-36.520896	-537.475124	0.000000	
-2.045839	0.269019	1.359786	3.954445	0.819976	-0.015397	-519.389249	2896.225335	0.000000	
-0.179307	0.488118	3.341682	0.186452	0.472368	0.389923	-139.132978	46.787150	0.000000	
2.067107	1.152682	6.883183	-5.022242	-0.336377	0.977130	31.231822	-739.848391	0.000000	
0.884286	0.942656	4.635889	-2.374736	-0.052119	0.570468	-0.247421	-524.472346	0.000000	
3.706445	1.234843	9.384049	-8.229876	-0.727327	1.249469	54.557918	-885.203107	0.000000	
-6.463643	-0.902993	-5.633963	13.596722	2.221675	-1.011141	329.177381	-2423.155145	0.000000	
2.487577	1.200130	7.227044	-5.538571	-0.474158	1.040356	45.508571	-776.497574	0.000000	
1.221867	0.855527	5.760562	-2.998782	-0.116149	0.760664	7.474241	-529.716788	0.000000	
-5.880907	-0.675414	-4.335759	11.960703	2.183595	-0.749181	426.733074	-2768.171547	0.000000	
-1.533204	0.540101	1.532184	3.050387	0.861908	0.146159	-507.176776	1970.283695	0.000000	
-3.023879	0.057612	0.238948	6.495112	1.223538	-0.213171	-4411.247332	27167.722633	0.000000	
1.417923	0.879368	6.277971	-3.364588	-0.117530	0.734832	5.261081	-544.607628	0.000000	
3.180241	1.120103	8.089199	-7.326297	-0.753940	1.237758	70.357019	-914.270946	0.000000	
1.107091	1.075799	5.761447	-2.890471	-0.130788	0.680391	11.131639	-512.981531	0.000000	
2.862378	1.136701	7.656662	-6.033614	-0.626963	1.058806	60.121538	-797.164141	0.000000	
-1.379514	0.474711	1.617028	2.964287	0.801438	0.137264	-448.544480	1815.885154	0.000000	
4.615808	1.619769	10.160016	-9.886710	-1.020970	1.438674	74.210894	-982.857852	0.000000	
3.465266	1.496997	8.781773	-7.647601	-0.846094	1.284538	73.418925	-881.226781	0.000000	
-7.188968	-0.997427	-6.667189	14.715440	2.512850	-1.021786	315.610794	-2216.349628	0.000000	
-6.595509	-0.750153	-5.804836	13.963225	2.313690	-0.984077	334.041248	-2413.510418	0.000000	
-3.552410	-0.122055	-0.883774	7.118306	1.286547	-0.287455	1229.420397	-8063.000605	0.000000	
4.481295	1.619622	10.246685	-10.080509	-1.203465	1.366737	92.123183	-993.463946	0.000000	
4.111384	1.572059	9.298442	-9.284495	-0.973640	1.436846	79.113754	-1008.798993	0.000000	
1.910986	1.174770	5.844794	-4.678168	-0.394600	0.894220	48.380632	-812.489396	0.000000	
1.841376	1.082542	6.969884	-4.289918	-0.167023	0.879424	8.352846	-625.020806	0.000000	
-4.645402	-0.553907	-2.612920	9.787184	1.615984	-0.648269	517.918297	-3758.394837	0.000000	
0.689580	0.740586	4.810663	-1.987459	0.084744	0.642633	-26.446148	-422.586850	0.000000	
1.084730	0.965568	4.981581	-2.546644	-0.052907	0.642953	-2.384364	-522.900247	0.000000	
-6.231827	-0.854945	-5.892155	12.864102	2.127559	-0.788390	300.952808	-2192.213170	0.000000	
-3.510068	-0.076458	-1.144232	7.032003	1.301803	-0.332831	964.801703	-6150.173187	0.000000	
2.576883	1.290198	7.140630	-5.689513	-0.278060	1.076239	17.904895	-807.731004	0.000000	
5.264677	1.759840	11.283806	-11.695122	-1.346725	1.672755	92.384251	-1046.015487	0.000000	
3.243661	1.363319	8.609041	-7.454595	-0.679115	1.230398	56.956255	-875.601167	0.000000	
1.282530	0.834207	4.806035	-2.439374	0.069313	0.633761	-30.182525	-518.116680	0.000000	
-3.264367	-0.183173	-1.059542	6.406707	1.344789	-0.279447	1095.564050	-6057.191393	0.000000	
-2.064150	0.273913	0.494423	3.263801	0.877994	-0.009127	-1542.338339	6569.337715	0.000000	
3.617155	1.390168	8.345972	-7.928616	-0.694974	1.202719	58.165689	-960.151697	0.000000	
3.753829	1.546386	8.866587	-8.509482	-0.803980	1.320036	66.133248	-970.323165	0.000000	
-1.638625	0.230809	1.185864	2.920058	0.694817	0.180317	-509.172774	2450.655039	0.000000	
-3.062733	-0.182865	-0.540448	6.191913	1.252817	-0.179852	1999.351826	-11476.799091	0.000000	
2.840891	1.183760	7.397061	-6.508129	-0.538117	1.039954	50.411106	-889.618276	0.000000	
2.907890	1.183131	7.050704	-6.163396	-0.551350	1.066378	54.269847	-884.381205	0.000000	
0.959354	0.589531	4.202828	-2.375915	-0.097520	0.712229	9.608445	-573.996514	0.000000	
-5.235961	-0.558267	-4.771415	11.228644	2.015550	-0.616133	360.063199	-2360.692993	0.000000	
-3.951409	-0.278281	-1.834928	7.676719	1.576505	-0.396852	737.550631	-4192.984262	0.000000	
-4.175050	-0.414476	-2.700494	8.710114	1.611872	-0.487779	509.347432	-3234.802964	0.000000	
0.334941	0.696151	2.993931	-1.364353	0.149020	0.513284	-56.838460	-469.565271	0.000000	
4.153390	1.307899	8.516248	-9.005676	-0.925869	1.345378	80.566293	-1066.899672	0.000000	
1.336521	0.992041	4.895573	-3.408520	-0.147488	0.821153	14.021396	-708.427974	0.000000	
3.533221	1.323540	8.174158	-8.015025	-0.831838	1.264618	76.724391	-990.429921	0.000000	
2.511711	1.048265	6.793145	-5.948900	-0.490644	1.029731	50.693234	-885.192061	0.000000	
2.512281	1.227019	6.707538	-6.336523	-0.477234	1.038382	49.346267	-955.763636	0.000000	
0.849142	0.743697	4.291258	-2.332714	0.098811	0.730761	-34.916071	-554.133384	0.000000	
-2.347410	-0.062920	-0.196597	4.447467	1.018985	0.034640	4512.381099	-22641.037720	0.000000	
-2.639939	-0.154032	-0.196563	4.963892	1.263030	-0.099286	5671.217058	-25298.205063	0.000000	
-2.061629	0.071770	0.581053	3.909919	0.956146	0.063163	-1447.248882	6721.282523	0.000000	
2.838523	1.425605	7.311515	-6.227075	-0.657737	1.022347	67.388773	-863.433517	0.000000	
3.355828	1.408073	7.483562	-7.023895	-0.812206	1.255026	82.584036	-949.946346	0.000000	
1.129288	0.854672	5.500260	-2.675812	-0.068965	0.661820	0.231216	-496.019684	0.000000	
-0.759039	0.526984	2.998201	1.047872	0.551158	0.228464	-170.412137	338.825372	0.000000	
0.913086	0.807230	5.589785	-2.245233	0.128466	0.760979	-32.934918	-410.582694	0.000000	
1.090226	0.899567	5.155848	-2.805332	-0.069766	0.750483	0.879557	-554.709250	0.000000	
1.910325	1.061941	6.883200	-4.677594	-0.425748	0.914400	45.493721	-689.036014	0.000000	
-0.195375	0.533310	2.391245	0.207635	0.306429	0.477134	-124.349098	73.504969	0.000000	
-7.858038	-1.138948	-7.184023	16.481216	2.837600	-1.191783	332.827411	-2303.856796	0.000000	
-1.002699	0.390428	2.566325	1.909073	0.630445	0.192173	-224.525571	734.544777	0.000000	
0.798266	0.785790	5.155938	-2.245634	0.038323	0.625378	-16.907157	-444.907242	0.000000	
2.265098	1.197978	6.795350	-5.021917	-0.381159	0.986039	36.601088	-749.726997	0.000000	
3.308634	1.429457	8.262397	-7.217324	-0.783390	1.211929	71.558119	-884.034537	0.000000	
-0.995232	0.434268	2.568893	1.887508	0.735501	0.362528	-265.360494	724.457468	0.000000	
1.067387	0.854662	5.069020	-2.611561	-0.053691	0.732489	-2.010277	-525.473396	0.000000	
-0.733280	0.504776	2.998945	0.940328	0.384081	0.299821	-115.140239	303.296037	0.000000	
3.612885	1.498101	9.125250	-7.776470	-0.891362	1.159884	74.678799	-862.216732	0.000000	
4.151572	1.640119	8.171408	-8.983438	-0.940575	1.327146	85.811601	-1111.449153	0.000000	
-2.113273	0.467252	1.447757	3.976641	0.774463	-0.023923	-453.826470	2727.838434	0.000000	
0.441928	0.870211	4.465749	-1.297959	0.193677	0.544105	-49.709387	-302.393753	0.000000	
-0.712871	0.460168	2.738485	1.306167	0.582711	0.272856	-198.967387	466.725947	0.000000	
-0.931726	0.524567	2.394696	1.564698	0.492696	0.290054	-184.701539	640.298037	0.000000	
-2.776667	0.174484	0.324955	5.180997	1.066746	-0.142434	-2804.101589	15912.798788	0.000000	
-8.370200	-1.099045	-8.306901	17.493124	2.827096	-1.346035	283.007515	-2114.090661	0.000000	
-2.734425	0.086484	-0.455604	5.632612	1.220985	-0.197519	2342.386872	-12353.105473	0.000000	
-0.448671	0.640357	2.996959	0.639178	0.383608	0.282008	-120.386482	200.473953	0.000000	
4.858463	1.556813	10.503780	-10.618966	-1.250644	1.429637	92.325938	-1020.095078	0.000000	
4.154562	1.416984	10.595544	-9.844047	-1.158492	1.430015	86.549846	-937.390675	0.000000	
0.470348	0.960257	4.381160	-1.728826	0.161109	0.668996	-43.584097	-407.715179	0.000000	
-0.045601	0.776907	3.862317	-0.307918	0.424416	0.462802	-110.011273	-91.822674	0.000000	
-0.247284	0.464601	4.120777	0.014705	0.334785	0.364501	-78.663608	-3.570400	0.000000	
0.242522	0.470693	3.598653	-0.674856	0.212135	0.452371	-63.517165	-195.681805	0.000000	
-1.550711	0.119887	1.963832	2.769463	0.754197	0.199892	-340.525746	1405.996186	0.000000	
-6.368947	-0.900920	-5.373299	12.928988	2.082100	-0.885837	320.197375	-2416.374993	0.000000	
