NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	38
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-01, 15:14:37	425883.44637840
DATA_INCLUDED	3D
MARKER_NAMES	Chest	ASISL	ASISR	Sacral	supLatThighL	supMedThighL	infLatThighL	infMedThighL	supLatThighR	supMedRightR	infLatThighR	infMedThighR	latKneeL	medKneeL	latKneeR	medKneeR	supAntShankL	supPostShankL	infAntShankL	infPostShankL	supAntShankR	supPostShankR	infAntShankR	infPostShankR	heelLeft	heelRight	toeLeft	toeRight	latAnkleL	medAnkleL	latAnkleR	medAnkleR	lateralFootL	proximalFootL	distalFootL	lateralFootR	proximalFootR	distalFootR
Chest X	Chest Y	Chest Z	ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	Sacral X	Sacral Y	Sacral Z	supLatThighL X	supLatThighL Y	supLatThighL Z	supMedThighL X	supMedThighL Y	supMedThighL Z	infLatThighL X	infLatThighL Y	infLatThighL Z	infMedThighL X	infMedThighL Y	infMedThighL Z	supLatThighR X	supLatThighR Y	supLatThighR Z	supMedRightR X	supMedRightR Y	supMedRightR Z	infLatThighR X	infLatThighR Y	infLatThighR Z	infMedThighR X	infMedThighR Y	infMedThighR Z	latKneeL X	latKneeL Y	latKneeL Z	medKneeL X	medKneeL Y	medKneeL Z	latKneeR X	latKneeR Y	latKneeR Z	medKneeR X	medKneeR Y	medKneeR Z	supAntShankL X	supAntShankL Y	supAntShankL Z	supPostShankL X	supPostShankL Y	supPostShankL Z	infAntShankL X	infAntShankL Y	infAntShankL Z	infPostShankL X	infPostShankL Y	infPostShankL Z	supAntShankR X	supAntShankR Y	supAntShankR Z	supPostShankR X	supPostShankR Y	supPostShankR Z	infAntShankR X	infAntShankR Y	infAntShankR Z	infPostShankR X	infPostShankR Y	infPostShankR Z	heelLeft X	heelLeft Y	heelLeft Z	heelRight X	heelRight Y	heelRight Z	toeLeft X	toeLeft Y	toeLeft Z	toeRight X	toeRight Y	toeRight Z	latAnkleL X	latAnkleL Y	latAnkleL Z	medAnkleL X	medAnkleL Y	medAnkleL Z	latAnkleR X	latAnkleR Y	latAnkleR Z	medAnkleR X	medAnkleR Y	medAnkleR Z	lateralFootL X	lateralFootL Y	lateralFootL Z	proximalFootL X	proximalFootL Y	proximalFootL Z	distalFootL X	distalFootL Y	distalFootL Z	lateralFootR X	lateralFootR Y	lateralFootR Z	proximalFootR X	proximalFootR Y	proximalFootR Z	distalFootR X	distalFootR Y	distalFootR Z	
465.867	725.327	1321.876	416.199	874.139	1029.218	448.829	613.971	1016.458	211.142	714.664	1061.561	368.868	967.226	752.992	438.300	921.021	725.331	337.783	956.923	628.859	423.694	899.697	598.121	420.673	519.239	765.644	468.255	567.163	741.058	410.709	517.888	664.666	447.301	566.306	652.895	315.378	937.671	556.617	365.559	819.560	522.808	327.028	530.311	563.667	358.221	658.972	519.896	291.857	966.955	462.290	221.822	943.469	461.533	289.557	989.920	366.561	220.240	970.508	370.792	319.500	498.167	445.267	243.733	495.863	425.390	304.195	477.903	361.115	250.607	485.964	327.564	183.086	920.199	108.460	215.653	542.213	102.819	473.490	1051.752	60.505	531.354	469.066	60.635	238.514	982.429	129.201	295.741	909.744	132.437	292.771	481.501	134.130	315.968	566.686	130.505	353.975	1048.323	83.075	365.523	970.088	102.099	413.438	1001.506	83.087	407.049	447.561	88.570	400.533	526.940	109.006	451.720	508.149	88.738
465.860	725.298	1321.895	416.274	874.119	1029.243	448.877	613.929	1016.475	211.161	714.662	1061.555	368.862	967.181	753.046	438.309	920.978	725.355	337.831	956.960	628.884	423.705	899.680	598.122	420.682	519.209	765.663	468.251	567.150	741.067	410.671	517.884	664.709	447.295	566.268	652.883	315.464	937.659	556.676	365.529	819.502	522.810	327.053	530.228	563.676	358.226	658.966	519.881	291.854	966.943	462.304	221.853	943.475	461.538	289.555	989.899	366.535	220.266	970.497	370.810	319.224	497.727	445.490	243.504	495.705	425.753	304.166	477.905	361.111	250.568	485.941	327.584	183.112	920.208	108.411	215.659	542.244	102.807	473.484	1051.796	60.498	531.342	469.065	60.646	238.463	982.192	129.279	295.726	909.766	132.443	292.665	481.518	134.039	316.015	566.725	130.540	353.992	1048.333	83.074	365.570	970.086	102.143	413.384	1001.525	83.052	407.112	447.523	88.584	400.547	526.925	109.057	451.661	508.145	88.794
465.837	725.287	1321.887	416.306	874.091	1029.257	448.857	613.895	1016.467	211.220	714.730	1061.568	368.875	967.169	753.032	438.305	920.931	725.297	337.884	956.939	628.922	423.697	899.622	598.133	420.671	519.190	765.632	468.203	567.106	741.043	410.670	517.880	664.698	447.297	566.244	652.894	315.440	937.655	556.673	365.558	819.486	522.828	327.098	530.191	563.703	358.235	658.964	519.921	291.910	966.951	462.356	221.879	943.488	461.553	289.560	989.893	366.515	220.354	970.529	370.866	319.228	497.718	445.481	243.497	495.685	425.760	304.167	477.921	361.118	250.567	485.951	327.614	183.124	920.254	108.432	215.641	542.265	102.809	473.465	1051.812	60.494	531.347	469.053	60.647	238.407	982.205	129.285	295.715	909.748	132.417	292.629	481.554	134.016	316.004	566.738	130.517	353.940	1048.380	83.087	365.524	970.088	102.111	413.378	1001.592	82.955	407.071	447.588	88.576	400.512	526.937	109.010	451.693	508.119	88.744
465.825	725.318	1321.922	416.324	874.036	1029.237	448.886	613.840	1016.493	211.228	713.767	1062.170	368.889	967.159	752.942	438.340	920.901	725.292	337.343	956.473	628.752	423.965	900.052	598.079	421.684	518.458	766.114	468.214	567.080	741.057	411.157	517.320	664.988	447.266	566.200	652.869	315.412	937.641	556.609	365.495	819.436	522.677	326.225	530.483	563.517	358.233	658.974	519.938	292.321	967.391	462.200	221.829	943.646	461.738	289.589	989.811	366.596	220.158	970.874	370.955	319.440	498.029	445.350	243.687	495.888	425.400	304.113	477.763	361.205	249.977	486.032	327.703	183.121	920.234	108.454	215.639	542.266	102.792	473.012	1051.021	61.043	531.357	469.074	60.655	238.470	982.280	129.385	295.788	910.077	131.966	291.791	480.753	134.050	316.364	566.860	131.046	354.407	1048.950	82.637	365.297	969.416	102.834	413.362	1001.562	82.996	406.932	447.170	88.521	400.524	526.933	108.973	451.670	508.188	88.795
465.926	725.278	1321.556	416.257	874.063	1028.936	449.032	613.913	1016.559	211.284	713.836	1062.439	369.130	966.862	753.089	438.450	920.893	725.352	337.579	956.417	628.742	423.976	899.876	597.956	421.632	518.728	765.988	468.572	567.135	741.126	411.338	517.576	665.016	447.533	566.349	652.996	315.845	937.878	556.606	365.674	819.667	522.701	326.578	530.378	563.254	358.031	658.977	519.641	292.421	967.801	462.199	221.969	943.475	461.671	289.710	989.849	366.167	220.184	970.915	370.944	319.455	497.793	445.520	244.143	495.119	425.591	304.225	478.301	361.184	250.914	486.387	327.373	183.438	920.490	108.455	216.757	542.657	102.722	473.865	1052.047	60.467	531.657	469.303	60.683	238.566	982.249	129.355	295.852	910.055	131.900	292.012	480.766	133.982	316.627	567.190	130.795	354.832	1048.750	82.455	365.831	969.635	102.339	414.306	1001.487	82.811	407.517	447.076	88.411	400.472	526.987	108.498	452.551	508.149	88.007
465.896	725.240	1321.581	416.302	874.033	1028.915	448.967	613.820	1016.442	211.205	713.641	1062.108	369.100	966.776	753.001	438.538	920.863	725.335	337.645	956.370	628.775	424.007	899.845	597.928	421.617	518.700	765.966	468.446	567.118	740.966	411.235	517.576	664.893	447.422	566.325	652.805	315.479	937.422	556.527	365.683	819.606	522.648	326.312	530.630	563.293	357.973	658.944	519.607	292.207	967.218	462.192	222.019	943.465	461.685	289.741	989.829	366.141	220.206	970.903	370.905	319.434	497.701	445.536	243.905	495.532	425.578	304.123	477.976	361.193	250.188	485.700	327.633	183.282	919.922	108.446	216.719	542.628	102.598	473.661	1050.975	60.610	531.533	469.188	60.624	238.576	982.242	129.350	295.887	910.094	131.938	291.881	480.873	133.814	316.645	567.194	130.778	354.927	1048.718	82.440	365.970	969.595	102.330	413.928	1001.777	82.811	407.323	447.268	88.403	400.453	526.969	108.428	452.194	508.263	88.071
465.906	725.221	1321.555	416.303	873.979	1028.927	448.982	613.792	1016.430	211.205	713.581	1062.136	368.533	966.743	752.584	438.500	920.829	725.327	337.627	956.312	628.737	424.018	899.799	597.900	421.643	518.712	766.028	468.438	567.090	740.961	411.234	517.569	664.917	447.420	566.287	652.816	315.509	937.371	556.527	365.695	819.638	522.661	326.242	530.641	563.312	357.914	658.878	519.587	292.223	967.178	462.201	222.046	943.426	461.720	289.718	989.766	366.113	220.193	970.863	370.913	319.442	497.686	445.511	243.927	495.451	425.640	304.134	477.941	361.166	250.192	485.618	327.668	183.322	919.882	108.439	216.735	542.617	102.615	473.719	1050.942	60.595	531.536	469.165	60.625	238.558	982.195	129.366	295.855	910.073	131.910	291.928	480.858	133.827	316.708	567.199	130.812	354.933	1048.649	82.446	365.968	969.623	102.269	414.002	1001.770	82.773	407.312	447.229	88.405	400.444	526.977	108.389	452.201	508.261	88.035
465.889	725.211	1321.529	416.309	873.954	1028.903	448.994	613.731	1016.422	211.306	713.559	1062.135	368.559	966.697	752.602	438.556	920.791	725.317	337.700	956.288	628.732	424.034	899.717	597.887	421.612	518.664	766.027	468.433	567.065	740.936	411.220	517.555	664.946	447.449	566.254	652.816	315.518	937.320	556.495	365.709	819.559	522.670	326.241	530.626	563.318	357.878	658.871	519.599	292.204	967.128	462.199	221.999	943.403	461.679	289.732	989.749	366.121	220.193	970.852	370.920	319.429	497.646	445.541	243.890	495.464	425.618	304.128	477.922	361.173	250.208	485.562	327.672	183.304	919.846	108.447	216.729	542.596	102.604	473.727	1050.919	60.567	531.543	469.149	60.597	238.579	982.174	129.353	295.889	910.054	131.886	291.923	480.795	133.843	316.680	567.186	130.758	354.967	1048.686	82.421	366.053	969.897	101.893	413.994	1001.756	82.822	407.320	447.280	88.393	400.453	526.943	108.385	452.175	508.265	88.040
465.885	725.200	1321.546	416.354	873.908	1028.897	449.002	613.713	1016.431	211.303	713.559	1062.075	368.585	966.644	752.594	438.602	920.751	725.270	337.669	956.245	628.724	424.051	899.706	597.886	421.549	518.611	765.950	468.429	567.024	740.955	411.217	517.532	664.922	447.412	566.251	652.813	315.485	937.267	556.512	365.724	819.552	522.674	326.179	530.613	563.292	357.848	658.767	519.663	292.219	967.104	462.185	222.032	943.345	461.704	289.701	989.714	366.099	220.223	970.864	370.984	319.401	497.644	445.518	243.920	495.463	425.646	304.139	477.865	361.188	250.175	485.570	327.637	183.314	919.835	108.422	216.744	542.597	102.616	473.795	1050.880	60.576	531.531	469.145	60.609	238.553	982.166	129.355	295.862	910.071	131.868	291.868	480.813	133.816	316.652	567.210	130.718	354.982	1048.639	82.398	366.003	969.602	102.243	414.006	1001.816	82.768	407.299	447.224	88.370	400.487	526.935	108.282	452.187	508.255	88.071
465.841	725.190	1321.534	416.346	873.870	1028.878	449.009	613.656	1016.420	211.309	713.611	1062.126	368.673	966.648	752.603	438.611	920.710	725.251	337.681	956.218	628.713	424.058	899.656	597.872	421.577	518.605	765.968	468.435	566.990	740.967	411.184	517.512	664.939	447.429	566.197	652.837	315.557	937.258	556.533	365.730	819.554	522.680	326.248	530.574	563.328	357.831	658.775	519.578	292.266	967.083	462.239	222.070	943.346	461.686	289.741	989.694	366.059	220.261	970.845	370.972	319.408	497.616	445.516	243.900	495.434	425.646	304.121	477.874	361.182	250.111	485.531	327.666	183.324	919.860	108.433	216.758	542.629	102.608	473.767	1050.887	60.582	531.550	469.164	60.654	238.555	982.174	129.373	295.893	910.056	131.882	291.880	480.828	133.794	316.677	567.190	130.721	354.979	1048.644	82.431	366.089	969.914	101.869	413.969	1001.788	82.760	407.252	447.233	88.368	400.418	526.945	108.350	452.192	508.265	88.106
465.830	725.205	1321.543	416.411	873.836	1028.869	448.971	613.619	1016.421	211.252	713.537	1062.107	369.294	966.567	753.048	438.621	920.690	725.258	337.741	956.222	628.710	424.091	899.636	597.874	421.584	518.562	765.983	468.457	566.964	740.938	411.227	517.471	664.919	447.402	566.169	652.807	315.565	937.257	556.523	365.711	819.529	522.640	326.179	530.582	563.303	357.839	658.771	519.623	292.260	967.045	462.219	222.084	943.357	461.687	289.761	989.692	366.080	220.235	970.814	370.983	319.428	497.597	445.523	243.838	495.481	425.642	304.118	477.843	361.170	250.120	485.502	327.667	183.315	919.845	108.414	216.732	542.619	102.614	473.814	1050.877	60.564	531.517	469.159	60.640	238.549	982.184	129.394	295.895	910.057	131.880	291.808	480.804	133.809	316.717	567.203	130.743	354.981	1048.643	82.407	365.980	969.641	102.176	413.937	1001.809	82.767	407.278	447.258	88.338	400.415	526.933	108.335	452.184	508.274	88.068
465.805	725.158	1321.529	416.409	873.797	1028.854	448.975	613.584	1016.417	211.307	713.605	1062.033	368.734	966.576	752.603	438.681	920.627	725.247	337.762	956.237	628.713	424.118	899.591	597.831	421.553	518.543	765.988	468.431	566.949	740.930	411.178	517.431	664.924	447.392	566.144	652.803	315.595	937.239	556.515	365.754	819.512	522.653	326.118	530.570	563.312	357.829	658.685	519.684	292.258	967.028	462.226	222.124	943.362	461.722	289.784	989.645	366.059	220.287	970.815	371.007	319.415	497.588	445.510	243.876	495.422	425.631	304.112	477.863	361.176	250.081	485.536	327.688	183.314	919.830	108.420	216.719	542.632	102.598	473.799	1050.858	60.558	531.499	469.157	60.611	238.563	982.177	129.377	295.897	910.053	131.843	292.009	480.823	133.945	316.691	567.216	130.763	354.972	1048.687	82.375	366.112	969.879	101.863	413.910	1001.856	82.728	407.267	447.246	88.352	400.431	526.918	108.343	452.171	508.278	88.055
465.804	725.168	1321.544	416.428	873.706	1028.781	449.002	613.528	1016.449	211.362	713.620	1062.022	368.763	966.530	752.562	438.751	920.617	725.259	337.818	956.223	628.718	424.148	899.535	597.833	421.554	518.481	765.987	468.436	566.886	740.971	411.186	517.427	664.912	447.390	566.116	652.796	315.636	937.232	556.514	365.801	819.426	522.626	326.146	530.554	563.287	357.865	658.652	519.710	292.270	967.022	462.192	222.083	943.343	461.703	289.766	989.638	366.079	220.259	970.792	370.982	319.410	497.569	445.501	243.850	495.378	425.634	304.132	477.868	361.178	250.051	485.498	327.682	183.333	919.822	108.426	216.744	542.635	102.576	473.801	1050.862	60.562	531.526	469.188	60.611	238.550	982.164	129.366	295.927	910.038	131.857	291.852	480.872	133.787	316.720	567.208	130.752	354.999	1048.654	82.391	366.030	969.621	102.203	413.932	1001.866	82.679	407.294	447.258	88.336	400.474	526.921	108.262	452.141	508.283	88.063
