NO_OF_SAMPLES	12000
FREQUENCY	2400
TIME_STAMP	2020-02-01, 15:14:37	425883.44637840
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded Force Plate
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-0.080098	2.049328	1004.369776	128.535487	35.832587	3.730404	-36.459613	127.048975	0.000000	
-3.104670	1.485875	999.188413	135.811946	36.650399	2.970804	-37.293228	135.026021	0.000000	
-1.499540	1.725149	1002.645124	131.419813	36.327981	3.459495	-36.935627	130.163768	0.000000	
1.079064	2.462133	1006.097752	125.177136	35.273605	4.054472	-35.907396	123.468354	0.000000	
1.616543	2.296409	1006.093851	123.151037	35.114399	4.159897	-35.779265	121.464251	0.000000	
-1.059052	1.642546	1002.640563	130.472099	35.931939	3.422476	-36.565443	129.223768	0.000000	
-5.380737	0.927665	995.906018	141.926493	37.523803	2.286820	-38.162309	141.644862	0.000000	
-2.392318	1.671707	1000.570766	133.659096	36.308182	3.151509	-36.940717	132.676308	0.000000	
0.186858	2.275355	1004.888731	127.286965	35.524623	3.784336	-36.149631	125.727875	0.000000	
-1.544200	1.728024	1001.086251	131.418840	36.117752	3.365962	-36.779412	130.366589	0.000000	
-1.900809	1.586963	1000.741661	133.185234	36.306634	3.312895	-36.960554	132.184753	0.000000	
-2.299901	1.674776	998.493164	134.088424	36.463113	3.183064	-37.176301	133.383867	0.000000	
1.212338	2.242443	1005.576034	125.176560	35.062759	4.034855	-35.723378	123.544519	0.000000	
2.588780	2.700936	1009.206531	121.000513	34.741192	4.363111	-35.355592	118.933717	0.000000	
3.304390	2.841810	1009.897023	119.235036	34.310299	4.596195	-34.945045	117.095841	0.000000	
0.722601	1.881059	1006.269489	126.295869	35.519948	3.947648	-36.126335	124.591306	0.000000	
1.217494	2.422829	1006.097593	124.142460	35.238750	4.143016	-35.880478	122.442159	0.000000	
2.772278	2.305728	1009.031264	120.482456	34.497207	4.451083	-35.129999	118.463073	0.000000	
4.009204	2.893291	1010.410956	118.115537	34.155561	4.614630	-34.813666	115.925046	0.000000	
2.814883	2.524688	1008.512946	121.301644	34.652543	4.469106	-35.304044	119.324465	0.000000	
3.569689	2.664524	1010.587736	119.278477	34.310473	4.651547	-34.936600	117.068083	0.000000	
0.817726	1.974712	1005.751056	125.261448	35.273641	4.034901	-35.904960	123.622217	0.000000	
2.334373	2.123611	1009.034592	121.085184	34.468272	4.486903	-35.076859	119.070138	0.000000	
2.602774	2.483385	1007.130619	120.869354	34.469334	4.536637	-35.157690	119.062430	0.000000	
2.773533	2.614942	1008.341091	120.870623	34.620231	4.504168	-35.275581	118.912463	0.000000	
-1.459443	1.370954	1001.775763	132.107966	36.332434	3.332215	-36.973688	130.984203	0.000000	
-2.304655	1.316840	999.875589	134.562443	36.676102	3.132769	-37.338739	133.692491	0.000000	
-0.704105	1.643625	1003.677809	130.085222	35.960169	3.532328	-36.576437	128.703863	0.000000	
-2.788250	1.004936	1000.050450	134.389103	36.462345	3.078227	-37.091469	133.513140	0.000000	
-1.728942	0.926986	1001.427089	132.494316	36.243741	3.151674	-36.882622	131.440767	0.000000	
-0.651270	1.382773	1002.984903	129.265191	35.714871	3.618820	-36.359550	127.990341	0.000000	
-2.801573	1.088591	999.874881	135.811704	36.620952	2.864538	-37.255722	134.954811	0.000000	
-0.259832	1.691081	1003.848805	129.526032	35.595429	3.621744	-36.231831	128.122103	0.000000	
0.856984	1.970331	1005.923379	126.339194	35.460065	4.000776	-36.086459	124.672545	0.000000	
1.261671	1.933740	1006.440912	124.529773	35.028713	4.125376	-35.662277	122.812215	0.000000	
-2.073438	1.054372	1001.260141	133.055028	36.063137	3.330730	-36.688958	132.015686	0.000000	
-1.277860	1.239771	1002.640734	131.332907	36.025865	3.440589	-36.646870	130.104826	0.000000	
-0.037691	1.609304	1004.365730	128.103402	35.649795	3.621653	-36.280129	126.643865	0.000000	
-1.948667	0.967104	1001.256550	133.269913	36.397800	3.187939	-37.030322	132.235668	0.000000	
1.169096	1.841251	1005.920937	125.735919	35.216055	4.053680	-35.861380	124.080324	0.000000	
2.150037	2.078234	1007.475073	122.204084	34.777326	4.287329	-35.426432	120.368836	0.000000	
-0.875333	1.289481	1002.466043	130.428288	35.780657	3.546857	-36.431044	129.222465	0.000000	
2.189505	2.253039	1007.994442	122.549807	34.869445	4.253467	-35.502170	120.639647	0.000000	
3.926851	2.539559	1010.410928	117.942057	34.124030	4.685493	-34.777888	115.772999	0.000000	
2.820220	2.129063	1008.511470	120.654149	34.437816	4.503467	-35.091477	118.704621	0.000000	
1.521059	1.714829	1006.089688	124.615427	34.970172	3.999019	-35.630732	122.952717	0.000000	
2.902152	1.994909	1008.854845	121.042048	34.500472	4.397051	-35.146464	119.055898	0.000000	
3.299878	2.219305	1009.199855	120.569095	34.498881	4.469732	-35.155253	118.533802	0.000000	
2.454819	1.769849	1006.430900	122.849469	34.721899	4.177697	-35.424289	121.153015	0.000000	
3.608848	2.267863	1008.851269	120.095082	34.437418	4.468659	-35.123389	118.102484	0.000000	
3.307452	2.132867	1008.508467	120.266754	34.346415	4.574986	-35.028056	118.320639	0.000000	
-0.165949	1.693850	1003.329960	129.137788	35.533498	3.709701	-36.193685	127.801667	0.000000	
0.770992	1.572093	1004.536808	126.940613	35.373065	3.961498	-36.043773	125.466699	0.000000	
2.588135	1.769457	1008.335050	122.032307	34.505057	4.252929	-35.151249	120.112308	0.000000	
-0.832840	1.067721	1002.810330	130.514206	35.781057	3.511631	-36.421584	129.275905	0.000000	
-1.730560	0.835682	1000.907137	133.442019	36.339212	3.133431	-36.996666	132.461433	0.000000	
-1.683035	1.144461	1001.602514	133.141914	36.215892	3.260550	-36.851066	132.051982	0.000000	
-1.775671	1.143797	1000.389770	133.830758	36.159721	3.132824	-36.833441	132.901663	0.000000	
-1.866036	0.922274	999.869028	134.303387	36.464799	3.060331	-37.152261	133.456425	0.000000	
0.459369	1.172423	1003.669852	127.541965	35.436711	3.815969	-36.120220	126.197274	0.000000	
0.904901	1.220210	1005.053301	126.379913	35.219319	3.961571	-35.880157	124.863568	0.000000	
1.386912	1.537092	1004.703794	125.432697	35.065698	3.906707	-35.766381	123.946809	0.000000	
0.590066	1.219187	1004.014678	126.939081	35.313271	3.780390	-35.992442	125.550566	0.000000	
3.396989	1.822446	1009.372271	120.137275	34.375518	4.612370	-35.032564	118.107665	0.000000	
1.924140	1.803374	1007.128541	124.358308	34.938151	4.216591	-35.585453	122.564821	0.000000	
0.012822	1.209658	1004.191872	128.447364	35.499948	3.728344	-36.139874	127.030788	0.000000	
0.542738	1.484135	1004.015822	127.068881	35.465085	3.745219	-36.140964	125.664896	0.000000	
1.030739	1.531646	1005.052229	126.165419	35.158656	3.854359	-35.826862	124.632900	0.000000	
-0.569532	1.245898	1002.116615	130.816308	35.723196	3.510674	-36.403255	129.657447	0.000000	
1.520172	1.755772	1006.782904	125.004098	35.001438	4.036977	-35.637746	123.251270	0.000000	
1.831826	1.539756	1006.260136	124.442970	34.939681	4.052922	-35.611856	122.770131	0.000000	
1.971169	1.719229	1006.608336	123.667949	34.875133	4.214507	-35.543452	121.947444	0.000000	
