NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	38
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-01, 15:40:43	427449.83163350
DATA_INCLUDED	3D
MARKER_NAMES	Chest	ASISL	ASISR	Sacral	supLatThighL	supMedThighL	infLatThighL	infMedThighL	supLatThighR	supMedRightR	infLatThighR	infMedThighR	latKneeL	medKneeL	latKneeR	medKneeR	supAntShankL	supPostShankL	infAntShankL	infPostShankL	supAntShankR	supPostShankR	infAntShankR	infPostShankR	heelLeft	heelRight	toeLeft	toeRight	latAnkleL	medAnkleL	latAnkleR	medAnkleR	lateralFootL	proximalFootL	distalFootL	lateralFootR	proximalFootR	distalFootR
Chest X	Chest Y	Chest Z	ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	Sacral X	Sacral Y	Sacral Z	supLatThighL X	supLatThighL Y	supLatThighL Z	supMedThighL X	supMedThighL Y	supMedThighL Z	infLatThighL X	infLatThighL Y	infLatThighL Z	infMedThighL X	infMedThighL Y	infMedThighL Z	supLatThighR X	supLatThighR Y	supLatThighR Z	supMedRightR X	supMedRightR Y	supMedRightR Z	infLatThighR X	infLatThighR Y	infLatThighR Z	infMedThighR X	infMedThighR Y	infMedThighR Z	latKneeL X	latKneeL Y	latKneeL Z	medKneeL X	medKneeL Y	medKneeL Z	latKneeR X	latKneeR Y	latKneeR Z	medKneeR X	medKneeR Y	medKneeR Z	supAntShankL X	supAntShankL Y	supAntShankL Z	supPostShankL X	supPostShankL Y	supPostShankL Z	infAntShankL X	infAntShankL Y	infAntShankL Z	infPostShankL X	infPostShankL Y	infPostShankL Z	supAntShankR X	supAntShankR Y	supAntShankR Z	supPostShankR X	supPostShankR Y	supPostShankR Z	infAntShankR X	infAntShankR Y	infAntShankR Z	infPostShankR X	infPostShankR Y	infPostShankR Z	heelLeft X	heelLeft Y	heelLeft Z	heelRight X	heelRight Y	heelRight Z	toeLeft X	toeLeft Y	toeLeft Z	toeRight X	toeRight Y	toeRight Z	latAnkleL X	latAnkleL Y	latAnkleL Z	medAnkleL X	medAnkleL Y	medAnkleL Z	latAnkleR X	latAnkleR Y	latAnkleR Z	medAnkleR X	medAnkleR Y	medAnkleR Z	lateralFootL X	lateralFootL Y	lateralFootL Z	proximalFootL X	proximalFootL Y	proximalFootL Z	distalFootL X	distalFootL Y	distalFootL Z	lateralFootR X	lateralFootR Y	lateralFootR Z	proximalFootR X	proximalFootR Y	proximalFootR Z	distalFootR X	distalFootR Y	distalFootR Z	
90.536	754.086	1292.652	142.235	597.246	1026.083	111.606	862.792	1015.132	351.723	756.655	1049.597	117.690	493.188	788.103	63.491	560.048	773.643	140.881	511.287	664.508	67.030	589.447	648.682	118.071	962.872	827.774	61.277	924.795	806.256	115.011	973.705	727.176	69.069	932.688	716.402	160.551	528.006	552.906	138.319	650.132	519.707	173.801	956.819	560.584	137.597	834.100	516.521	187.005	488.805	450.073	260.421	498.890	455.496	190.333	473.217	353.554	262.744	478.938	362.466	177.255	993.733	434.373	253.909	999.015	425.017	201.477	1013.069	352.340	260.344	1008.374	327.888	337.910	511.465	106.791	331.768	961.285	103.138	22.928	463.519	65.358	11.530	1000.630	63.347	264.781	466.621	131.687	229.787	551.914	132.006	247.620	1013.392	134.860	234.478	927.384	130.724	134.901	436.675	84.279	146.446	516.524	103.436	92.741	499.632	85.272	134.332	1035.746	87.596	147.075	956.316	108.027	94.725	969.373	88.725
90.261	753.922	1292.604	142.232	597.180	1025.996	111.193	862.534	1014.904	351.682	756.741	1049.739	117.587	493.163	788.027	63.465	560.010	773.603	140.762	511.241	664.469	66.959	589.420	648.614	118.002	962.785	827.743	61.246	924.654	806.209	114.908	973.604	727.148	69.045	932.567	716.360	160.418	527.967	552.871	138.348	650.168	519.593	173.754	956.781	560.572	137.545	834.051	516.469	186.872	488.777	450.015	260.270	498.845	455.436	190.182	473.211	353.506	262.643	478.911	362.462	177.258	993.666	434.427	253.877	999.002	425.004	201.367	1012.985	352.294	260.393	1008.382	327.903	337.981	511.471	106.812	331.780	961.277	103.113	22.941	463.529	65.395	11.541	1000.656	63.348	264.826	466.609	131.658	229.855	551.972	132.087	247.638	1013.408	134.845	234.499	927.362	130.747	134.972	436.657	84.286	146.460	516.433	103.428	92.776	499.651	85.285	134.375	1035.738	87.567	147.121	956.308	108.032	94.392	969.532	88.424
90.082	753.787	1292.637	142.210	597.063	1025.925	111.122	862.400	1014.879	351.581	756.707	1049.764	117.503	493.032	788.032	63.497	560.007	773.547	140.629	511.191	664.423	66.844	589.398	648.625	117.097	961.983	827.564	61.178	924.542	806.195	114.788	973.524	727.149	68.987	932.503	716.326	160.228	527.952	552.808	138.208	650.135	519.555	173.723	956.720	560.577	137.625	834.026	516.458	186.684	488.747	449.967	260.096	498.830	455.426	190.063	473.191	353.373	262.509	478.892	362.432	177.272	993.623	434.416	253.883	998.938	425.073	201.279	1012.919	352.241	260.371	1008.375	327.932	337.968	511.472	106.805	331.797	961.298	103.149	22.937	463.542	65.407	11.536	1000.661	63.361	264.828	466.601	131.684	229.856	551.975	132.036	247.621	1013.430	134.819	234.474	927.362	130.748	134.989	436.651	84.317	146.452	516.519	103.429	92.786	499.669	85.296	134.080	1035.278	87.542	146.973	956.403	108.225	94.655	969.545	88.021
89.876	753.629	1292.656	142.078	597.041	1025.804	110.997	862.367	1014.861	351.514	756.794	1049.446	118.879	493.000	787.754	63.292	560.029	773.530	140.540	511.210	664.173	66.739	589.353	648.605	117.754	962.859	827.843	61.073	924.432	806.179	114.753	973.715	727.132	68.836	932.353	716.317	159.834	527.986	552.639	138.086	650.140	519.533	174.441	957.444	560.886	137.603	833.886	516.416	186.487	488.418	450.008	260.060	498.775	455.103	189.947	473.175	353.309	262.385	478.805	362.505	177.258	994.292	435.059	253.897	998.902	425.091	201.466	1012.965	352.402	260.277	1009.597	327.652	337.957	511.447	106.832	331.784	961.303	103.147	22.940	463.536	65.435	11.530	1000.664	63.370	264.707	467.075	131.017	229.623	551.658	132.073	248.867	1014.222	135.401	234.375	927.387	130.755	135.189	436.702	84.222	146.447	516.513	103.434	92.800	499.628	85.293	131.807	1035.269	88.560	146.492	957.273	109.097	94.658	969.525	88.039
89.499	753.478	1292.654	141.737	596.519	1025.998	112.214	862.373	1016.025	351.416	756.693	1049.393	118.540	492.989	787.815	63.240	560.037	773.547	140.300	510.754	664.214	66.826	589.377	648.596	117.128	962.544	827.642	60.923	923.971	805.993	114.369	973.345	726.895	68.841	931.678	716.165	159.590	527.567	552.600	137.333	649.863	519.686	173.848	956.491	560.402	136.940	833.224	516.446	186.103	488.195	449.987	259.640	498.594	455.402	189.665	473.260	353.589	261.991	478.485	362.767	176.392	993.864	434.393	253.436	998.413	425.184	201.450	1013.096	352.248	259.841	1009.205	327.722	337.814	511.235	106.962	331.715	961.058	103.122	22.782	463.230	65.590	11.544	1000.712	63.289	264.812	466.896	131.073	229.727	551.497	132.077	248.307	1013.391	134.813	234.406	927.062	130.699	134.742	436.213	84.546	146.664	516.616	103.431	92.853	499.623	85.211	132.107	1035.370	88.416	146.774	957.343	108.949	94.796	969.717	87.827
89.273	753.289	1292.657	142.198	596.705	1025.211	111.915	862.238	1015.567	351.272	756.693	1049.463	118.383	492.871	787.775	63.182	559.964	773.558	139.938	510.898	664.224	66.682	589.360	648.546	117.027	962.472	827.602	60.896	923.825	806.002	114.229	973.285	726.816	68.829	931.466	716.164	159.348	527.833	552.433	137.213	649.820	519.661	173.849	956.638	560.448	137.074	833.349	516.425	186.087	488.525	449.783	259.679	498.769	454.955	189.868	473.321	352.908	262.166	478.828	362.353	176.371	993.550	434.435	253.978	998.778	424.850	201.496	1012.974	352.380	260.372	1009.704	327.496	338.016	511.586	106.652	332.095	961.425	103.193	22.973	463.297	65.403	11.546	1000.656	63.338	264.797	466.863	131.088	229.805	551.472	132.083	248.362	1013.384	134.790	234.356	927.090	130.673	135.340	436.532	84.000	146.710	516.518	103.445	92.941	499.574	85.253	132.147	1035.377	88.395	146.999	957.459	108.921	94.433	969.829	88.370
88.939	753.171	1292.651	141.957	596.904	1025.091	112.202	862.424	1015.701	351.144	756.671	1049.509	118.165	492.825	787.730	62.993	560.029	773.558	139.740	510.859	664.168	66.545	589.377	648.541	116.857	962.435	827.585	60.818	923.684	805.948	114.130	973.186	726.802	68.783	931.406	716.123	159.139	527.801	552.395	136.952	649.774	519.634	174.189	956.920	560.549	136.898	833.050	516.416	185.917	488.485	449.706	259.497	498.719	454.915	189.728	473.344	352.759	262.046	478.806	362.317	176.384	993.485	434.429	253.967	998.676	424.846	201.486	1012.875	352.364	260.378	1009.597	327.565	338.016	511.557	106.620	332.129	961.441	103.165	22.976	463.326	65.410	11.548	1000.666	63.316	264.829	466.817	131.114	229.748	551.437	132.043	248.387	1013.316	134.831	234.383	927.075	130.678	135.311	436.556	83.999	146.731	516.568	103.486	92.909	499.587	85.244	132.188	1035.357	88.397	146.773	957.245	108.976	94.922	969.699	87.814
88.861	753.016	1292.650	141.885	596.719	1024.987	112.012	862.304	1015.645	351.047	756.594	1049.536	117.961	492.791	787.744	62.890	559.919	773.592	139.520	510.768	664.138	66.440	589.346	648.508	116.749	962.341	827.578	60.713	923.556	805.918	114.018	973.097	726.823	68.689	931.265	716.138	158.920	527.739	552.319	136.802	649.700	519.605	174.179	956.844	560.583	136.901	832.970	516.378	185.760	488.448	449.673	259.308	498.663	454.906	189.662	473.251	352.683	261.929	478.738	362.300	176.789	993.780	434.718	254.045	998.557	424.856	201.550	1012.852	352.415	260.451	1009.555	327.605	338.024	511.533	106.627	332.151	961.432	103.182	23.007	463.294	65.408	11.588	1000.643	63.309	264.823	466.796	131.093	229.745	551.430	132.038	248.410	1013.302	134.790	234.462	927.036	130.684	135.323	436.541	83.974	146.775	516.536	103.449	92.951	499.595	85.267	132.186	1035.340	88.397	147.162	957.423	108.862	94.451	969.865	88.354
88.786	752.927	1292.670	142.521	596.016	1025.131	111.986	862.183	1015.628	350.865	756.569	1049.537	117.694	492.736	787.723	62.729	559.896	773.607	139.350	510.696	664.095	66.303	589.316	648.487	116.644	962.244	827.566	60.606	923.411	805.914	113.928	973.024	726.777	68.614	931.148	716.081	158.665	527.696	552.290	136.693	649.633	519.568	174.154	956.783	560.567	136.845	832.873	516.393	185.604	488.375	449.613	259.137	498.586	454.883	189.588	473.222	352.684	261.814	478.676	362.310	176.449	993.360	434.512	254.037	998.469	424.886	201.428	1012.727	352.328	260.421	1009.534	327.555	338.054	511.589	106.635	332.130	961.430	103.139	23.007	463.264	65.416	11.599	1000.636	63.341	264.807	466.780	131.086	229.738	551.876	132.410	248.388	1013.271	134.768	234.442	927.034	130.669	135.331	436.519	83.994	146.793	516.562	103.474	92.998	499.559	85.254	132.192	1035.328	88.391	147.179	957.431	108.858	94.490	969.846	88.381
88.644	752.767	1292.620	141.722	596.588	1025.640	111.554	862.121	1015.631	350.763	756.491	1049.562	117.503	492.662	787.661	62.734	559.806	773.558	139.142	510.643	664.069	66.162	589.315	648.484	116.628	962.154	827.591	60.526	923.316	805.919	113.802	972.932	726.798	68.512	931.072	716.074	158.494	527.658	552.253	136.552	649.598	519.481	173.787	956.411	560.468	136.844	832.792	516.349	185.466	488.323	449.545	258.989	498.477	454.899	189.501	473.184	352.647	261.709	478.623	362.279	176.468	993.297	434.509	254.161	998.295	424.951	201.541	1012.696	352.425	260.523	1009.441	327.631	338.029	511.573	106.623	332.190	961.395	103.166	23.068	463.279	65.410	11.601	1000.616	63.349	264.806	466.808	131.094	229.796	551.377	132.069	248.417	1013.266	134.752	234.460	927.013	130.654	135.334	436.505	84.006	146.818	516.544	103.473	92.986	499.562	85.270	132.230	1035.335	88.382	146.905	957.217	108.979	94.920	969.716	87.756
