NO_OF_SAMPLES	12000
FREQUENCY	2400
TIME_STAMP	2020-02-01, 15:40:43	427449.83163350
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded Force Plate
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-3.021373	1.524497	1018.631468	146.942696	-90.968164	4.037104	88.683318	143.358240	0.000000	
-2.316376	1.620448	1019.318941	145.779973	-90.972075	4.074052	88.588005	142.115038	0.000000	
-1.957174	1.670260	1020.703072	144.014377	-91.283150	4.218897	88.751827	140.188697	0.000000	
-1.324956	1.857472	1021.049187	141.860488	-91.534560	4.522637	88.932961	138.021126	0.000000	
-1.061675	1.813883	1021.566352	141.860799	-91.383064	4.542067	88.724782	137.953541	0.000000	
-2.303631	1.845168	1020.708561	143.971250	-91.163888	4.344467	88.653548	140.136072	0.000000	
-0.260137	2.222342	1023.815333	138.976517	-91.789736	4.778176	88.881438	134.809142	0.000000	
-1.676981	1.812020	1020.705323	142.074773	-91.201515	4.504159	88.656249	138.280335	0.000000	
-3.005672	1.399033	1018.807189	145.131277	-90.795923	4.286531	88.497960	141.562303	0.000000	
-4.167212	1.252804	1016.560453	148.404098	-90.387945	3.907637	88.358072	145.104548	0.000000	
-5.414447	0.928761	1014.314061	151.805404	-89.888936	3.564471	88.132527	148.798941	0.000000	
-3.412178	1.527008	1018.635312	145.993275	-90.731757	4.089893	88.472425	142.425506	0.000000	
-2.471602	1.669709	1021.057029	143.194772	-91.138383	4.469570	88.607275	139.337145	0.000000	
-1.852698	2.162757	1021.575099	142.033245	-91.233483	4.578209	88.621039	138.101995	0.000000	
-2.424245	1.671920	1020.884233	142.849577	-91.018890	4.522725	88.502755	139.022612	0.000000	
-4.607945	1.116894	1017.948249	148.102212	-90.149658	3.910375	88.026745	144.616543	0.000000	
-5.317798	1.110343	1015.874586	149.867418	-90.080932	3.745531	88.179592	146.651385	0.000000	
-4.339670	1.341519	1017.429041	147.757831	-90.180672	3.998864	88.087756	144.339888	0.000000	
-3.625979	1.567239	1019.678703	146.208953	-90.309616	4.290009	87.978860	142.488238	0.000000	
-2.825261	1.620872	1021.232791	143.969772	-90.682343	4.470925	88.164761	140.074594	0.000000	
-3.575897	1.707498	1019.679603	144.398912	-90.529532	4.342019	88.191697	140.705287	0.000000	
-4.420568	1.300778	1017.604024	146.765953	-90.064934	4.105787	87.963198	143.342455	0.000000	
-3.714318	1.527353	1019.504987	145.260066	-90.313650	4.216868	88.002803	141.584119	0.000000	
-2.687048	1.628718	1019.847161	143.020180	-90.624736	4.502688	88.221528	139.334470	0.000000	
-3.173445	1.620964	1020.543688	143.882455	-90.562325	4.504911	88.126366	140.084162	0.000000	
-3.525502	1.531518	1019.506728	144.225833	-90.500221	4.448726	88.175261	140.569201	0.000000	
-3.698915	1.529119	1019.855409	144.355200	-90.440225	4.521279	88.095558	140.647844	0.000000	
-3.439448	1.356047	1019.850558	143.966852	-90.410419	4.395438	88.052481	140.277249	0.000000	
-2.855441	1.628413	1021.928385	141.685358	-90.754601	4.685191	88.176579	137.742887	0.000000	
-2.054532	1.991170	1022.965159	139.791365	-91.004561	4.901589	88.286834	135.731091	0.000000	
-2.227533	2.036184	1021.928406	139.833700	-91.064605	4.916961	88.445454	135.908571	0.000000	
-2.714293	1.851387	1022.623792	140.824619	-90.880536	4.901260	88.231486	136.794736	0.000000	
-3.155537	1.541885	1020.373610	141.683039	-90.421861	4.771081	88.002542	137.956494	0.000000	
-3.025782	1.627985	1021.585063	141.727753	-90.573592	4.791977	88.038648	137.830975	0.000000	
-4.051493	1.440602	1019.510832	144.267794	-90.259609	4.466441	87.967844	140.614793	0.000000	
-5.030833	0.900637	1017.607801	146.634318	-89.795119	4.158665	87.731371	143.234626	0.000000	
-5.168768	1.073674	1017.435691	147.582848	-89.579110	4.087936	87.541645	144.181726	0.000000	
-4.941405	0.944261	1017.434928	146.979210	-89.642183	4.212635	87.591165	143.595677	0.000000	
-4.932946	0.990811	1018.822447	145.600832	-89.740942	4.393731	87.567272	142.043533	0.000000	
-4.305360	1.174994	1020.033448	143.706508	-90.112757	4.645849	87.792367	140.006681	0.000000	
-3.729831	1.225277	1020.722357	142.500996	-90.389607	4.718132	87.972175	138.727837	0.000000	
-4.087035	1.224591	1019.338124	143.059896	-90.325823	4.553981	88.049796	139.465663	0.000000	
-4.621722	0.817375	1019.858424	144.567071	-89.957459	4.448637	87.672699	140.894328	0.000000	
-4.844974	0.817116	1018.300719	145.298187	-89.741379	4.338249	87.608122	141.829091	0.000000	
-5.555373	0.588168	1017.264813	147.063156	-89.310572	4.193787	87.313825	143.721989	0.000000	
-4.929519	0.728010	1018.821328	145.039596	-89.743490	4.410691	87.569681	141.507295	0.000000	
-4.703811	0.555705	1018.646449	144.306241	-89.746277	4.481103	87.575153	140.821288	0.000000	
-3.638838	0.832999	1020.719246	141.507929	-90.151685	4.698957	87.734351	137.776916	0.000000	
-3.954185	0.871876	1020.547238	142.542286	-90.117039	4.574047	87.732660	138.811669	0.000000	
-5.152302	0.370876	1019.513077	145.426517	-89.470455	4.358578	87.254182	141.809900	0.000000	
-5.371560	0.370490	1018.649081	145.684241	-89.438906	4.338744	87.309962	142.183896	0.000000	
-4.742124	0.420294	1019.686880	144.177587	-89.899637	4.626369	87.637501	140.558054	0.000000	
-4.030368	0.518432	1020.202705	142.411474	-90.027632	4.769669	87.679107	138.750039	0.000000	
