NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	38
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-01, 15:35:50	427156.41625180
DATA_INCLUDED	3D
MARKER_NAMES	Chest	ASISL	ASISR	Sacral	supLatThighL	supMedThighL	infLatThighL	infMedThighL	supLatThighR	supMedRightR	infLatThighR	infMedThighR	latKneeL	medKneeL	latKneeR	medKneeR	supAntShankL	supPostShankL	infAntShankL	infPostShankL	supAntShankR	supPostShankR	infAntShankR	infPostShankR	heelLeft	heelRight	toeLeft	toeRight	latAnkleL	medAnkleL	latAnkleR	medAnkleR	lateralFootL	proximalFootL	distalFootL	lateralFootR	proximalFootR	distalFootR
Chest X	Chest Y	Chest Z	ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	Sacral X	Sacral Y	Sacral Z	supLatThighL X	supLatThighL Y	supLatThighL Z	supMedThighL X	supMedThighL Y	supMedThighL Z	infLatThighL X	infLatThighL Y	infLatThighL Z	infMedThighL X	infMedThighL Y	infMedThighL Z	supLatThighR X	supLatThighR Y	supLatThighR Z	supMedRightR X	supMedRightR Y	supMedRightR Z	infLatThighR X	infLatThighR Y	infLatThighR Z	infMedThighR X	infMedThighR Y	infMedThighR Z	latKneeL X	latKneeL Y	latKneeL Z	medKneeL X	medKneeL Y	medKneeL Z	latKneeR X	latKneeR Y	latKneeR Z	medKneeR X	medKneeR Y	medKneeR Z	supAntShankL X	supAntShankL Y	supAntShankL Z	supPostShankL X	supPostShankL Y	supPostShankL Z	infAntShankL X	infAntShankL Y	infAntShankL Z	infPostShankL X	infPostShankL Y	infPostShankL Z	supAntShankR X	supAntShankR Y	supAntShankR Z	supPostShankR X	supPostShankR Y	supPostShankR Z	infAntShankR X	infAntShankR Y	infAntShankR Z	infPostShankR X	infPostShankR Y	infPostShankR Z	heelLeft X	heelLeft Y	heelLeft Z	heelRight X	heelRight Y	heelRight Z	toeLeft X	toeLeft Y	toeLeft Z	toeRight X	toeRight Y	toeRight Z	latAnkleL X	latAnkleL Y	latAnkleL Z	medAnkleL X	medAnkleL Y	medAnkleL Z	latAnkleR X	latAnkleR Y	latAnkleR Z	medAnkleR X	medAnkleR Y	medAnkleR Z	lateralFootL X	lateralFootL Y	lateralFootL Z	proximalFootL X	proximalFootL Y	proximalFootL Z	distalFootL X	distalFootL Y	distalFootL Z	lateralFootR X	lateralFootR Y	lateralFootR Z	proximalFootR X	proximalFootR Y	proximalFootR Z	distalFootR X	distalFootR Y	distalFootR Z	
433.285	610.939	1302.034	407.148	756.476	1028.919	419.836	491.951	1021.784	187.957	611.764	1051.005	412.360	850.225	842.071	471.368	786.641	820.680	386.741	841.754	716.220	461.150	766.659	693.148	411.992	392.064	839.110	467.333	430.875	815.322	409.080	385.814	736.879	452.684	427.479	725.998	359.897	821.860	557.867	377.861	698.533	524.941	344.205	405.620	563.929	377.341	531.636	522.926	338.834	859.668	455.659	265.348	853.699	458.384	337.714	880.914	359.336	266.025	879.201	367.229	344.036	371.591	439.293	266.422	361.891	427.372	322.549	349.441	356.992	265.281	350.796	328.918	199.853	848.513	106.469	199.187	394.798	102.708	516.951	878.343	65.745	522.284	371.700	64.300	274.226	889.057	129.953	305.902	801.546	133.041	284.871	347.388	134.819	298.131	435.444	131.804	404.854	910.896	83.346	391.160	831.278	105.260	446.654	846.282	86.727	403.414	331.186	88.942	384.090	409.834	109.673	437.554	398.788	90.072
433.325	610.937	1302.046	407.067	756.479	1028.932	419.833	491.902	1021.818	187.939	611.784	1051.049	412.440	850.399	841.580	471.316	786.611	820.748	386.561	841.677	716.224	461.096	766.667	693.179	412.014	392.030	839.166	467.308	430.834	815.316	409.035	385.824	736.893	452.675	427.465	725.998	359.867	821.872	557.860	377.362	698.100	525.383	344.280	405.471	563.866	377.343	531.622	522.894	338.836	859.677	455.674	265.335	853.699	458.375	337.710	880.937	359.323	266.049	879.216	367.210	344.019	371.566	439.299	266.461	361.865	427.444	322.555	349.430	356.990	265.278	350.816	328.862	199.860	848.492	106.465	199.186	394.817	102.691	516.946	878.325	65.732	522.292	371.684	64.304	274.176	889.073	129.882	305.871	801.557	133.028	284.892	347.402	134.795	298.129	435.444	131.818	404.855	910.893	83.390	391.164	831.288	105.226	446.699	846.195	86.867	403.441	331.173	88.976	384.069	409.848	109.652	437.593	398.777	90.073
433.333	610.952	1302.061	407.062	756.489	1028.940	419.808	491.933	1021.788	187.870	611.742	1051.024	412.328	850.274	842.078	471.294	786.595	820.718	386.643	841.719	716.299	461.030	766.659	693.122	412.005	392.037	839.154	467.315	430.883	815.319	409.030	385.822	736.917	452.631	427.452	725.987	359.817	821.898	557.864	377.790	698.500	524.915	344.413	405.407	563.980	377.367	531.584	522.910	338.768	859.681	455.642	265.291	853.705	458.375	337.681	880.928	359.306	266.011	879.203	367.217	344.006	371.546	439.314	266.470	361.836	427.444	322.557	349.444	356.976	265.274	350.771	328.900	199.859	848.509	106.444	199.180	394.822	102.670	516.961	878.341	65.729	522.277	371.677	64.309	274.215	889.104	129.903	305.869	801.551	133.027	284.910	347.386	134.767	298.135	435.478	131.789	404.829	910.882	83.390	391.250	831.255	105.206	446.721	846.199	86.894	403.493	331.127	88.990	384.081	409.873	109.683	437.575	398.758	90.026
433.354	610.945	1302.079	407.011	756.494	1028.931	419.784	491.924	1021.797	187.863	611.734	1051.044	412.230	850.270	842.066	471.287	786.605	820.745	390.424	843.335	718.490	461.022	766.676	693.158	412.614	391.488	839.458	467.298	430.841	815.331	409.305	385.486	737.043	452.329	427.435	725.671	359.823	821.905	557.907	377.351	698.049	525.247	343.508	405.706	563.734	377.358	531.611	522.918	339.347	860.174	455.567	266.456	855.049	459.451	337.648	880.927	359.308	265.873	879.326	367.104	344.021	371.452	439.398	266.483	361.858	427.440	322.598	349.244	357.088	264.743	350.925	328.883	199.863	848.521	106.457	199.179	394.802	102.653	517.288	878.142	65.987	522.291	371.669	64.298	273.686	888.876	129.801	305.809	801.794	132.918	283.904	347.412	134.666	298.060	435.500	131.970	405.362	910.883	84.244	391.200	831.254	105.268	446.696	846.256	86.873	403.441	331.152	88.930	384.443	408.460	110.464	437.591	398.779	90.059
433.401	610.939	1301.737	406.977	756.443	1028.740	419.853	492.043	1021.965	187.867	611.702	1051.048	412.483	850.384	841.580	471.200	786.636	820.881	392.428	843.789	719.271	461.076	766.779	693.223	412.214	392.006	839.088	467.546	430.878	815.429	408.757	385.772	736.890	452.259	427.562	725.641	359.933	822.285	557.763	377.057	698.205	525.136	343.574	405.925	563.489	377.246	531.595	522.840	339.283	860.568	455.426	266.391	855.430	459.119	337.947	881.315	359.154	266.256	879.585	366.860	344.119	371.273	439.445	266.987	362.222	427.008	322.423	349.875	356.804	265.085	351.051	328.769	200.400	848.745	106.259	199.593	394.619	102.784	517.524	877.908	66.255	522.463	371.729	64.411	274.214	889.109	129.348	306.162	802.028	132.933	284.325	347.116	134.701	298.484	435.224	131.289	405.780	911.560	83.824	391.967	830.983	105.196	447.497	846.116	86.618	403.945	330.869	88.897	384.868	408.273	110.468	438.265	398.466	89.670
433.410	610.940	1301.735	406.830	756.418	1028.747	419.767	492.003	1021.800	187.573	611.484	1050.971	412.546	850.259	841.783	471.153	786.635	820.867	391.855	843.690	718.863	461.031	766.800	693.211	412.165	392.077	839.104	467.424	430.888	815.303	408.756	385.794	736.933	452.300	427.585	725.650	359.822	821.940	557.753	377.078	698.257	525.277	343.642	405.829	563.528	377.170	531.591	522.820	339.030	859.975	455.348	265.136	854.206	458.391	337.785	881.107	359.058	266.055	879.405	366.934	344.017	371.411	439.372	266.710	361.997	427.126	322.348	349.715	356.879	264.775	350.679	328.854	199.967	848.271	106.451	199.318	394.634	102.850	517.268	877.815	66.282	522.255	371.750	64.315	273.929	888.919	129.569	306.034	802.104	132.831	284.166	347.481	134.472	298.725	435.604	131.496	405.783	911.290	83.724	391.790	831.267	105.121	447.049	846.395	86.620	403.741	330.933	88.872	384.522	408.363	110.249	437.794	398.762	89.707
433.403	610.976	1301.723	406.784	756.381	1028.760	419.787	491.998	1021.804	187.515	611.473	1050.946	412.427	850.337	841.870	471.127	786.654	820.902	391.754	843.691	718.885	460.974	766.810	693.230	412.180	392.073	839.115	467.425	430.903	815.314	408.772	385.797	736.958	452.296	427.613	725.641	359.789	821.936	557.762	376.988	698.227	525.314	343.635	405.784	563.502	377.143	531.590	522.811	339.025	859.948	455.377	265.107	854.237	458.398	337.753	881.099	359.040	266.074	879.435	366.942	344.016	371.420	439.374	266.721	361.979	427.138	322.297	349.735	356.858	264.757	350.667	328.842	199.959	848.253	106.416	199.282	394.637	102.818	517.242	877.840	66.303	522.266	371.733	64.300	274.000	888.957	129.628	306.035	802.122	132.832	284.111	347.514	134.462	298.827	435.657	131.506	405.803	911.318	83.699	391.802	831.258	105.123	447.013	846.428	86.531	403.626	330.954	88.827	384.519	408.370	110.249	437.799	398.755	89.748
433.415	610.984	1301.723	406.697	756.407	1028.726	419.737	492.022	1021.787	187.489	611.451	1050.926	412.327	850.395	841.587	471.093	786.693	820.894	391.725	843.693	718.853	460.930	766.826	693.250	412.166	392.148	839.081	467.430	430.920	815.308	408.790	385.821	736.949	452.299	427.620	725.675	359.740	821.926	557.743	376.957	698.242	525.284	343.753	405.714	563.536	377.113	531.589	522.819	338.952	859.960	455.337	265.064	854.215	458.399	337.719	881.089	359.044	266.090	879.428	366.938	343.999	371.427	439.358	266.676	362.023	427.126	322.309	349.755	356.871	264.743	350.662	328.854	199.973	848.278	106.415	199.296	394.631	102.867	517.195	877.876	66.273	522.240	371.733	64.300	273.944	888.967	129.531	306.040	802.135	132.820	284.097	347.546	134.456	298.862	435.707	131.510	405.838	911.292	83.712	391.866	831.224	105.157	447.054	846.783	86.093	403.670	330.911	88.901	384.518	408.338	110.229	437.760	398.761	89.727
433.426	610.992	1301.732	406.666	756.412	1028.763	419.727	492.035	1021.761	187.460	611.430	1050.927	412.344	850.422	841.601	471.019	786.728	820.897	391.675	843.626	718.883	460.876	766.851	693.244	412.176	392.133	839.088	467.423	430.962	815.323	408.820	385.839	736.969	452.303	427.650	725.657	359.722	821.922	557.763	376.860	698.262	525.286	343.687	405.756	563.552	377.087	531.583	522.831	338.932	859.968	455.374	265.036	854.243	458.395	337.651	881.096	359.024	266.014	879.441	366.937	344.009	371.429	439.367	266.659	362.016	427.122	322.282	349.783	356.864	264.756	350.668	328.839	199.955	848.254	106.441	199.277	394.619	102.847	516.758	878.160	65.926	522.234	371.737	64.328	274.020	888.981	129.595	306.005	802.128	132.845	284.061	347.582	134.442	298.867	435.740	131.467	405.839	911.272	83.678	390.691	832.138	104.571	447.016	846.473	86.580	403.583	330.977	88.828	384.471	408.329	110.229	437.740	398.793	89.701
433.425	610.998	1301.741	406.560	756.414	1028.732	419.692	492.012	1021.795	187.361	611.413	1050.898	412.263	850.436	841.626	470.972	786.765	820.920	391.575	843.614	718.861	460.871	766.864	693.283	412.173	392.213	839.078	467.415	431.018	815.309	408.823	385.828	736.971	452.326	427.678	725.653	359.665	821.948	557.749	376.968	698.309	525.296	343.578	405.773	563.418	377.074	531.588	522.832	338.912	859.948	455.341	265.017	854.251	458.373	337.638	881.084	358.975	266.023	879.445	366.926	344.040	371.421	439.393	266.689	362.000	427.125	322.293	349.799	356.890	264.753	350.650	328.839	199.966	848.289	106.432	199.242	394.636	102.851	517.192	877.921	66.302	522.207	371.748	64.311	273.948	888.977	129.530	306.006	802.139	132.813	284.028	347.629	134.394	298.878	435.757	131.474	405.822	911.312	83.672	391.829	831.297	105.124	447.052	846.456	86.575	403.662	330.928	88.882	384.496	408.318	110.247	437.759	398.803	89.753
433.450	611.006	1301.744	406.476	756.427	1028.744	419.694	492.043	1021.778	187.381	611.387	1050.866	412.159	850.384	841.806	470.943	786.794	820.895	391.523	843.617	718.807	460.821	766.890	693.265	412.196	392.206	839.081	467.418	431.061	815.321	408.836	385.865	736.963	452.332	427.720	725.695	359.646	821.947	557.734	376.890	698.283	525.322	343.706	405.783	563.498	377.051	531.616	522.810	338.831	859.950	455.346	265.005	854.247	458.402	337.637	881.088	359.011	265.995	879.449	366.926	344.013	371.456	439.346	266.656	362.047	427.090	322.306	349.792	356.866	264.753	350.654	328.823	199.946	848.265	106.405	199.249	394.614	102.841	517.199	877.928	66.302	522.175	371.740	64.322	273.956	889.065	129.626	305.987	802.203	132.793	284.025	347.632	134.392	298.877	435.770	131.464	405.853	911.337	83.653	391.828	831.334	105.160	447.057	846.455	86.619	403.655	330.930	88.866	384.472	408.337	110.217	437.762	398.787	89.724
433.442	611.037	1301.704	406.391	756.441	1028.740	419.707	492.057	1021.787	187.287	611.314	1050.884	412.117	850.473	841.588	470.891	786.772	820.962	391.434	843.633	718.810	460.781	766.933	693.289	412.194	392.258	839.059	467.450	431.057	815.316	408.917	385.841	737.030	452.356	427.751	725.661	359.630	821.936	557.781	376.881	698.310	525.340	343.710	405.793	563.536	377.036	531.601	522.836	338.821	859.944	455.321	264.962	854.213	458.356	337.609	881.108	359.002	265.982	879.438	366.922	344.045	371.453	439.363	266.694	362.023	427.071	322.308	349.791	356.838	264.807	350.653	328.839	199.944	848.301	106.395	199.249	394.641	102.836	517.181	878.161	66.232	522.215	371.767	64.321	273.905	888.998	129.511	306.007	802.166	132.822	284.041	347.645	134.373	298.965	435.744	131.509	405.827	911.305	83.653	391.811	831.352	105.112	447.081	846.844	86.160	403.640	330.922	88.892	384.463	408.313	110.260	437.728	398.805	89.709
433.465	611.046	1301.750	406.377	756.466	1028.757	419.692	492.072	1021.785	187.318	611.271	1050.846	412.103	850.499	841.573	470.874	786.828	820.992	391.273	843.670	718.760	460.774	766.953	693.323	412.248	392.275	839.074	467.458	431.110	815.337	408.908	385.863	737.033	452.389	427.787	725.671	359.588	821.957	557.746	376.963	698.352	525.360	343.559	405.839	563.404	377.040	531.627	522.840	338.810	859.957	455.335	264.919	854.191	458.344	337.618	881.097	358.989	265.972	879.458	366.911	344.037	371.466	439.318	266.737	362.000	427.081	322.373	349.771	356.855	264.814	350.616	328.832	199.971	848.250	106.452	199.275	394.647	102.854	516.760	878.306	65.911	522.232	371.737	64.325	273.951	888.999	129.543	306.026	802.155	132.822	284.055	347.595	134.392	298.944	435.715	131.483	405.869	911.352	83.647	390.660	832.186	104.596	447.034	846.555	86.619	403.682	330.944	88.919	384.470	408.335	110.201	437.801	398.705	89.850
433.461	611.054	1301.786	406.320	756.456	1028.751	419.687	492.111	1021.771	187.291	611.266	1050.826	411.987	850.543	841.581	470.863	786.842	820.982	391.198	843.695	718.713	460.757	766.976	693.324	412.253	392.269	839.066	467.475	431.135	815.333	408.972	385.866	737.050	452.379	427.805	725.668	359.584	821.962	557.752	376.862	698.316	525.303	343.572	405.862	563.380	377.015	531.637	522.841	338.800	859.961	455.339	264.942	854.232	458.392	337.595	881.132	359.008	265.727	879.577	366.944	344.078	371.438	439.347	266.738	362.004	427.108	322.378	349.773	356.836	264.847	350.632	328.847	199.966	848.292	106.410	199.287	394.608	102.862	517.228	877.949	66.343	522.198	371.736	64.324	273.905	888.999	129.511	306.022	802.162	132.822	284.063	347.577	134.401	298.939	435.717	131.484	405.870	911.320	83.688	391.881	831.333	105.245	447.009	846.553	86.580	403.668	330.924	88.883	384.466	408.341	110.230	437.751	398.806	89.738
433.485	611.077	1301.755	406.217	756.495	1028.768	419.681	492.105	1021.782	187.222	611.197	1050.840	411.939	850.565	841.599	470.750	786.948	820.939	391.110	843.709	718.695	460.720	767.012	693.345	412.273	392.328	839.075	467.490	431.165	815.343	409.006	385.883	737.081	452.391	427.849	725.689	359.521	821.984	557.763	376.882	698.345	525.333	343.782	405.761	563.525	377.020	531.618	522.854	338.758	859.953	455.326	264.892	854.242	458.391	337.597	881.137	358.993	265.939	879.446	366.893	344.104	371.468	439.340	266.778	362.006	427.078	322.393	349.766	356.851	264.859	350.615	328.852	200.007	848.277	106.390	199.289	394.632	102.855	517.118	878.205	66.265	522.208	371.724	64.322	273.942	889.008	129.509	306.013	802.141	132.845	284.094	347.587	134.439	298.991	435.738	131.441	405.847	911.319	83.666	391.823	831.362	105.180	446.992	846.523	86.610	403.691	330.935	88.911	384.453	408.337	110.214	437.742	398.796	89.752
433.437	611.071	1301.758	406.148	756.503	1028.737	419.678	492.151	1021.773	187.183	611.167	1050.808	411.891	850.586	841.630	470.763	786.917	821.093	390.989	843.746	718.660	460.673	767.054	693.386	412.282	392.330	839.059	467.509	431.186	815.347	409.027	385.888	737.104	452.424	427.888	725.688	359.551	821.972	557.789	376.869	698.342	525.350	343.564	405.880	563.408	377.003	531.660	522.848	338.763	859.951	455.342	264.885	854.198	458.384	337.583	881.162	359.000	265.946	879.450	366.893	344.105	371.464	439.342	266.764	362.016	427.096	322.407	349.770	356.854	264.871	350.603	328.862	199.937	848.280	106.400	199.270	394.630	102.831	517.236	877.966	66.375	522.214	371.722	64.374	273.930	889.036	129.543	305.994	802.182	132.856	284.052	347.601	134.396	298.968	435.780	131.516	405.794	911.345	83.685	391.824	831.397	105.206	447.000	846.520	86.635	403.699	330.953	88.942	384.487	408.337	110.264	437.766	398.718	89.884
433.411	611.130	1301.746	406.065	756.573	1028.716	419.646	492.163	1021.795	187.147	611.127	1050.786	411.847	850.598	841.622	470.688	787.006	820.991	390.913	843.753	718.657	460.651	767.094	693.385	412.325	392.365	839.088	467.497	431.234	815.334	409.033	385.911	737.098	452.438	427.917	725.686	359.513	821.993	557.758	376.850	698.428	525.303	343.591	405.857	563.379	376.985	531.693	522.857	338.726	859.977	455.352	264.850	854.217	458.381	337.532	881.139	359.005	265.940	879.467	366.945	344.125	371.482	439.349	266.816	361.992	427.066	322.418	349.799	356.843	264.836	350.637	328.839	199.891	848.307	106.396	199.237	394.657	102.842	517.189	877.965	66.399	522.198	371.760	64.353	273.909	888.974	129.531	306.009	802.209	132.846	284.000	347.631	134.394	298.953	435.787	131.477	405.854	911.319	83.704	391.878	831.308	105.183	447.010	846.546	86.625	403.733	330.923	88.969	384.457	408.359	110.212	437.722	398.830	89.756
433.394	611.115	1301.769	405.938	756.576	1028.718	419.647	492.201	1021.777	187.103	611.164	1050.746	411.756	850.662	841.613	470.602	787.048	821.006	390.849	843.769	718.640	460.628	767.161	693.396	412.330	392.378	839.086	467.493	431.287	815.333	409.085	385.887	737.162	452.427	427.975	725.660	359.475	821.995	557.769	376.796	698.410	525.336	343.798	405.866	563.543	376.981	531.681	522.839	338.694	859.995	455.335	264.796	854.206	458.364	337.519	881.158	358.973	265.890	879.456	366.908	344.116	371.511	439.307	266.782	362.025	427.071	322.392	349.813	356.816	264.861	350.642	328.857	199.919	848.329	106.383	199.233	394.616	102.851	517.140	878.210	66.286	522.170	371.779	64.341	273.917	889.030	129.517	305.979	802.254	132.812	284.032	347.627	134.427	298.938	435.826	131.504	405.831	911.368	83.674	391.847	831.421	105.212	447.042	846.574	86.624	403.652	330.941	88.906	384.432	408.366	110.198	437.739	398.830	89.752
433.406	611.143	1301.740	405.870	756.575	1028.736	419.607	492.226	1021.774	187.081	611.071	1050.769	411.682	850.669	841.665	470.575	787.087	821.019	390.737	843.797	718.619	460.570	767.161	693.403	412.346	392.385	839.076	467.516	431.309	815.336	409.096	385.896	737.159	452.414	428.014	725.647	359.435	821.987	557.775	376.884	698.452	525.327	343.783	405.861	563.480	376.955	531.707	522.852	338.702	860.007	455.337	264.788	854.225	458.374	337.490	881.172	358.968	265.844	879.469	366.880	344.133	371.519	439.318	266.816	362.054	427.070	322.439	349.813	356.820	264.895	350.642	328.830	199.918	848.325	106.387	199.241	394.638	102.832	517.126	878.182	66.322	522.210	371.760	64.341	273.898	889.012	129.511	305.974	802.225	132.823	284.025	347.654	134.371	298.968	435.827	131.454	405.846	911.362	83.672	391.871	831.379	105.228	447.003	846.575	86.621	403.602	330.983	88.894	384.455	408.352	110.252	437.728	398.838	89.714
433.366	611.168	1301.734	405.811	756.631	1028.733	419.596	492.266	1021.764	187.075	611.047	1050.758	411.600	850.671	841.632	470.504	787.122	821.012	390.651	843.804	718.601	460.524	767.236	693.407	412.330	392.429	839.078	467.520	431.347	815.341	409.155	385.859	737.187	452.437	428.032	725.638	359.442	822.017	557.792	376.844	698.453	525.319	343.719	405.910	563.432	376.969	531.734	522.822	338.668	859.987	455.322	264.795	854.207	458.375	337.480	881.178	358.989	265.621	879.612	366.898	344.164	371.538	439.284	266.817	362.042	427.063	322.460	349.805	356.845	264.887	350.648	328.804	199.899	848.294	106.394	199.218	394.626	102.839	517.110	878.220	66.317	522.190	371.737	64.350	273.876	889.019	129.471	305.961	802.214	132.837	283.995	347.650	134.381	298.977	435.818	131.523	405.802	911.357	83.698	391.729	831.461	105.163	447.041	846.578	86.686	403.548	331.046	88.853	384.446	408.357	110.251	437.716	398.836	89.746
433.361	611.154	1301.699	405.688	756.642	1028.721	419.615	492.273	1021.761	187.016	610.991	1050.739	411.521	850.670	841.623	470.486	787.160	821.035	390.612	843.833	718.609	460.517	767.243	693.379	412.355	392.451	839.060	467.513	431.366	815.320	409.191	385.838	737.217	452.449	428.053	725.635	359.432	822.034	557.775	376.898	698.477	525.341	343.692	405.944	563.429	376.994	531.728	522.850	338.644	860.005	455.361	264.796	854.205	458.364	337.510	881.176	358.980	265.875	879.482	366.871	344.170	371.542	439.283	266.828	362.055	427.039	322.477	349.835	356.828	264.918	350.625	328.868	199.920	848.316	106.391	199.253	394.626	102.806	517.119	878.236	66.355	522.204	371.746	64.359	273.874	889.021	129.473	305.984	802.217	132.814	284.011	347.647	134.407	298.969	435.812	131.464	405.773	911.387	83.681	391.840	831.374	105.232	447.044	846.560	86.634	403.599	330.978	88.854	384.438	408.341	110.224	437.722	398.826	89.769
