NO_OF_SAMPLES	12000
FREQUENCY	2400
TIME_STAMP	2020-02-01, 15:35:50	427156.41625180
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded Force Plate
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
3.403249	-1.586406	1006.225685	13.145591	12.699046	3.932511	-13.597645	12.339918	0.000000	
-4.298313	-3.266013	995.002102	32.219883	15.532602	1.967189	-16.155639	31.753096	0.000000	
2.688632	-1.684398	1006.574855	14.610432	13.006540	3.755330	-13.858852	13.796090	0.000000	
6.471666	-0.712242	1011.755217	5.353336	11.727433	4.710727	-12.737473	4.517837	0.000000	
1.444593	-1.959355	1003.636174	17.149308	13.320679	3.409537	-14.140579	16.383915	0.000000	
4.159442	-1.444269	1008.299896	10.562216	12.263737	4.114298	-13.181646	9.742841	0.000000	
5.763746	-0.983584	1010.892460	6.471908	11.882919	4.583645	-12.862190	5.643966	0.000000	
-2.163868	-2.666094	997.590685	27.010139	14.664141	2.453331	-15.365252	26.412524	0.000000	
5.227256	-1.212371	1009.507705	8.409716	11.922277	4.384540	-12.887923	7.585096	0.000000	
0.370645	-2.728956	1001.558833	21.584124	14.006241	3.031630	-14.792606	20.890610	0.000000	
-5.811964	-3.594884	992.238152	36.655255	16.035949	1.587800	-16.620139	36.332475	0.000000	
4.913557	-1.480092	1008.641151	9.226867	12.077689	4.221551	-13.034949	8.417353	0.000000	
-2.698101	-3.111362	995.858751	28.256769	14.973121	2.234767	-15.670770	27.736774	0.000000	
-1.093422	-2.743541	999.836127	24.254197	14.198045	2.760616	-14.926412	23.599333	0.000000	
4.425946	-1.487570	1007.952067	10.734687	12.174569	4.167415	-13.112294	9.920005	0.000000	
4.557902	-1.527420	1008.642819	9.700251	12.321090	4.150306	-13.256459	8.889299	0.000000	
2.287797	-1.908128	1005.189957	15.513726	12.981015	3.591059	-13.829094	14.727335	0.000000	
4.073531	-1.311380	1007.782434	10.605210	12.263936	4.149078	-13.183425	9.783524	0.000000	
3.662698	-1.537771	1005.875732	12.671654	12.547240	3.805901	-13.465655	11.870611	0.000000	
-0.922868	-3.008631	999.312285	24.899552	14.414125	2.634570	-15.159628	24.272814	0.000000	
6.568209	-1.062215	1011.234642	4.662447	11.482704	4.797655	-12.506972	3.856785	0.000000	
-5.725982	-4.167162	991.540347	36.739118	16.188955	1.460193	-16.790459	36.475578	0.000000	
1.804932	-2.001277	1003.981783	16.632763	13.136862	3.588985	-13.973032	15.865841	0.000000	
0.323904	-2.548454	1001.039222	20.894795	13.701416	2.922130	-14.492747	20.203145	0.000000	
-1.668980	-3.145902	997.413132	25.974722	14.448754	2.594596	-15.179741	25.406259	0.000000	
1.089778	-2.452167	1002.770000	18.698899	13.388212	3.318530	-14.199606	17.971654	0.000000	
5.274765	-1.209684	1008.815353	8.150524	11.921657	4.418503	-12.898255	7.333783	0.000000	
3.220924	-1.721474	1005.878309	13.791404	12.732567	3.788717	-13.625224	12.994033	0.000000	
4.068072	-1.226728	1008.128411	11.381642	12.358074	4.097154	-13.272246	10.545348	0.000000	
2.642358	-1.903078	1005.360583	14.695041	12.978072	3.626736	-13.843741	13.910097	0.000000	
2.063888	-2.217578	1002.764217	16.588368	13.078667	3.406700	-13.945497	15.853922	0.000000	
-0.604116	-2.517007	1000.181138	23.264162	14.073183	2.886406	-14.824144	22.588349	0.000000	
6.467629	-0.757342	1011.234284	5.698272	11.366870	4.601886	-12.386848	4.864188	0.000000	
-6.483042	-4.131519	989.813012	38.806380	16.319263	1.260739	-16.907120	38.627168	0.000000	
3.622731	-1.716488	1006.742077	12.456544	12.363616	3.896824	-13.270123	11.655988	0.000000	
-0.786432	-2.914207	998.273168	24.037249	14.139181	2.649098	-14.906837	23.429824	0.000000	
-1.906150	-3.194657	997.756509	26.965931	14.635107	2.273898	-15.348223	26.393416	0.000000	
1.263706	-2.448725	1002.594413	18.224852	13.266045	3.245980	-14.089837	17.501931	0.000000	
3.884663	-2.066825	1007.256405	11.938586	12.513209	3.825697	-13.426855	11.154910	0.000000	
2.066596	-2.130710	1003.977923	16.287763	13.106137	3.516934	-13.957102	15.529506	0.000000	
4.115117	-1.488042	1007.433987	10.863098	12.296055	4.076648	-13.221911	10.053013	0.000000	
2.950697	-1.898117	1005.184436	13.876470	12.612611	3.589507	-13.499664	13.098051	0.000000	
1.885269	-2.530335	1002.590091	17.276949	13.111958	3.334754	-13.970991	16.561123	0.000000	
0.952183	-2.408635	1001.730695	19.258665	13.301024	3.173174	-14.118777	18.547503	0.000000	
5.972717	-1.249793	1011.232429	6.860070	11.613761	4.351412	-12.603558	6.040416	0.000000	
-5.147266	-3.982745	992.057544	35.146066	15.759041	1.585463	-16.381491	34.839903	0.000000	
2.509716	-1.992882	1004.841466	15.039397	12.828573	3.589625	-13.694302	14.265414	0.000000	
1.575032	-2.222014	1002.247413	17.406434	13.202804	3.298578	-14.048773	16.678997	0.000000	
-2.568426	-3.506709	994.815110	28.255541	14.581654	2.088048	-15.300191	27.787788	0.000000	
3.925758	-1.890322	1006.563781	12.369902	12.395030	3.770903	-13.320435	11.581809	0.000000	
2.812989	-1.900085	1005.184044	14.307451	12.705350	3.482447	-13.584244	13.526924	0.000000	
4.155568	-1.620894	1007.778188	10.906045	12.356900	4.005747	-13.280291	10.099315	0.000000	
4.072298	-1.754059	1007.086817	11.206748	12.418762	4.075868	-13.345655	10.412812	0.000000	
3.701628	-1.937880	1005.871753	13.274342	12.429626	3.680392	-13.350949	12.492151	0.000000	
2.415594	-2.390433	1003.452398	15.640825	12.712074	3.371161	-13.590807	14.907875	0.000000	
0.635485	-2.634040	1001.902797	20.033656	13.455477	2.994813	-14.252911	19.330320	0.000000	
6.060886	-1.024015	1009.846600	6.472016	11.371619	4.294128	-12.384891	5.653006	0.000000	
-3.821855	-3.524271	993.954660	31.745092	15.140549	1.712955	-15.804292	31.324314	0.000000	
1.922929	-2.134603	1003.802805	17.150173	12.838489	3.284091	-13.684736	16.391717	0.000000	
1.837073	-1.956587	1003.112401	17.149796	12.989869	3.318647	-13.839721	16.393225	0.000000	
-3.148040	-3.603250	993.951931	30.064376	14.861731	1.944225	-15.561856	29.637918	0.000000	
3.705277	-1.936163	1006.564958	12.326974	12.061646	3.734449	-12.976920	11.541703	0.000000	
2.004332	-2.266483	1003.972519	17.192961	12.930144	3.141181	-13.778398	16.438798	0.000000	
4.277936	-1.708240	1007.081041	11.250575	12.148616	3.771277	-13.088937	10.453843	0.000000	
3.833243	-1.713340	1006.564132	12.284164	12.334259	3.681380	-13.254898	11.486761	0.000000	
2.768256	-1.901336	1005.357351	14.308030	12.402686	3.464585	-13.278489	13.525098	0.000000	
3.132253	-1.763427	1006.224080	12.800697	12.183467	3.716177	-13.070165	12.007048	0.000000	
0.321621	-2.683282	1000.691700	21.498026	13.523137	2.867765	-14.319223	20.820817	0.000000	
6.369434	-1.286318	1009.149824	6.471199	11.252233	4.256284	-12.291751	5.671245	0.000000	
-1.511670	-3.055999	997.233571	26.190833	14.240256	2.200289	-14.982107	25.622633	0.000000	
1.606675	-2.316205	1003.109609	18.398903	12.965502	3.104181	-13.802578	17.658623	0.000000	
1.827351	-1.958218	1003.629287	17.408958	12.930856	3.140916	-13.773656	16.642680	0.000000	
-2.306769	-3.374704	997.064547	27.568351	14.456363	2.128789	-15.156513	27.026622	0.000000	
3.221269	-1.852500	1005.703875	13.274380	12.186182	3.733259	-13.084183	12.489646	0.000000	
2.899285	-1.989347	1004.489799	14.824532	12.436467	3.427206	-13.330228	14.056591	0.000000	
4.584750	-1.441825	1008.118986	10.778404	12.025373	3.809588	-12.971097	9.959046	0.000000	
4.849609	-1.659924	1008.461710	10.132080	11.720579	3.791378	-12.679457	9.326619	0.000000	
4.405792	-1.623418	1007.945817	11.726198	11.968987	3.755915	-12.907288	10.911328	0.000000	
5.476060	-1.433443	1009.846275	8.711846	11.622982	4.062653	-12.601313	7.893747	0.000000	
-0.441862	-2.691286	999.135257	23.479225	13.623276	2.525214	-14.397654	22.837882	0.000000	
6.010213	-1.069216	1009.498380	6.773872	11.041073	4.131855	-12.058639	5.956765	0.000000	
1.600622	-2.402888	1002.068024	18.613499	12.877312	2.922545	-13.727760	17.896830	0.000000	
1.910167	-1.961155	1003.454545	18.314295	12.935579	3.069804	-13.785254	17.548105	0.000000	
2.357881	-2.222516	1004.317141	17.323409	12.719403	3.213878	-13.583856	16.560309	0.000000	
-0.492914	-2.784789	998.960692	24.772109	13.690008	2.418494	-14.463965	24.141495	0.000000	
2.094972	-2.133142	1003.800137	17.021275	12.657300	3.194314	-13.513883	16.263271	0.000000	
2.672223	-1.993406	1004.489935	15.600303	12.470074	3.302445	-13.350999	14.829119	0.000000	
