NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	38
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-01, 15:23:27	426413.75801140
DATA_INCLUDED	3D
MARKER_NAMES	Chest	ASISL	ASISR	Sacral	supLatThighL	supMedThighL	infLatThighL	infMedThighL	supLatThighR	supMedRightR	infLatThighR	infMedThighR	latKneeL	medKneeL	latKneeR	medKneeR	supAntShankL	supPostShankL	infAntShankL	infPostShankL	supAntShankR	supPostShankR	infAntShankR	infPostShankR	heelLeft	heelRight	toeLeft	toeRight	latAnkleL	medAnkleL	latAnkleR	medAnkleR	lateralFootL	proximalFootL	distalFootL	lateralFootR	proximalFootR	distalFootR
Chest X	Chest Y	Chest Z	ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	Sacral X	Sacral Y	Sacral Z	supLatThighL X	supLatThighL Y	supLatThighL Z	supMedThighL X	supMedThighL Y	supMedThighL Z	infLatThighL X	infLatThighL Y	infLatThighL Z	infMedThighL X	infMedThighL Y	infMedThighL Z	supLatThighR X	supLatThighR Y	supLatThighR Z	supMedRightR X	supMedRightR Y	supMedRightR Z	infLatThighR X	infLatThighR Y	infLatThighR Z	infMedThighR X	infMedThighR Y	infMedThighR Z	latKneeL X	latKneeL Y	latKneeL Z	medKneeL X	medKneeL Y	medKneeL Z	latKneeR X	latKneeR Y	latKneeR Z	medKneeR X	medKneeR Y	medKneeR Z	supAntShankL X	supAntShankL Y	supAntShankL Z	supPostShankL X	supPostShankL Y	supPostShankL Z	infAntShankL X	infAntShankL Y	infAntShankL Z	infPostShankL X	infPostShankL Y	infPostShankL Z	supAntShankR X	supAntShankR Y	supAntShankR Z	supPostShankR X	supPostShankR Y	supPostShankR Z	infAntShankR X	infAntShankR Y	infAntShankR Z	infPostShankR X	infPostShankR Y	infPostShankR Z	heelLeft X	heelLeft Y	heelLeft Z	heelRight X	heelRight Y	heelRight Z	toeLeft X	toeLeft Y	toeLeft Z	toeRight X	toeRight Y	toeRight Z	latAnkleL X	latAnkleL Y	latAnkleL Z	medAnkleL X	medAnkleL Y	medAnkleL Z	latAnkleR X	latAnkleR Y	latAnkleR Z	medAnkleR X	medAnkleR Y	medAnkleR Z	lateralFootL X	lateralFootL Y	lateralFootL Z	proximalFootL X	proximalFootL Y	proximalFootL Z	distalFootL X	distalFootL Y	distalFootL Z	lateralFootR X	lateralFootR Y	lateralFootR Z	proximalFootR X	proximalFootR Y	proximalFootR Z	distalFootR X	distalFootR Y	distalFootR Z	
0.000	0.000	0.000	-3004.318	884.790	1029.859	-2996.616	621.651	1022.574	-3227.382	745.879	1085.890	0.000	0.000	0.000	0.000	0.000	0.000	-3063.551	909.795	599.376	-3001.473	826.037	582.955	-3024.176	549.800	745.239	0.000	0.000	0.000	-3036.502	556.966	643.722	-2994.184	601.556	634.671	-3073.544	885.842	549.888	-3074.758	759.443	542.139	-3103.599	583.291	562.004	-3073.433	713.824	532.702	-3092.876	908.678	450.166	-3170.009	913.847	452.687	0.000	0.000	0.000	0.000	0.000	0.000	-3096.982	564.454	439.067	-3176.594	553.390	421.789	0.000	0.000	0.000	-3180.160	558.344	327.665	0.000	0.000	0.000	0.000	0.000	0.000	-2928.076	850.266	59.867	-2911.101	633.449	59.757	0.000	0.000	0.000	-3143.224	798.952	136.714	-3149.601	579.252	129.163	0.000	0.000	0.000	-3038.609	895.045	79.740	0.000	0.000	0.000	0.000	0.000	0.000	-3020.304	580.514	83.947	-3051.832	656.143	106.652	0.000	0.000	0.000
0.000	0.000	0.000	-3004.196	884.806	1029.857	-2996.182	621.719	1022.123	-3227.261	745.904	1085.829	0.000	0.000	0.000	0.000	0.000	0.000	-3063.400	909.821	599.404	-3001.206	826.015	582.988	-3024.081	549.758	745.318	0.000	0.000	0.000	-3036.452	557.038	643.748	-2993.399	601.284	635.029	-3073.474	885.839	549.824	-3074.555	759.346	542.167	-3103.520	583.350	561.925	-3072.835	713.540	533.052	-3092.691	908.626	450.056	-3169.780	913.790	452.640	0.000	0.000	0.000	0.000	0.000	0.000	-3096.976	564.484	439.005	-3176.365	553.382	421.775	0.000	0.000	0.000	-3174.984	553.555	323.952	0.000	0.000	0.000	0.000	0.000	0.000	-2928.013	850.234	59.816	-2911.066	633.499	59.714	0.000	0.000	0.000	-3142.958	798.820	136.770	-3149.776	579.365	129.096	0.000	0.000	0.000	-3038.527	895.011	79.688	0.000	0.000	0.000	0.000	0.000	0.000	-3020.310	580.527	83.995	-3051.509	656.066	106.740	0.000	0.000	0.000
0.000	0.000	0.000	-3004.094	884.834	1029.875	-2996.065	621.682	1022.110	-3227.178	745.913	1085.758	0.000	0.000	0.000	0.000	0.000	0.000	-3063.264	909.824	599.448	-3000.856	825.932	583.070	-3024.187	549.654	745.659	0.000	0.000	0.000	-3036.126	557.021	643.823	-2993.299	601.304	635.068	-3073.344	885.831	549.797	-3074.156	759.294	542.526	-3103.057	583.463	561.723	-3072.434	713.538	532.940	-3092.572	908.637	450.022	-3169.289	913.673	452.327	0.000	0.000	0.000	0.000	0.000	0.000	-3097.303	564.755	438.864	-3177.025	553.848	422.465	0.000	0.000	0.000	-3174.798	553.539	323.875	0.000	0.000	0.000	0.000	0.000	0.000	-2927.993	850.216	59.796	-2911.086	633.479	59.717	0.000	0.000	0.000	-3143.017	798.893	136.752	-3149.855	579.470	129.108	0.000	0.000	0.000	-3038.533	895.054	79.686	0.000	0.000	0.000	0.000	0.000	0.000	-3020.252	580.538	83.951	-3051.305	656.026	106.641	0.000	0.000	0.000
0.000	0.000	0.000	-3004.045	884.853	1029.927	-2996.038	621.711	1022.194	-3227.061	745.945	1085.647	-3009.365	944.009	707.225	0.000	0.000	0.000	-3061.284	909.653	599.121	-3000.564	825.943	583.124	-3024.033	549.669	745.653	0.000	0.000	0.000	-3035.960	557.062	643.854	-2993.006	601.283	635.099	-3069.918	886.577	549.511	-3074.015	759.292	542.261	-3102.958	583.325	561.940	-3072.292	713.531	532.986	-3091.188	908.186	448.557	-3169.093	913.653	452.260	0.000	0.000	0.000	0.000	0.000	0.000	-3097.072	564.754	438.872	-3175.946	553.008	422.115	0.000	0.000	0.000	-3174.657	553.605	323.864	0.000	0.000	0.000	0.000	0.000	0.000	-2927.726	850.170	59.586	-2911.103	633.479	59.690	0.000	0.000	0.000	-3142.916	798.850	136.733	-3149.744	579.454	129.135	0.000	0.000	0.000	-3038.527	895.047	79.722	0.000	0.000	0.000	0.000	0.000	0.000	-3020.287	580.552	83.972	-3050.069	654.222	107.403	0.000	0.000	0.000
0.000	0.000	0.000	-3003.733	884.880	1029.796	-2995.539	621.925	1021.999	-3227.006	745.984	1085.585	-3009.224	944.032	707.278	0.000	0.000	0.000	-3061.278	909.733	599.344	-3000.408	825.940	583.264	-3023.723	549.864	745.744	0.000	0.000	0.000	-3035.874	557.190	643.560	-2992.869	601.352	634.926	-3069.233	886.561	549.116	-3073.981	759.406	542.022	-3102.998	583.486	561.646	-3071.771	713.537	532.742	-3091.065	908.162	448.592	-3169.409	913.836	452.712	0.000	0.000	0.000	0.000	0.000	0.000	-3096.968	564.926	438.734	-3175.231	552.865	421.763	0.000	0.000	0.000	-3174.572	553.654	323.840	0.000	0.000	0.000	0.000	0.000	0.000	-2927.612	850.159	59.300	-2911.201	633.388	59.595	0.000	0.000	0.000	-3143.405	798.960	136.449	-3149.555	579.362	128.948	0.000	0.000	0.000	-3038.296	895.030	79.370	0.000	0.000	0.000	0.000	0.000	0.000	-3019.888	580.829	83.692	-3050.280	654.370	107.044	0.000	0.000	0.000
0.000	0.000	0.000	-3003.345	884.463	1029.601	-2996.077	621.801	1022.662	-3226.969	746.265	1085.692	-3009.083	944.019	707.308	0.000	0.000	0.000	-3060.958	909.635	599.138	-3000.016	825.866	583.374	-3023.548	549.912	745.784	0.000	0.000	0.000	-3035.631	557.215	643.606	-2992.750	601.497	634.960	-3069.353	886.414	549.541	-3073.754	759.382	541.960	-3102.649	583.534	561.630	-3071.447	713.475	532.762	-3091.703	908.572	449.496	-3168.750	913.650	452.344	0.000	0.000	0.000	0.000	0.000	0.000	-3097.207	565.064	438.472	-3177.342	554.101	423.370	0.000	0.000	0.000	-3174.356	553.481	323.841	0.000	0.000	0.000	0.000	0.000	0.000	-2927.463	849.866	59.390	-2910.972	633.271	59.635	0.000	0.000	0.000	-3143.482	798.995	136.372	-3149.586	579.289	128.930	0.000	0.000	0.000	-3038.150	894.681	79.421	0.000	0.000	0.000	0.000	0.000	0.000	-3020.086	580.607	83.769	-3050.479	654.355	107.109	0.000	0.000	0.000
0.000	0.000	0.000	-3003.311	884.443	1029.665	-2995.355	622.053	1022.027	-3226.289	746.836	1085.540	-3008.839	943.880	707.282	0.000	0.000	0.000	-3060.958	909.721	599.440	-3000.456	825.969	582.688	-3022.369	550.284	744.805	0.000	0.000	0.000	-3035.474	557.190	643.608	-2993.144	601.781	634.552	-3069.184	886.372	549.596	-3073.524	759.341	542.209	-3102.439	583.610	561.658	-3071.681	713.782	532.666	-3090.866	908.284	448.582	-3168.604	913.696	452.368	0.000	0.000	0.000	0.000	0.000	0.000	-3097.263	565.129	438.449	-3177.170	554.095	423.392	0.000	0.000	0.000	-3178.295	557.274	326.474	0.000	0.000	0.000	0.000	0.000	0.000	-2927.400	849.790	59.417	-2911.085	633.318	59.712	0.000	0.000	0.000	-3143.692	799.066	136.336	-3149.391	579.243	128.998	0.000	0.000	0.000	-3038.098	894.582	79.455	0.000	0.000	0.000	0.000	0.000	0.000	-3020.075	580.564	83.798	-3050.683	654.296	107.108	0.000	0.000	0.000
0.000	0.000	0.000	-3003.122	884.346	1029.606	-2995.356	622.129	1022.006	-3226.179	746.903	1085.543	-3008.697	943.871	707.328	0.000	0.000	0.000	-3060.568	909.654	599.165	-3000.238	825.949	582.816	-3022.502	549.989	744.929	0.000	0.000	0.000	-3035.329	557.231	643.618	-2992.408	601.529	634.972	-3069.021	886.423	549.632	-3073.383	759.282	542.003	-3102.365	583.620	561.586	-3071.433	713.789	532.636	-3090.741	908.273	448.608	-3168.544	913.696	452.384	0.000	0.000	0.000	0.000	0.000	0.000	-3096.631	564.954	438.632	-3174.670	552.749	421.797	0.000	0.000	0.000	-3178.268	557.421	326.487	0.000	0.000	0.000	0.000	0.000	0.000	-2927.702	849.842	59.595	-2911.108	633.345	59.701	0.000	0.000	0.000	-3143.691	799.062	136.330	-3149.483	579.279	128.982	0.000	0.000	0.000	-3038.155	894.561	79.452	0.000	0.000	0.000	0.000	0.000	0.000	-3020.056	580.606	83.767	-3050.738	654.355	107.024	0.000	0.000	0.000
0.000	0.000	0.000	-3003.157	884.422	1029.698	-2995.607	622.074	1022.336	-3226.126	746.977	1085.428	-3008.480	943.827	707.277	0.000	0.000	0.000	-3060.344	909.562	599.144	-3000.158	825.886	582.705	-3022.329	550.010	744.945	0.000	0.000	0.000	-3034.854	557.179	643.700	-2992.285	601.572	634.960	-3068.817	886.409	549.621	-3073.140	759.336	542.060	-3102.102	583.656	561.655	-3071.290	713.841	532.627	-3090.635	908.301	448.619	-3168.323	913.672	452.327	0.000	0.000	0.000	0.000	0.000	0.000	-3096.474	564.935	438.622	-3174.217	552.622	421.584	0.000	0.000	0.000	-3174.097	553.491	323.921	0.000	0.000	0.000	0.000	0.000	0.000	-2927.313	849.757	59.334	-2911.043	633.316	59.645	0.000	0.000	0.000	-3143.770	799.079	136.275	-3149.399	579.262	128.987	0.000	0.000	0.000	-3038.153	894.601	79.421	0.000	0.000	0.000	0.000	0.000	0.000	-3020.045	580.577	83.756	-3050.606	654.485	106.802	0.000	0.000	0.000
0.000	0.000	0.000	-3003.069	884.421	1029.743	-2995.321	622.159	1022.067	-3226.080	747.022	1085.330	-3008.310	943.787	707.299	0.000	0.000	0.000	-3060.347	909.633	599.435	-2999.879	825.871	582.734	-3022.095	550.069	744.905	0.000	0.000	0.000	-3034.992	557.237	643.699	-2992.545	601.773	634.647	-3068.630	886.393	549.645	-3073.111	759.367	542.144	-3102.006	583.612	561.726	-3070.981	713.740	532.729	-3090.460	908.269	448.542	-3168.184	913.673	452.351	0.000	0.000	0.000	0.000	0.000	0.000	-3096.556	565.034	438.569	-3174.095	552.610	421.624	0.000	0.000	0.000	-3178.532	558.299	326.824	0.000	0.000	0.000	0.000	0.000	0.000	-2927.362	849.716	59.425	-2911.078	633.319	59.703	0.000	0.000	0.000	-3143.672	799.012	136.299	-3149.331	579.227	128.961	0.000	0.000	0.000	-3038.076	894.596	79.441	0.000	0.000	0.000	0.000	0.000	0.000	-3020.042	580.632	83.752	-3050.365	654.414	106.869	0.000	0.000	0.000
