NO_OF_SAMPLES	12000
FREQUENCY	2400
TIME_STAMP	2020-02-01, 15:23:27	426413.75801140
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded Force Plate
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-5.811363	0.792389	-2.646908	12.213838	2.328736	-1.132150	755.819328	-4598.394720	0.000000	
-4.341913	1.031635	-0.402577	8.252013	1.827880	-0.771602	3934.511210	-20354.992339	0.000000	
-3.587842	1.260636	1.325614	6.271966	1.546843	-0.607657	-1015.814645	4677.194371	0.000000	
-4.609060	1.206333	-0.746477	8.639947	1.859596	-0.825672	2143.936560	-11484.431230	0.000000	
-4.830022	0.891873	-1.265896	9.716441	1.773631	-0.862386	1186.218212	-7636.827936	0.000000	
-3.057170	1.576912	1.150382	5.281987	1.301824	-0.554728	-983.322001	4513.780174	0.000000	
1.934514	2.738468	10.482551	-8.108015	-0.693440	0.890433	55.009838	-788.947894	0.000000	
2.604818	2.790779	11.518869	-9.873864	-0.822178	1.106530	57.901102	-871.597100	0.000000	
0.958763	2.108184	8.753482	-5.482895	-0.228397	0.672824	19.159160	-640.693272	0.000000	
2.378501	2.609827	10.479228	-8.539089	-0.694403	0.961776	52.742152	-829.645068	0.000000	
3.043881	2.926129	11.169689	-9.830123	-0.880969	1.106195	62.793699	-895.582903	0.000000	
3.223307	2.797276	11.341133	-10.606143	-0.944701	1.141526	66.564405	-949.844524	0.000000	
-1.055758	1.905839	5.124175	0.632630	0.646075	-0.029178	-115.310756	101.778511	0.000000	
-0.953214	1.953430	5.820038	-0.702799	0.457124	0.257719	-70.141010	-140.400125	0.000000	
-2.198151	1.630889	3.920333	2.138400	0.892617	-0.049415	-197.016228	521.309607	0.000000	
-3.718399	1.391873	1.674325	6.229338	1.576010	-0.552992	-817.460022	3673.050731	0.000000	
-5.012612	0.625956	-1.787598	10.145964	1.927483	-1.042705	920.131188	-5656.917940	0.000000	
-9.425505	-0.089302	-9.734435	22.289052	3.644607	-2.270115	319.288194	-2291.039358	0.000000	
-5.015100	0.931458	-1.785534	11.138043	2.203952	-1.005131	1075.955895	-6209.478240	0.000000	
-0.649857	2.131115	5.817635	-0.443419	0.519852	0.204778	-83.877702	-97.586274	0.000000	
-4.117414	1.164872	0.983151	7.521043	1.672273	-0.625529	-1466.737369	7582.640761	0.000000	
-4.470737	1.075143	-0.919840	8.424110	1.798217	-0.718976	1681.430056	-9093.467023	0.000000	
2.065361	2.605845	10.134136	-7.806599	-0.782023	0.853875	64.944785	-785.567328	0.000000	
3.137137	2.705926	12.381116	-10.605630	-0.946077	1.215456	61.408661	-869.672777	0.000000	
-1.588770	1.900646	3.741970	1.967378	0.742918	-0.156820	-175.501277	496.448066	0.000000	
-3.455722	1.391748	2.884208	5.928966	1.453371	-0.532446	-437.467264	2027.777777	0.000000	
-2.122859	1.494948	5.301115	2.656165	1.136873	-0.242563	-192.777580	484.422087	0.000000	
-1.759110	1.677228	5.821633	1.192217	0.736711	-0.009794	-110.380354	187.812957	0.000000	
0.779409	2.285139	7.715888	-5.138553	-0.195917	0.581300	18.936231	-683.400280	0.000000	
-1.268672	1.773883	4.780355	0.200927	0.461963	0.058600	-82.534328	20.398393	0.000000	
2.604193	2.834730	10.653119	-9.529087	-1.092026	1.068760	88.004314	-910.230901	0.000000	
3.048123	2.838116	11.516495	-10.260884	-1.095193	1.177889	79.459837	-905.613026	0.000000	
1.663963	2.688563	10.656414	-6.987788	-0.386478	0.802452	26.718568	-670.704152	0.000000	
-4.385111	1.073007	-0.228267	8.554530	1.526332	-0.735352	5607.951566	-37213.052415	0.000000	
-1.894306	1.366902	4.607706	1.923111	0.771380	-0.137877	-145.131026	399.910632	0.000000	
-0.510781	1.959798	6.162846	-1.951872	0.119721	0.275167	-15.563298	-335.371509	0.000000	
-3.235075	1.397658	1.669800	5.454035	1.392585	-0.589448	-726.065584	3218.503052	0.000000	
-5.900631	0.791971	-2.819783	12.299883	2.298913	-1.168400	697.080803	-4347.050918	0.000000	
1.221840	2.464711	9.272609	-6.127738	-0.352048	0.691918	29.785707	-676.569710	0.000000	
2.560230	2.791938	10.479831	-9.702148	-0.911216	1.050361	72.454722	-941.553192	0.000000	
2.556236	2.879143	11.345295	-9.701503	-0.730286	1.016913	50.939734	-870.164208	0.000000	
0.107900	1.966312	7.024196	-3.071731	0.236463	0.348335	-35.313348	-453.826603	0.000000	
2.513230	2.790072	10.999049	-9.529373	-0.880593	1.015935	66.452880	-881.427075	0.000000	
2.424253	2.742401	11.692298	-9.184157	-0.849685	1.035740	60.249694	-799.460650	0.000000	
2.245900	2.606313	10.653727	-7.978683	-0.631997	0.980631	46.706133	-763.449202	0.000000	
-4.120027	1.077694	0.115890	7.778620	1.765248	-0.716938	-13238.119734	66597.944522	0.000000	
-3.184170	1.308887	2.883025	4.808312	1.267197	-0.426209	-378.355375	1641.515137	0.000000	
0.645191	2.104740	8.408314	-4.707777	-0.013350	0.565291	-3.505065	-574.753201	0.000000	
-0.565441	2.133559	5.642313	-0.831136	0.276979	0.096291	-44.254114	-169.333656	0.000000	
-5.861323	0.745037	-2.474860	12.946493	2.483355	-1.220524	869.760310	-5215.123492	0.000000	
-5.454760	0.839614	-1.262999	11.137779	2.202296	-1.004341	1500.588746	-8782.027149	0.000000	
-4.475654	1.116881	-0.054780	8.640442	1.828949	-0.770356	28801.978195	-156585.649785	0.000000	
-0.145780	2.140954	6.337831	-2.813214	0.176017	0.561949	-27.269265	-463.642995	0.000000	
-5.048389	0.847464	-2.822372	10.447115	2.200999	-0.865120	678.691096	-3685.502491	0.000000	
-1.050386	2.043453	4.433051	-0.272750	0.521370	0.022098	-105.102557	-88.203006	0.000000	
2.645864	2.967916	10.999318	-9.615013	-0.850522	1.052073	63.040790	-890.098752	0.000000	
3.048502	3.061648	11.517542	-10.863717	-1.188646	1.177526	87.564719	-958.960059	0.000000	
1.753456	2.647069	10.309029	-7.504899	-0.751147	0.782806	62.532165	-743.212726	0.000000	
1.228585	2.421598	9.447223	-6.601859	-0.415315	0.817135	35.877470	-714.009847	0.000000	
2.073602	2.341552	10.654119	-8.410456	-0.815952	0.997399	64.877830	-802.553111	0.000000	
1.986823	2.698602	8.059410	-8.066620	-0.872952	0.956156	93.695276	-1020.494769	0.000000	
-0.157031	2.140306	7.200409	-2.898697	0.115338	0.348867	-15.581989	-420.064971	0.000000	
-2.340960	1.759654	3.053865	3.474313	0.990450	-0.247008	-282.103663	1104.534642	0.000000	
-2.428113	1.406986	3.052300	3.214434	1.049726	-0.283625	-300.065915	1026.442112	0.000000	
0.469933	2.235166	7.372045	-3.932305	0.050855	0.581653	-11.262470	-551.232275	0.000000	
-7.183350	0.246681	-4.718458	15.399117	2.825675	-1.350137	512.648917	-3261.470716	0.000000	
-4.021688	0.990070	-0.055619	7.519916	1.612432	-0.520771	24932.855444	-134206.490312	0.000000	
-2.470454	1.630685	2.534598	2.826475	1.108689	-0.266959	-383.521026	1078.245840	0.000000	
-1.315876	1.950172	4.607931	0.545667	0.766123	0.023263	-151.026430	93.859952	0.000000	
-0.468933	2.091553	6.682453	-1.865051	0.271037	0.276879	-37.409512	-297.471140	0.000000	
-5.720306	0.660129	-2.647532	12.170495	2.298334	-1.078617	746.087512	-4583.742966	0.000000	
-0.775798	1.913692	5.298728	-1.263564	0.395126	0.238008	-67.142463	-259.542608	0.000000	
2.380926	2.569042	9.440069	-8.884724	-0.846263	0.940825	74.706971	-957.253870	0.000000	
0.641830	2.236654	7.542483	-4.147294	-0.130858	0.492201	11.787481	-567.309191	0.000000	
