NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	38
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-01, 15:19:17	426163.54571810
DATA_INCLUDED	3D
MARKER_NAMES	Chest	ASISL	ASISR	Sacral	supLatThighL	supMedThighL	infLatThighL	infMedThighL	supLatThighR	supMedRightR	infLatThighR	inMedThighR	latKneeL	medKneeL	latKneeR	medKneeR	supAntShankL	supPostShankL	infAntShankL	infPostShankL	supAntShankR	supPostShankR	infAntShankR	infPostShankR	heelLeft	heelRight	toeLeft	toeRight	latAnkleL	medAnkleL	latAnkleR	medAnkleR	lateralFootL	proximalFootL	distalFootL	lateralFootR	proximalFootR	distalFootR
Chest X	Chest Y	Chest Z	ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	Sacral X	Sacral Y	Sacral Z	supLatThighL X	supLatThighL Y	supLatThighL Z	supMedThighL X	supMedThighL Y	supMedThighL Z	infLatThighL X	infLatThighL Y	infLatThighL Z	infMedThighL X	infMedThighL Y	infMedThighL Z	supLatThighR X	supLatThighR Y	supLatThighR Z	supMedRightR X	supMedRightR Y	supMedRightR Z	infLatThighR X	infLatThighR Y	infLatThighR Z	inMedThighR X	inMedThighR Y	inMedThighR Z	latKneeL X	latKneeL Y	latKneeL Z	medKneeL X	medKneeL Y	medKneeL Z	latKneeR X	latKneeR Y	latKneeR Z	medKneeR X	medKneeR Y	medKneeR Z	supAntShankL X	supAntShankL Y	supAntShankL Z	supPostShankL X	supPostShankL Y	supPostShankL Z	infAntShankL X	infAntShankL Y	infAntShankL Z	infPostShankL X	infPostShankL Y	infPostShankL Z	supAntShankR X	supAntShankR Y	supAntShankR Z	supPostShankR X	supPostShankR Y	supPostShankR Z	infAntShankR X	infAntShankR Y	infAntShankR Z	infPostShankR X	infPostShankR Y	infPostShankR Z	heelLeft X	heelLeft Y	heelLeft Z	heelRight X	heelRight Y	heelRight Z	toeLeft X	toeLeft Y	toeLeft Z	toeRight X	toeRight Y	toeRight Z	latAnkleL X	latAnkleL Y	latAnkleL Z	medAnkleL X	medAnkleL Y	medAnkleL Z	latAnkleR X	latAnkleR Y	latAnkleR Z	medAnkleR X	medAnkleR Y	medAnkleR Z	lateralFootL X	lateralFootL Y	lateralFootL Z	proximalFootL X	proximalFootL Y	proximalFootL Z	distalFootL X	distalFootL Y	distalFootL Z	lateralFootR X	lateralFootR Y	lateralFootR Z	proximalFootR X	proximalFootR Y	proximalFootR Z	distalFootR X	distalFootR Y	distalFootR Z	
0.000	0.000	0.000	-2932.280	877.851	1035.031	-2914.206	615.608	1027.346	-3148.270	733.697	1080.044	-2954.064	920.045	712.772	0.000	0.000	0.000	-2996.687	894.456	597.733	-2923.656	822.874	574.549	-2929.682	541.533	760.651	-2878.210	586.909	739.575	-2936.578	547.941	659.703	-2896.185	593.838	650.710	-3004.602	867.100	539.356	0.000	0.000	0.000	-3011.074	573.248	561.624	0.000	0.000	0.000	-3089.761	881.499	444.425	-3023.565	884.786	448.475	-3160.613	955.762	447.128	0.000	0.000	0.000	-3082.842	543.276	421.328	-3010.982	554.831	437.780	0.000	0.000	0.000	0.000	0.000	0.000	-3065.864	762.261	136.956	0.000	0.000	0.000	-2847.250	810.340	62.133	-2815.220	614.458	63.693	0.000	0.000	0.000	0.000	0.000	0.000	-3055.956	566.901	129.288	-3041.178	654.830	130.580	-2958.153	855.973	79.874	0.000	0.000	0.000	0.000	0.000	0.000	-2928.437	564.305	84.121	0.000	0.000	0.000	-2955.334	640.687	106.909
0.000	0.000	0.000	-2936.076	878.625	1035.818	-2918.307	617.266	1026.086	-3148.233	733.664	1080.061	-2953.924	919.931	712.643	0.000	0.000	0.000	-2996.684	894.446	597.693	-2923.641	822.851	574.520	-2929.650	541.529	760.616	-2878.064	586.917	739.529	-2936.629	547.971	659.759	-2897.248	593.723	651.261	-3004.693	867.143	539.367	0.000	0.000	0.000	-3010.749	573.092	561.595	0.000	0.000	0.000	-3089.756	881.468	444.360	-3023.688	884.828	448.514	-3160.592	955.753	447.065	0.000	0.000	0.000	-3082.837	543.294	421.258	-3010.905	554.764	437.830	0.000	0.000	0.000	0.000	0.000	0.000	-3065.905	762.294	136.889	0.000	0.000	0.000	-2843.440	809.388	62.573	-2815.104	614.401	63.764	0.000	0.000	0.000	0.000	0.000	0.000	-3055.930	566.965	129.161	-3041.132	654.814	130.519	-2958.122	855.981	79.878	0.000	0.000	0.000	0.000	0.000	0.000	-2928.351	564.275	84.003	0.000	0.000	0.000	-2955.405	640.799	106.924
0.000	0.000	0.000	-2936.740	879.175	1035.750	-2918.243	617.275	1026.111	-3148.231	733.600	1080.082	-2954.063	919.988	712.735	0.000	0.000	0.000	-2996.713	894.453	597.696	-2923.838	822.929	574.535	-2929.661	541.506	760.572	-2878.068	586.843	739.564	-2936.606	547.961	659.718	-2897.243	593.681	651.260	-3004.796	867.175	539.451	0.000	0.000	0.000	-3010.902	573.068	561.624	0.000	0.000	0.000	-3089.880	881.521	444.456	-3023.681	884.800	448.494	-3160.686	955.791	447.123	0.000	0.000	0.000	-3082.923	543.274	421.300	-3011.136	554.838	437.803	0.000	0.000	0.000	0.000	0.000	0.000	-3065.839	762.255	136.914	0.000	0.000	0.000	-2847.195	810.369	62.137	-2815.079	614.430	63.785	0.000	0.000	0.000	0.000	0.000	0.000	-3055.912	566.999	129.161	-3041.173	654.790	130.537	-2958.182	856.023	79.881	0.000	0.000	0.000	0.000	0.000	0.000	-2928.311	564.246	84.015	0.000	0.000	0.000	-2955.035	640.590	107.051
0.000	0.000	0.000	-2932.388	878.066	1034.973	-2914.032	615.540	1027.328	-3148.199	733.528	1080.104	-2954.162	920.041	712.790	0.000	0.000	0.000	-2996.043	894.694	598.515	-2923.635	822.910	574.196	-2930.979	540.891	759.393	-2878.085	586.840	739.552	-2938.496	547.621	658.498	-2897.344	593.762	651.231	-3009.293	870.357	543.572	0.000	0.000	0.000	-3010.677	572.968	561.699	0.000	0.000	0.000	-3099.008	887.094	450.390	-3021.275	883.601	446.151	-3160.681	955.768	447.102	0.000	0.000	0.000	-3081.978	542.818	421.777	-3011.132	554.899	437.738	0.000	0.000	0.000	0.000	0.000	0.000	-3065.906	762.305	136.916	0.000	0.000	0.000	-2843.408	809.343	62.585	-2815.056	614.422	63.770	-3092.014	849.335	120.330	0.000	0.000	0.000	-3056.009	567.016	129.154	-3041.190	654.826	130.572	-2958.133	855.987	79.888	0.000	0.000	0.000	0.000	0.000	0.000	-2928.403	564.308	84.092	0.000	0.000	0.000	-2955.173	640.692	106.991
0.000	0.000	0.000	-2933.709	879.042	1035.847	-2918.081	617.478	1026.944	-3148.121	733.457	1080.105	-2954.242	920.053	712.866	0.000	0.000	0.000	-2992.935	894.009	599.755	-2923.588	822.879	574.234	-2930.783	540.935	759.164	-2878.175	586.983	739.619	-2938.407	547.710	658.316	-2896.920	593.709	651.067	-3008.728	869.907	543.039	0.000	0.000	0.000	-3010.765	573.115	561.461	0.000	0.000	0.000	-3099.137	886.994	450.487	-3020.533	882.991	445.407	-3160.818	955.825	447.255	0.000	0.000	0.000	-3081.558	543.051	421.388	-3011.144	554.841	437.635	0.000	0.000	0.000	0.000	0.000	0.000	-3066.001	762.359	136.793	0.000	0.000	0.000	-2842.781	809.198	61.981	-2815.250	614.389	63.684	-3092.039	849.355	120.310	0.000	0.000	0.000	-3055.709	566.990	129.064	-3041.126	654.776	130.518	-2957.836	856.072	79.603	0.000	0.000	0.000	0.000	0.000	0.000	-2928.029	564.452	83.846	0.000	0.000	0.000	-2954.718	641.004	106.706
0.000	0.000	0.000	-2928.894	877.059	1034.416	-2917.737	617.292	1025.811	-3148.186	733.636	1080.342	-2954.261	920.027	712.847	0.000	0.000	0.000	-2996.291	894.812	598.811	-2923.802	822.956	574.125	-2930.627	540.925	759.066	-2877.599	586.891	739.182	-2938.343	547.661	658.333	-2897.150	593.759	651.001	-3009.872	870.781	544.182	0.000	0.000	0.000	-3011.225	573.264	561.412	0.000	0.000	0.000	-3099.036	887.202	450.297	-3021.899	884.006	446.870	-3160.814	955.756	447.217	0.000	0.000	0.000	-3081.914	542.760	421.633	-3011.442	554.990	437.532	0.000	0.000	0.000	0.000	0.000	0.000	-3066.044	762.343	136.783	0.000	0.000	0.000	-2843.431	809.276	62.787	-2815.476	614.446	63.636	-3092.039	849.351	120.313	0.000	0.000	0.000	-3055.677	566.796	129.078	-3041.221	654.824	130.562	-2957.742	855.527	79.664	0.000	0.000	0.000	0.000	0.000	0.000	-2928.380	564.261	83.890	0.000	0.000	0.000	-2955.014	640.251	106.828
0.000	0.000	0.000	-2929.850	877.445	1034.891	-2917.734	617.358	1026.237	-3148.102	733.623	1080.356	-2954.331	920.034	712.910	0.000	0.000	0.000	-2992.724	894.161	599.259	-2923.834	822.951	573.888	-2930.710	540.915	759.047	-2877.766	586.828	739.257	-2938.326	547.715	658.211	-2897.008	593.752	650.921	-3009.888	870.803	544.228	0.000	0.000	0.000	-3011.118	573.269	561.301	0.000	0.000	0.000	-3098.947	887.199	450.176	-3021.945	884.050	446.969	-3160.891	955.793	447.292	0.000	0.000	0.000	-3082.371	542.722	420.933	-3011.434	555.042	437.490	0.000	0.000	0.000	0.000	0.000	0.000	-3066.136	762.361	136.787	0.000	0.000	0.000	-2843.312	809.245	62.814	-2815.409	614.473	63.790	-3091.977	849.158	120.307	0.000	0.000	0.000	-3055.963	566.831	129.059	-3041.207	654.801	130.496	-2957.769	855.461	79.696	0.000	0.000	0.000	0.000	0.000	0.000	-2928.379	564.332	83.935	0.000	0.000	0.000	-2955.156	640.232	106.893
0.000	0.000	0.000	-2929.706	877.398	1034.828	-2917.732	617.314	1026.193	-3147.998	733.510	1080.294	-2954.349	920.006	712.861	0.000	0.000	0.000	-2992.780	894.196	599.180	-2923.866	822.934	573.851	-2930.773	540.892	759.007	-2877.735	586.971	739.062	-2938.412	547.638	658.161	-2897.126	593.761	650.870	-3010.011	870.860	544.327	0.000	0.000	0.000	-3010.744	573.002	561.485	0.000	0.000	0.000	-3099.138	887.281	450.230	-3021.983	884.058	447.008	-3160.886	955.757	447.279	0.000	0.000	0.000	-3082.331	542.709	420.916	-3011.505	555.012	437.502	0.000	0.000	0.000	0.000	0.000	0.000	-3066.190	762.337	136.855	0.000	0.000	0.000	-2843.316	809.227	62.871	-2815.634	614.533	63.691	-3092.053	849.131	120.439	0.000	0.000	0.000	-3055.943	566.841	129.063	-3041.210	654.782	130.488	-2957.777	855.456	79.637	0.000	0.000	0.000	0.000	0.000	0.000	-2928.411	564.339	83.942	0.000	0.000	0.000	-2955.029	640.202	106.809
0.000	0.000	0.000	-2929.803	877.407	1034.842	-2917.563	617.299	1026.101	-3147.998	733.482	1080.309	-2954.177	919.801	712.678	0.000	0.000	0.000	-2992.873	894.213	599.077	-2924.014	822.975	573.796	-2930.840	540.896	758.978	-2877.859	586.889	739.098	-2938.599	547.674	658.111	-2897.334	593.787	650.852	-3010.021	870.854	544.322	0.000	0.000	0.000	-3010.959	573.110	561.385	0.000	0.000	0.000	-3099.236	887.351	450.223	-3022.087	884.063	447.086	-3160.871	955.685	447.245	0.000	0.000	0.000	-3082.348	542.657	420.900	-3011.259	554.872	437.525	0.000	0.000	0.000	0.000	0.000	0.000	-3066.285	762.387	136.752	0.000	0.000	0.000	-2843.258	809.243	62.841	-2815.621	614.516	63.770	-3092.231	849.217	120.480	0.000	0.000	0.000	-3055.670	566.721	129.060	-3041.215	654.784	130.521	-2957.729	855.390	79.668	0.000	0.000	0.000	0.000	0.000	0.000	-2928.350	564.287	83.822	0.000	0.000	0.000	-2955.059	640.199	106.719
0.000	0.000	0.000	-2929.778	877.341	1034.800	-2917.593	617.328	1026.041	-3147.973	733.444	1080.335	-2954.257	919.813	712.754	0.000	0.000	0.000	-2992.973	894.194	599.135	-2924.001	822.901	573.712	-2930.810	540.861	758.937	-2877.833	586.789	739.135	-2938.576	547.686	658.065	-2897.167	593.761	650.835	-3010.057	870.820	544.324	0.000	0.000	0.000	-3011.045	573.104	561.419	0.000	0.000	0.000	-3099.197	887.273	450.137	-3022.140	884.075	447.123	-3160.906	955.642	447.214	0.000	0.000	0.000	-3082.371	542.628	420.937	-3011.415	554.935	437.499	0.000	0.000	0.000	0.000	0.000	0.000	-3066.307	762.360	136.764	0.000	0.000	0.000	-2843.308	809.212	62.899	-2815.744	614.537	63.675	-3092.064	849.072	120.471	0.000	0.000	0.000	-3055.746	566.725	129.055	-3041.219	654.869	130.500	-2957.732	855.390	79.656	0.000	0.000	0.000	0.000	0.000	0.000	-2928.376	564.296	83.820	0.000	0.000	0.000	-2955.122	640.114	106.766
