NO_OF_SAMPLES	12000
FREQUENCY	2400
TIME_STAMP	2020-02-01, 15:19:17	426163.54571810
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded Force Plate
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
0.725473	2.498418	8.755108	-3.714725	0.112218	0.514142	-18.254092	-441.116588	0.000000	
-0.517477	2.311734	6.163756	-1.175844	0.758569	0.223409	-119.146058	-212.623966	0.000000	
-0.516011	2.311583	6.337189	-1.433804	0.394231	0.241087	-58.427866	-247.531629	0.000000	
0.192059	2.450589	6.679692	-2.294680	0.361394	0.349208	-56.504024	-364.928193	0.000000	
-0.167584	2.445249	6.680880	-1.260741	0.637760	0.224873	-94.840462	-210.057804	0.000000	
-1.105325	2.348275	4.952558	0.762685	0.858656	-0.100258	-161.641212	126.581371	0.000000	
-0.832111	2.171353	5.991203	0.332423	0.704528	0.116520	-110.588225	34.337267	0.000000	
-1.498639	2.120609	5.128923	1.667086	0.951895	-0.027802	-169.986461	301.024729	0.000000	
-1.585758	1.987857	5.128973	1.623412	1.011962	-0.028041	-180.742956	293.958991	0.000000	
-0.737875	1.955632	5.297383	-0.573729	0.489438	0.149310	-85.364335	-129.830597	0.000000	
-1.543702	2.120875	4.263025	1.925267	0.802607	-0.083539	-168.741434	422.892786	0.000000	
-1.272856	2.302647	5.648733	0.331983	0.764193	0.079824	-123.429898	35.086400	0.000000	
-0.481355	2.439393	7.374933	-0.527702	0.730639	0.155462	-96.195835	-90.925172	0.000000	
-0.389344	2.397063	6.855400	-0.700458	0.639575	0.207702	-90.895825	-122.607831	0.000000	
-0.916181	2.215673	7.032045	-0.442504	0.548368	0.207634	-71.458474	-81.418357	0.000000	
-1.317472	2.078239	4.955407	1.365504	0.769333	0.060927	-141.121301	251.214355	0.000000	
-1.092935	2.170681	5.647662	0.245811	0.612783	0.151160	-98.431263	21.146167	0.000000	
-0.916352	2.395827	5.474143	-0.443168	0.489335	0.150392	-80.785204	-106.326101	0.000000	
-0.700400	2.262224	6.336709	-0.184392	0.762803	0.117120	-114.964161	-49.942708	0.000000	
-2.074934	2.115074	4.786214	2.528324	1.075762	-0.117617	-201.225655	502.643578	0.000000	
-1.187535	2.344610	5.301800	1.193960	0.919872	0.062233	-161.721642	199.573412	0.000000	
-1.181987	2.038607	4.954492	0.503128	0.826213	0.095994	-154.162136	77.650284	0.000000	
-1.447522	2.036308	4.956197	0.718483	0.796329	0.060159	-145.073520	121.100922	0.000000	
-1.008920	2.259718	5.127011	0.633405	0.827203	0.079075	-151.088130	98.000143	0.000000	
-0.920829	2.306282	4.780003	0.374696	0.796401	0.060177	-156.589444	50.503784	0.000000	
-0.477566	2.530523	6.683417	-0.958804	0.517384	0.189127	-74.191273	-165.517249	0.000000	
-1.099973	2.081037	5.818560	0.719445	0.917764	0.026826	-147.910751	102.766308	0.000000	
-0.826592	2.352041	5.820117	-0.529487	0.700433	0.205098	-113.165648	-114.462948	0.000000	
-0.558574	2.397321	7.377906	-1.389824	0.514071	0.333404	-66.216514	-207.420829	0.000000	
-0.517744	2.131397	6.855682	-0.830576	0.578005	0.242847	-80.860446	-139.408167	0.000000	
0.274259	2.451503	7.369885	-2.595911	0.390436	0.243154	-55.852655	-371.708944	0.000000	
