NO_OF_FRAMES	1200
NO_OF_CAMERAS	12
NO_OF_MARKERS	38
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-01, 15:30:04	426810.82491320
DATA_INCLUDED	3D
MARKER_NAMES	Chest	ASISL	ASISR	Sacral	supLatThighL	supMedThighL	infLatThighL	infMedThighL	supLatThighR	supMedRightR	infLatThighR	inMedThighR	latKneeL	medKneeL	latKneeR	medKneeR	supAntShankL	supPostShankL	infAntShankL	infPostShankL	supAntShankR	supPostShankR	infAntShankR	infPostShankR	heelLeft	heelRight	toeLeft	toeRight	latAnkleL	medAnkleL	latAnkleR	medAnkleR	lateralFootL	proximalFootL	distalFootL	lateralFootR	proximalFootR	distalFootR
Chest X	Chest Y	Chest Z	ASISL X	ASISL Y	ASISL Z	ASISR X	ASISR Y	ASISR Z	Sacral X	Sacral Y	Sacral Z	supLatThighL X	supLatThighL Y	supLatThighL Z	supMedThighL X	supMedThighL Y	supMedThighL Z	infLatThighL X	infLatThighL Y	infLatThighL Z	infMedThighL X	infMedThighL Y	infMedThighL Z	supLatThighR X	supLatThighR Y	supLatThighR Z	supMedRightR X	supMedRightR Y	supMedRightR Z	infLatThighR X	infLatThighR Y	infLatThighR Z	inMedThighR X	inMedThighR Y	inMedThighR Z	latKneeL X	latKneeL Y	latKneeL Z	medKneeL X	medKneeL Y	medKneeL Z	latKneeR X	latKneeR Y	latKneeR Z	medKneeR X	medKneeR Y	medKneeR Z	supAntShankL X	supAntShankL Y	supAntShankL Z	supPostShankL X	supPostShankL Y	supPostShankL Z	infAntShankL X	infAntShankL Y	infAntShankL Z	infPostShankL X	infPostShankL Y	infPostShankL Z	supAntShankR X	supAntShankR Y	supAntShankR Z	supPostShankR X	supPostShankR Y	supPostShankR Z	infAntShankR X	infAntShankR Y	infAntShankR Z	infPostShankR X	infPostShankR Y	infPostShankR Z	heelLeft X	heelLeft Y	heelLeft Z	heelRight X	heelRight Y	heelRight Z	toeLeft X	toeLeft Y	toeLeft Z	toeRight X	toeRight Y	toeRight Z	latAnkleL X	latAnkleL Y	latAnkleL Z	medAnkleL X	medAnkleL Y	medAnkleL Z	latAnkleR X	latAnkleR Y	latAnkleR Z	medAnkleR X	medAnkleR Y	medAnkleR Z	lateralFootL X	lateralFootL Y	lateralFootL Z	proximalFootL X	proximalFootL Y	proximalFootL Z	distalFootL X	distalFootL Y	distalFootL Z	lateralFootR X	lateralFootR Y	lateralFootR Z	proximalFootR X	proximalFootR Y	proximalFootR Z	distalFootR X	distalFootR Y	distalFootR Z	
0.000	0.000	0.000	-2949.716	867.094	1031.311	-2934.384	605.762	1022.530	-3168.700	719.586	1081.522	0.000	0.000	0.000	0.000	0.000	0.000	-3005.627	897.220	617.793	-2937.880	819.095	599.078	-2957.968	534.055	722.550	-2909.380	581.080	698.056	-2976.724	542.811	621.692	-2937.612	589.952	612.059	-3019.611	872.636	552.278	-3016.685	743.610	538.699	-3039.506	560.107	560.050	0.000	0.000	0.000	-3042.577	892.455	450.108	-3108.752	888.028	444.633	0.000	0.000	0.000	0.000	0.000	0.000	-3040.019	540.371	436.472	-3114.363	528.840	420.533	0.000	0.000	0.000	-3118.117	532.687	326.619	0.000	0.000	0.000	0.000	0.000	0.000	-2861.481	839.822	61.469	-2847.343	599.123	63.329	-3086.778	550.550	129.059	-3077.839	638.574	129.221	-3106.288	868.040	122.100	-3077.931	781.657	135.816	-2957.543	549.456	84.946	-2983.535	623.438	107.891	0.000	0.000	0.000	-2973.884	880.633	80.230	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2949.437	867.024	1031.198	-2934.037	605.766	1022.469	-3168.547	719.546	1081.516	0.000	0.000	0.000	0.000	0.000	0.000	-3005.487	897.183	617.762	-2937.839	819.114	599.089	-2957.806	534.035	722.544	-2909.128	580.993	698.043	-2976.583	542.721	621.646	-2937.405	589.894	612.035	-3019.548	872.624	552.289	-3016.485	743.521	538.738	-3039.608	560.107	560.016	0.000	0.000	0.000	-3042.515	892.469	450.119	-3108.728	888.090	444.727	0.000	0.000	0.000	0.000	0.000	0.000	-3039.946	540.404	436.454	-3114.839	529.072	421.041	0.000	0.000	0.000	-3117.804	532.528	326.448	0.000	0.000	0.000	0.000	0.000	0.000	-2861.488	839.807	61.494	-2847.327	599.123	63.302	-3086.695	550.669	128.814	-3072.011	638.432	130.814	-3106.240	868.062	122.166	-3077.828	781.619	135.781	-2957.521	549.419	84.911	-2982.753	622.487	108.735	0.000	0.000	0.000	-2973.861	880.634	80.212	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2949.332	867.010	1031.205	-2933.747	605.716	1022.521	-3168.404	719.517	1081.526	0.000	0.000	0.000	0.000	0.000	0.000	-3005.490	897.230	617.843	-2937.750	819.089	599.068	-2957.726	534.018	722.530	-2909.022	580.942	697.995	-2976.502	542.781	621.598	-2937.311	589.830	612.081	-3019.335	872.556	552.161	-3016.530	743.613	538.708	-3039.536	560.116	560.015	0.000	0.000	0.000	-3042.484	892.451	450.145	-3108.722	888.169	444.818	0.000	0.000	0.000	0.000	0.000	0.000	-3039.756	540.379	436.261	-3114.856	529.101	421.011	0.000	0.000	0.000	-3117.774	532.535	326.451	0.000	0.000	0.000	0.000	0.000	0.000	-2861.434	839.787	61.485	-2847.296	599.195	63.177	-3086.732	550.743	128.772	-3077.650	638.502	129.060	-3106.303	868.079	122.143	-3078.017	781.681	135.774	-2957.514	549.445	84.953	-2982.764	622.471	108.738	0.000	0.000	0.000	-2973.829	880.629	80.203	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2949.346	867.056	1031.288	-2934.055	605.792	1022.343	-3168.301	719.505	1081.557	0.000	0.000	0.000	0.000	0.000	0.000	-3004.615	897.306	618.610	-2937.283	819.074	598.876	-2958.967	533.492	721.402	-2908.938	581.001	698.004	-2976.496	542.725	621.592	-2937.287	589.875	611.999	-3019.241	872.537	552.137	-3016.483	743.560	538.685	-3039.434	560.109	559.977	0.000	0.000	0.000	-3041.912	892.152	449.679	-3108.702	888.328	444.749	-3039.916	897.056	352.963	-3104.327	896.846	348.946	-3039.050	539.966	436.536	-3115.282	529.199	421.558	0.000	0.000	0.000	-3115.935	530.732	324.648	0.000	0.000	0.000	0.000	0.000	0.000	-2861.327	839.853	61.268	-2847.320	599.134	63.307	-3086.596	550.697	128.878	-3071.954	638.556	130.793	-3106.464	868.154	122.125	-3077.942	781.661	135.783	-2957.508	549.493	84.915	-2983.584	623.557	107.870	0.000	0.000	0.000	-2973.845	880.608	80.241	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2948.607	866.880	1030.898	-2933.587	605.672	1022.707	-3168.171	719.465	1081.545	0.000	0.000	0.000	0.000	0.000	0.000	-3004.726	897.468	618.804	-2937.606	819.109	599.035	-2958.875	533.524	721.135	-2908.236	580.944	697.708	-2976.191	542.801	621.371	-2937.110	589.957	611.775	-3019.165	872.532	552.110	-3016.330	743.544	538.535	-3039.101	560.127	559.963	0.000	0.000	0.000	-3040.276	891.213	448.225	-3108.593	888.300	444.765	-3046.013	899.296	352.678	-3110.868	902.553	358.124	-3038.988	539.986	436.449	-3114.923	529.411	421.578	0.000	0.000	0.000	-3116.234	531.189	325.252	0.000	0.000	0.000	0.000	0.000	0.000	-2861.300	839.922	61.299	-2847.307	599.164	63.094	-3086.524	550.709	128.930	-3071.938	638.421	130.741	-3106.454	868.156	122.268	-3078.323	781.670	135.652	-2957.201	549.844	84.795	-2983.180	623.532	107.475	0.000	0.000	0.000	-2973.364	880.598	79.833	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2948.497	866.719	1030.868	-2933.545	605.785	1021.732	-3168.055	719.710	1081.757	0.000	0.000	0.000	0.000	0.000	0.000	-3004.207	897.143	618.345	-2937.376	819.041	598.749	-2958.849	533.552	721.003	-2908.093	580.920	697.719	-2976.033	542.772	621.344	-2936.859	589.887	611.758	-3018.874	872.432	552.180	-3016.153	743.566	538.536	-3038.989	560.098	559.862	0.000	0.000	0.000	-3041.487	892.032	449.727	-3108.440	888.138	444.682	-3045.890	899.253	352.646	-3110.779	902.538	358.092	-3038.740	539.972	436.338	-3114.990	529.025	421.557	0.000	0.000	0.000	-3116.737	531.821	325.050	0.000	0.000	0.000	0.000	0.000	0.000	-2861.107	839.470	61.148	-2847.275	599.006	63.240	-3086.767	550.691	128.898	-3071.993	638.592	130.822	-3106.481	868.146	122.265	-3078.329	781.695	135.617	-2957.501	549.484	84.915	-2983.395	623.417	107.885	0.000	0.000	0.000	-2973.360	880.165	79.813	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2948.295	866.679	1030.830	-2933.835	605.750	1021.715	-3167.906	719.650	1081.763	0.000	0.000	0.000	0.000	0.000	0.000	-3004.017	897.071	618.221	-2937.399	819.063	598.627	-2958.545	533.522	720.946	-2908.078	580.898	697.729	-2975.981	542.842	621.266	-2936.903	589.987	611.702	-3018.761	872.424	552.196	-3016.066	743.532	538.455	-3038.806	560.017	559.967	0.000	0.000	0.000	-3041.366	892.009	449.718	-3108.372	888.098	444.781	-3039.317	896.566	350.934	-3104.129	896.671	348.961	-3039.781	540.726	435.978	-3113.285	528.365	420.404	0.000	0.000	0.000	-3116.725	531.952	325.142	0.000	0.000	0.000	0.000	0.000	0.000	-2861.205	839.317	61.441	-2847.219	598.994	63.193	-3086.592	550.782	128.479	-3071.920	638.419	130.713	-3106.409	868.151	122.221	-3078.389	781.734	135.576	-2957.486	549.464	84.918	-2983.350	623.392	107.924	0.000	0.000	0.000	-2973.425	880.114	79.847	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2948.011	866.573	1030.678	-2933.563	605.734	1021.663	-3167.685	719.564	1081.690	0.000	0.000	0.000	0.000	0.000	0.000	-3003.961	897.127	618.246	-2937.088	819.008	598.666	-2958.460	533.522	720.821	-2907.933	580.840	697.792	-2975.777	542.734	621.254	-2936.540	589.926	611.661	-3018.532	872.366	552.066	-3015.968	743.516	538.470	-3038.707	560.021	559.927	0.000	0.000	0.000	-3041.291	892.020	449.725	-3108.279	888.076	444.747	-3039.229	896.571	350.896	-3110.775	901.948	356.374	-3039.328	540.577	436.098	-3113.096	528.245	420.424	0.000	0.000	0.000	-3116.802	532.110	325.229	0.000	0.000	0.000	0.000	0.000	0.000	-2861.069	839.354	61.136	-2847.236	598.997	63.178	-3086.509	550.771	128.466	-3071.896	638.362	130.689	-3106.339	868.046	122.151	-3078.388	781.714	135.594	-2957.449	549.504	84.915	-2983.298	623.391	107.881	0.000	0.000	0.000	-2973.509	880.143	79.831	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2947.808	866.485	1030.641	-2933.300	605.726	1021.708	-3167.529	719.540	1081.688	0.000	0.000	0.000	0.000	0.000	0.000	-3003.879	897.078	618.267	-2936.985	818.966	598.619	-2957.932	533.570	720.537	-2907.429	580.774	697.724	-2975.712	542.743	621.280	-2936.357	589.903	611.614	-3018.194	872.219	551.800	-3015.956	743.556	538.410	-3038.458	560.041	559.973	0.000	0.000	0.000	-3041.178	891.972	449.704	-3108.296	888.132	444.922	-3039.159	896.561	350.941	-3110.699	901.914	356.407	-3039.309	540.573	436.029	-3112.909	528.176	420.358	0.000	0.000	0.000	-3116.686	532.143	325.236	0.000	0.000	0.000	0.000	0.000	0.000	-2861.227	839.275	61.483	-2847.199	599.077	62.898	-3086.598	550.795	128.487	-3071.877	638.379	130.648	-3106.304	868.062	122.152	-3079.307	782.093	134.997	-2957.496	549.486	84.915	-2983.340	623.455	107.880	0.000	0.000	0.000	-2973.397	880.073	79.817	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	-2947.683	866.488	1030.630	-2932.746	605.532	1021.835	-3167.386	719.509	1081.710	0.000	0.000	0.000	0.000	0.000	0.000	-3003.745	897.091	618.223	-2936.809	818.950	598.634	-2958.070	533.452	720.849	-2907.124	580.646	697.738	-2975.401	542.641	621.287	-2936.469	589.905	611.582	-3018.140	872.223	551.828	-3015.671	743.487	538.437	-3038.486	560.104	559.925	0.000	0.000	0.000	-3041.098	891.960	449.726	-3108.122	888.046	444.825	-3039.094	896.521	350.903	-3110.672	901.950	356.476	-3039.068	540.552	436.011	-3112.885	528.231	420.412	0.000	0.000	0.000	-3116.605	532.151	325.200	0.000	0.000	0.000	0.000	0.000	0.000	-2861.220	839.286	61.449	-2847.317	599.042	63.220	-3086.493	550.787	128.480	-3071.849	638.406	130.658	-3106.277	868.010	122.185	-3079.308	782.080	134.950	-2957.488	549.474	84.909	-2983.249	623.445	107.904	0.000	0.000	0.000	-2973.360	880.039	79.800	0.000	0.000	0.000	0.000	0.000	0.000
