NO_OF_SAMPLES	12000
FREQUENCY	2400
TIME_STAMP	2020-02-01, 15:30:04	426810.82491320
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Embedded Force Plate
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	600.000024
FORCE_PLATE_CORNER_NEGX_POSY_Y	1200.000048
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	600.000024
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-0.787400
FORCE_PLATE_OFFSET_Y	-0.812800
FORCE_PLATE_OFFSET_Z	-56.108600
FORCE_PLATE_LENGTH	1200.150000
FORCE_PLATE_WIDTH	600.202000
Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
-2.605611	1.272483	2.879297	3.472666	0.899519	-0.338013	-262.421333	1180.471725	0.000000	
-2.024724	1.282129	3.222645	1.662872	0.801448	-0.195359	-214.228198	492.860267	0.000000	
-4.297571	0.679446	-0.751648	8.121617	1.706975	-0.826931	1949.385454	-10755.170670	0.000000	
-0.424692	1.781916	5.987658	-1.435253	0.243572	0.239364	-37.486666	-257.212549	0.000000	
-0.734084	1.427142	4.775193	-0.877111	0.276903	0.128835	-50.149661	-201.262576	0.000000	
-4.338211	0.898765	-1.441324	8.639184	1.618576	-0.738280	953.311255	-5959.747516	0.000000	
-0.157771	2.139318	5.988221	-2.166487	-0.031508	0.310724	5.952564	-382.649319	0.000000	
1.762031	2.162567	9.269191	-7.507089	-0.750639	0.869185	69.528733	-823.800225	0.000000	
-0.686698	1.914524	5.644506	-1.650838	0.151312	0.256161	-20.768344	-312.311959	0.000000	
-2.646907	1.007879	1.666559	3.901851	1.023307	-0.340761	-525.696855	2306.516338	0.000000	
1.219165	2.068265	7.537370	-5.655541	-0.650306	0.526116	76.414608	-766.542555	0.000000	
-0.650971	1.960156	5.122483	-1.392779	0.365484	0.076357	-65.006053	-294.178451	0.000000	
-3.274248	1.307123	1.844396	5.626557	1.271660	-0.481669	-590.653125	3010.045890	0.000000	
-1.581543	1.679604	5.127772	1.062879	0.495210	-0.011703	-80.056123	188.087829	0.000000	
-3.043885	1.403591	0.459783	4.505301	1.056137	-0.360599	-1926.368703	9626.667285	0.000000	
1.404891	2.114536	9.097309	-6.861101	-0.687666	0.761674	66.137801	-768.044577	0.000000	
-0.740780	1.514928	4.947030	-0.747260	0.187112	0.004002	-30.208686	-169.047188	0.000000	
-1.087756	1.334525	4.430978	-0.102125	0.400792	0.092702	-77.465589	-40.759688	0.000000	
1.716226	2.338851	9.270185	-7.420407	-0.750321	0.851591	69.764154	-815.428353	0.000000	
1.534437	2.424711	8.405035	-6.429802	-0.503282	0.743299	48.847987	-781.993298	0.000000	
-0.106112	2.053692	6.508637	-3.028780	0.115003	0.454486	-17.541984	-483.864793	0.000000	
-1.226763	1.687070	4.778553	-0.100903	0.340059	-0.013594	-57.546725	-41.737679	0.000000	
-0.112774	2.053633	5.814012	-2.641048	-0.063522	0.291793	11.226653	-474.887302	0.000000	
0.194122	1.613602	5.981634	-2.728196	-0.002413	0.237987	-2.204910	-472.044112	0.000000	
-0.567250	1.692824	4.946163	-0.660654	0.369538	-0.013242	-69.064637	-153.584985	0.000000	
-1.761844	1.635930	3.222756	1.879809	0.742478	-0.158661	-200.499669	553.997834	0.000000	
0.245211	2.100597	6.332631	-3.243636	-0.126731	0.435999	17.052408	-531.634510	0.000000	
1.402501	2.466232	8.926188	-6.213956	-0.412524	0.780647	36.611765	-712.464036	0.000000	
-1.489089	1.598216	3.048903	0.629753	0.586036	-0.034948	-165.595900	176.325979	0.000000	
0.859830	2.064185	7.365377	-4.708312	-0.162452	0.401513	14.718617	-655.786794	0.000000	
1.573214	2.246735	8.748569	-6.214335	-0.562506	0.636540	53.419722	-725.548063	0.000000	
-0.775683	1.778354	5.471508	-0.789439	0.336543	0.256539	-54.341346	-163.331091	0.000000	
-2.074717	1.498683	3.569675	2.482945	0.774652	-0.247202	-185.185771	671.196779	0.000000	
-4.338275	0.897937	-0.055960	8.165994	1.645446	-0.699601	25053.457838	-145026.526970	0.000000	
-2.245113	1.235028	1.665831	2.782299	0.776982	-0.234029	-391.590527	1627.805969	0.000000	
1.671097	2.517615	8.058874	-7.291591	-0.748686	0.795334	80.479911	-923.131564	0.000000	
1.665545	2.471690	8.576762	-7.032728	-0.687078	0.707244	68.425981	-836.957187	0.000000	
0.687061	1.928261	7.540344	-4.363557	-0.222333	0.473538	23.585863	-593.855845	0.000000	
